layer,tokens,time_us
act_fn,1,2.39967
act_fn,3,2.656
act_fn,5,2.68833
act_fn,7,2.67767
act_fn,9,2.667
act_fn,11,2.752
act_fn,13,2.69867
act_fn,15,2.74133
act_fn,20,2.752
act_fn,28,2.82667
act_fn,36,2.85833
act_fn,44,2.83733
act_fn,52,2.86933
act_fn,60,2.86933
act_fn,80,2.96533
act_fn,112,3.083
act_fn,144,3.24267
act_fn,176,4.683
act_fn,208,5.547
act_fn,240,5.664
act_fn,272,6.464
act_fn,304,7.136
act_fn,336,7.92533
act_fn,368,8.704
act_fn,400,9.03467
act_fn,432,9.61067
act_fn,464,9.20567
act_fn,496,10.0163
act_fn,528,11.9893
act_fn,560,12.5763
act_fn,592,13.5577
act_fn,624,14.134
act_fn,656,14.9227
act_fn,688,15.552
act_fn,720,15.7227
act_fn,752,16.0213
act_fn,784,17.632
act_fn,816,18.4107
act_fn,848,18.7203
act_fn,880,19.9363
act_fn,912,20.6403
act_fn,944,21.4083
act_fn,976,22.7097
act_fn,1008,23.1893
act_fn,1040,23.35
act_fn,1072,24.3203
act_fn,1104,25.1953
act_fn,1136,26.187
act_fn,1168,27.329
act_fn,1200,28.48
act_fn,1232,29.515
act_fn,1264,30.8697
act_fn,1296,32.1387
act_fn,1328,33.739
act_fn,1360,35.4353
act_fn,1392,36.8853
act_fn,1424,38.187
act_fn,1456,39.4567
act_fn,1488,39.8513
act_fn,1520,41.2057
act_fn,1552,42.8803
act_fn,1584,44.523
act_fn,1616,45.643
act_fn,1648,46.8167
act_fn,1680,48.214
act_fn,1712,50.5713
act_fn,1744,51.7553
act_fn,1776,54.475
act_fn,1808,56.1607
act_fn,1840,57.5047
act_fn,1872,58.742
act_fn,1904,60.3527
act_fn,1936,61.793
act_fn,1968,63.137
act_fn,2000,63.9047
act_fn,2032,65.7823
down_proj,1,63.3817
down_proj,3,64.982
down_proj,5,73.9633
down_proj,7,74.9663
down_proj,9,74.9763
down_proj,11,76.3317
down_proj,13,74.817
down_proj,15,75.2227
down_proj,20,67.4787
down_proj,28,67.8303
down_proj,36,68.481
down_proj,44,68.982
down_proj,52,68.875
down_proj,60,69.2383
down_proj,80,79.798
down_proj,112,81.2917
down_proj,144,97.4303
down_proj,176,97.8677
down_proj,208,139.852
down_proj,240,140.226
down_proj,272,142.732
down_proj,304,142.967
down_proj,336,185.944
down_proj,368,187.074
down_proj,400,200.621
down_proj,432,201.517
down_proj,464,249.197
down_proj,496,249.442
down_proj,528,284.056
down_proj,560,284.462
down_proj,592,285.561
down_proj,624,285.806
down_proj,656,339.652
down_proj,688,340.676
down_proj,720,346.085
down_proj,752,347.065
down_proj,784,379.257
down_proj,816,380.569
down_proj,848,420.538
down_proj,880,421.199
down_proj,912,420.613
down_proj,944,421.105
down_proj,976,477.81
down_proj,1008,477.755
down_proj,1040,510.469
down_proj,1072,511.377
down_proj,1104,512.314
down_proj,1136,512.453
down_proj,1168,553.852
down_proj,1200,554.257
down_proj,1232,553.17
down_proj,1264,554.022
down_proj,1296,565.659
down_proj,1328,566.16
