layer,sequences,time_us
lm_head,1,772.788
lm_head,3,739.987
lm_head,5,740.574
lm_head,7,741.204
lm_head,9,742.014
lm_head,11,742.611
lm_head,13,743.935
lm_head,15,743.956
lm_head,20,743.902
lm_head,28,746.952
lm_head,36,747.604
lm_head,44,749.3
lm_head,52,752.073
lm_head,60,753.343
lm_head,80,768.479
lm_head,112,780.575
lm_head,2,738.749
lm_head,4,740.115
lm_head,6,741.447
lm_head,8,741.672
lm_head,10,742.28
lm_head,12,743.454
lm_head,14,744.669
lm_head,16,744.039
lm_head,24,744.658
lm_head,32,746.397
lm_head,40,748.872
lm_head,48,750.089
lm_head,56,751.955
lm_head,64,754.569
lm_head,96,772.254
lm_head,128,781.065
