prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,6.17533
0,0,1,64,7.872
0,0,1,256,10.986
0,0,1,1024,11.9357
0,0,1,4096,15.5723
0,0,1,16384,32.0297
0,0,2,32,10.218
0,0,2,128,13.652
0,0,2,512,14.4633
0,0,2,2048,18.9323
0,0,2,8192,37.9917
0,0,4,16,10.1533
0,0,4,64,11.5513
0,0,4,256,14.208
0,0,4,1024,17.6523
0,0,4,4096,35.496
0,0,4,16384,98.224
0,0,8,32,10.345
0,0,8,128,14.0683
0,0,8,512,17.2257
0,0,8,2048,34.237
0,0,8,8192,95.9627
0,0,16,16,10.5383
0,0,16,64,12.2447
0,0,16,256,18.9217
0,0,16,1024,34.0997
0,0,16,4096,95.8257
0,0,16,16384,336.505
0,0,32,32,11.221
0,0,32,128,19.572
0,0,32,512,34.249
0,0,32,2048,100.389
0,0,32,8192,338.083
0,0,64,16,12.4263
0,0,64,64,16.2227
0,0,64,256,32.2113
0,0,64,1024,96.752
0,0,64,4096,345.134
0,0,64,16384,1296.68
0,0,128,32,18.1743
0,0,128,128,34.3027
0,0,128,512,95.675
0,0,128,2048,345.208
0,0,128,8192,1321.6
16,0,0,0,8.29833
16,0,1,32,8.26633
16,0,1,128,10.8587
16,0,1,512,21.2363
16,0,1,2048,63.3037
16,0,1,8192,231.722
16,0,2,16,8.181
16,0,2,64,8.213
16,0,2,256,14.2717
16,0,2,1024,35.2623
16,0,2,4096,119.471
16,0,2,16384,455.624
16,0,4,32,8.12733
16,0,4,128,10.773
16,0,4,512,21.236
16,0,4,2048,63.5377
16,0,4,8192,232.232
16,0,8,16,8.04167
16,0,8,64,8.20233
16,0,8,256,14.2717
16,0,8,1024,35.369
16,0,8,4096,120.901
16,0,8,16384,479.603
16,0,16,32,12.981
16,0,16,128,19.423
16,0,16,512,40.7123
16,0,16,2048,126.17
16,0,16,8192,480.412
16,0,32,16,22.3133
16,0,32,64,22.7297
16,0,32,256,49.4697
16,0,32,1024,134.574
16,0,32,4096,480.199
16,0,32,16384,1878.11
16,0,64,32,36.766
16,0,64,128,60.0287
16,0,64,512,134.894
16,0,64,2048,439.113
16,0,64,8192,1794.67
16,16,0,0,8.533
16,16,1,32,8.49033
16,16,1,128,10.8153
16,16,1,512,21.2573
16,16,1,2048,63.282
16,16,1,8192,231.87
16,16,2,16,8.37267
16,16,2,64,8.447
16,16,2,256,14.26
16,16,2,1024,35.198
16,16,2,4096,119.332
16,16,2,16384,455.795
16,16,4,32,8.30933
16,16,4,128,10.7943
16,16,4,512,21.1937
16,16,4,2048,63.581
16,16,4,8192,232.01
16,16,8,16,8.26633
16,16,8,64,8.51167
16,16,8,256,14.2603
16,16,8,1024,35.4757
16,16,8,4096,120.911
16,16,8,16384,478.194
16,16,16,32,13.119
16,16,16,128,19.3697
16,16,16,512,40.787
16,16,16,2048,126.094
16,16,16,8192,479.741
16,16,32,16,22.495
16,16,32,64,22.985
16,16,32,256,49.256
16,16,32,1024,134.628
16,16,32,4096,479.922
16,16,32,16384,1878.71
16,16,64,32,36.9683
16,16,64,128,60.0187
16,16,64,512,134.734
16,16,64,2048,439.007
16,16,64,8192,1798.63
16,32,0,0,8.554
16,32,1,32,8.565
16,32,1,128,10.9113
16,32,1,512,21.1937
16,32,1,2048,63.314
16,32,1,8192,231.71
16,32,2,16,8.426
16,32,2,64,8.48967
16,32,2,256,14.2817
16,32,2,1024,35.187
16,32,2,4096,119.353
16,32,2,16384,456.168
16,32,4,32,8.30833
16,32,4,128,10.7513
16,32,4,512,21.1723
16,32,4,2048,63.5587
16,32,4,8192,232.169
16,32,8,16,8.341
16,32,8,64,8.49
16,32,8,256,14.3453
16,32,8,1024,35.507
16,32,8,4096,120.975
16,32,8,16384,477.479
16,32,16,32,13.1503
16,32,16,128,19.423
16,32,16,512,40.6917
16,32,16,2048,126.287
16,32,16,8192,479.486
16,32,32,16,22.463
16,32,32,64,22.9863
16,32,32,256,49.3953
16,32,32,1024,134.254
16,32,32,4096,479.667
16,32,32,16384,1877.04
16,32,64,32,36.9903
16,32,64,128,60.008
16,32,64,512,134.724
16,32,64,2048,439.871
16,32,64,8192,1802.41
16,64,0,0,8.597
16,64,1,32,8.522
16,64,1,128,10.8047
16,64,1,512,21.2147
16,64,1,2048,63.037
16,64,1,8192,230.56
16,64,2,16,8.309
16,64,2,64,8.43733
16,64,2,256,14.1863
16,64,2,1024,35.0697
16,64,2,4096,119.076
16,64,2,16384,454.569
16,64,4,32,8.34067
16,64,4,128,10.7833
16,64,4,512,21.0763
16,64,4,2048,63.2817
16,64,4,8192,231.252
16,64,8,16,8.31933
16,64,8,64,8.522
16,64,8,256,14.3137
16,64,8,1024,35.4543
16,64,8,4096,120.517
16,64,8,16384,475.73
16,64,16,32,13.4073
16,64,16,128,19.3163
16,64,16,512,40.5527
16,64,16,2048,125.679
