tokens,activated_experts,time_us
1,8,79.2
2,8,114.143
2,16,120.639
4,8,183.17
4,16,206.911
4,32,208.096
8,8,88.736
8,16,131.423
8,32,215.007
8,64,384.19
16,8,97.535
16,16,141.248
16,32,223.199
16,64,384.641
16,128,717.533
32,8,121.217
32,16,144.225
32,32,225.216
32,64,395.869
32,128,729.401
64,8,131.71
64,16,156.126
64,32,232.8
64,64,411.998
64,128,744.572
128,8,119.296
128,16,156.414
128,32,278.877
128,64,444.894
128,128,780.667
256,8,203.709
256,16,209.598
256,32,266.752
256,64,455.587
256,128,818.588
512,8,364.031
512,16,365.565
512,32,373.439
512,64,482.686
512,128,853.5
1024,8,674.684
1024,16,674.299
1024,32,675.707
1024,64,699.55
1024,128,1190.36
