prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,13.792
0,0,1,32,13.824
0,0,1,64,15.584
0,0,1,128,23.167
0,0,1,256,23.392
0,0,1,512,24.096
0,0,1,1024,25.376
0,0,2,16,23.744
0,0,2,32,23.969
0,0,2,64,25.759
0,0,2,128,30.655
0,0,2,256,31.264
0,0,2,512,32
0,0,2,1024,33.312
0,0,4,16,23.935
0,0,4,32,24.225
0,0,4,64,25.536
0,0,4,128,31.008
0,0,4,256,31.648
0,0,4,512,32.255
0,0,4,1024,34.048
0,0,8,16,24.544
0,0,8,32,24.928
0,0,8,64,26.367
0,0,8,128,31.489
0,0,8,256,32.288
0,0,8,512,33.376
0,0,8,1024,39.583
0,0,16,16,25.728
0,0,16,32,25.696
0,0,16,64,27.489
0,0,16,128,32.159
0,0,16,256,33.184
0,0,16,512,39.424
0,0,16,1024,48.35
0,0,32,16,26.337
0,0,32,32,26.304
0,0,32,64,28.417
0,0,32,128,37.696
0,0,32,256,40.704
0,0,32,512,48.447
0,0,32,1024,61.6
16,0,0,0,15.969
16,0,1,16,15.999
16,0,1,32,15.808
16,0,1,64,15.84
16,0,1,128,18.432
16,0,1,256,22.048
16,0,1,512,29.471
16,0,1,1024,44.031
16,0,2,16,15.744
16,0,2,32,16
16,0,2,64,15.808
16,0,2,128,18.4
16,0,2,256,22.143
16,0,2,512,29.375
16,0,2,1024,44.352
16,0,4,16,16.096
16,0,4,32,16.128
16,0,4,64,16.031
16,0,4,128,18.687
16,0,4,256,22.335
16,0,4,512,29.599
16,0,4,1024,44.383
16,0,8,16,17.824
16,0,8,32,17.6
16,0,8,64,18.015
16,0,8,128,23.807
16,0,8,256,30.495
16,0,8,512,41.118
16,0,8,1024,63.52
16,0,16,16,27.359
16,0,16,32,27.584
16,0,16,64,27.712
16,0,16,128,35.36
16,0,16,256,44.895
16,0,16,512,63.263
16,0,16,1024,100.96
16,16,0,0,16.128
16,16,1,16,15.84
16,16,1,32,16
16,16,1,64,16.159
16,16,1,128,18.432
16,16,1,256,22.08
16,16,1,512,29.374
16,16,1,1024,44.192
16,16,2,16,15.808
16,16,2,32,15.84
16,16,2,64,15.775
16,16,2,128,18.368
16,16,2,256,22.144
16,16,2,512,29.344
16,16,2,1024,44.223
16,16,4,16,15.904
16,16,4,32,15.936
16,16,4,64,16.257
16,16,4,128,18.655
16,16,4,256,22.336
16,16,4,512,29.567
16,16,4,1024,44.384
16,16,8,16,17.759
16,16,8,32,17.664
16,16,8,64,18.239
16,16,8,128,23.584
16,16,8,256,30.016
16,16,8,512,41.087
16,16,8,1024,63.679
16,16,16,16,27.328
16,16,16,32,27.488
16,16,16,64,27.744
16,16,16,128,34.911
16,16,16,256,44.512
16,16,16,512,62.816
16,16,16,1024,99.903
16,32,0,0,16.16
16,32,1,16,16.032
16,32,1,32,16.095
16,32,1,64,15.905
16,32,1,128,18.464
16,32,1,256,22.208
16,32,1,512,29.344
16,32,1,1024,44.095
16,32,2,16,15.807
16,32,2,32,15.968
16,32,2,64,16.287
16,32,2,128,18.464
16,32,2,256,22.08
16,32,2,512,29.503
16,32,2,1024,44.32
16,32,4,16,16.064
16,32,4,32,16.255
16,32,4,64,16.128
16,32,4,128,18.751
16,32,4,256,22.465
16,32,4,512,29.568
16,32,4,1024,44.417
16,32,8,16,17.759
16,32,8,32,17.792
16,32,8,64,17.952
16,32,8,128,23.84
16,32,8,256,30.272
16,32,8,512,41.695
16,32,8,1024,62.943
16,32,16,16,27.358
16,32,16,32,27.328
16,32,16,64,28.096
16,32,16,128,35.199
16,32,16,256,44.768
16,32,16,512,63.647
16,32,16,1024,100.256
16,64,0,0,16.064
16,64,1,16,16.096
16,64,1,32,16.192
16,64,1,64,16
16,64,1,128,18.432
16,64,1,256,22.208
16,64,1,512,29.44
16,64,1,1024,44
16,64,2,16,16.032
16,64,2,32,15.744
16,64,2,64,16.128
16,64,2,128,18.464
16,64,2,256,22.145
16,64,2,512,29.472
16,64,2,1024,44.384
16,64,4,16,16.223
16,64,4,32,16.032
16,64,4,64,16.286
16,64,4,128,18.751
16,64,4,256,22.432
16,64,4,512,29.568
16,64,4,1024,44.448
16,64,8,16,17.919
16,64,8,32,18.336
16,64,8,64,18.176
16,64,8,128,23.776
16,64,8,256,30.527
16,64,8,512,40.991
16,64,8,1024,63.551
16,64,16,16,27.488
16,64,16,32,27.649
16,64,16,64,28.287
16,64,16,128,34.72
16,64,16,256,44.447
16,64,16,512,66.496
16,64,16,1024,101.407
