layer,sequences,time_us
lm_head,1,101.823
lm_head,2,94.879
lm_head,3,95.231
lm_head,4,95.712
lm_head,5,97.248
lm_head,6,97.024
lm_head,7,97.408
lm_head,8,97.088
lm_head,9,97.568
lm_head,10,97.215
lm_head,11,98.112
lm_head,12,98.08
lm_head,13,98.72
lm_head,14,98.336
lm_head,15,99.936
lm_head,16,99.136
lm_head,20,106.559
lm_head,24,107.391
lm_head,28,107.807
lm_head,32,111.712
sampler,1,28.576
sampler,2,29.566
sampler,3,30.015
sampler,4,31.008
sampler,5,30.144
sampler,6,29.918
sampler,7,29.857
sampler,8,29.665
sampler,9,29.728
sampler,10,30.176
sampler,11,30.24
sampler,12,29.983
sampler,13,30.304
sampler,14,30.56
sampler,15,29.953
sampler,16,30.529
sampler,20,32.352
sampler,24,35.264
sampler,28,35.999
sampler,32,36.063
