layer,tokens,time_us
embedding,1,7.392
embedding,2,7.713
embedding,3,8.288
embedding,4,8.737
embedding,5,9.152
embedding,6,9.537
embedding,7,9.92
embedding,8,10.08
embedding,9,10.848
embedding,10,11.232
embedding,11,11.616
embedding,12,12.129
embedding,13,12.576
embedding,14,12.927
embedding,15,13.248
embedding,16,13.44
embedding,20,6.112
embedding,24,5.92
embedding,28,6.112
embedding,32,5.952
embedding,36,6.08
embedding,40,5.984
embedding,44,6.144
embedding,48,6.016
embedding,52,6.112
embedding,56,6.016
embedding,60,6.176
embedding,64,5.984
embedding,80,6.241
embedding,96,6.304
embedding,112,6.593
embedding,128,6.655
embedding,144,6.879
embedding,160,6.848
embedding,176,6.912
embedding,192,6.912
embedding,208,6.944
embedding,224,7.007
embedding,240,7.36
embedding,256,7.328
embedding,272,7.168
embedding,288,7.2
embedding,304,7.328
embedding,320,7.295
embedding,336,7.359
embedding,352,7.296
embedding,368,7.489
embedding,384,7.488
embedding,400,7.775
embedding,416,7.776
embedding,432,7.809
embedding,448,7.84
embedding,464,7.968
embedding,480,7.904
embedding,496,8.032
embedding,512,8.128
final_layernorm,1,4.128
final_layernorm,2,3.744
final_layernorm,3,4.096
final_layernorm,4,4.064
final_layernorm,5,4.096
final_layernorm,6,4.192
final_layernorm,7,4.064
final_layernorm,8,4.096
final_layernorm,9,4.064
final_layernorm,10,4.096
final_layernorm,11,4.096
final_layernorm,12,4.096
final_layernorm,13,4.192
final_layernorm,14,4.096
final_layernorm,15,4.128
final_layernorm,16,4.192
final_layernorm,20,4.096
final_layernorm,24,4.224
final_layernorm,28,4.224
final_layernorm,32,4.096
final_layernorm,36,4.256
final_layernorm,40,4.288
final_layernorm,44,4.128
final_layernorm,48,4.192
final_layernorm,52,4.16
final_layernorm,56,4.224
final_layernorm,60,4.32
final_layernorm,64,4.352
final_layernorm,80,4.608
final_layernorm,96,4.64
final_layernorm,112,4.8
final_layernorm,128,4.897
final_layernorm,144,4.896
final_layernorm,160,4.96
final_layernorm,176,5.056
final_layernorm,192,5.184
final_layernorm,208,5.184
final_layernorm,224,6.591
final_layernorm,240,7.008
final_layernorm,256,5.312
final_layernorm,272,5.376
final_layernorm,288,5.535
final_layernorm,304,5.471
final_layernorm,320,5.6
final_layernorm,336,5.6
final_layernorm,352,5.696
final_layernorm,368,5.888
final_layernorm,384,5.856
final_layernorm,400,5.824
final_layernorm,416,5.951
final_layernorm,432,5.952
final_layernorm,448,6.176
final_layernorm,464,6.24
final_layernorm,480,6.336
final_layernorm,496,6.368
final_layernorm,512,6.464
final_layernorm,528,6.561
final_layernorm,544,6.464
final_layernorm,560,6.88
final_layernorm,576,6.88
final_layernorm,592,7.072
final_layernorm,608,7.071
final_layernorm,624,7.135
final_layernorm,640,7.168
final_layernorm,656,7.232
final_layernorm,672,7.424
final_layernorm,688,7.648
final_layernorm,704,7.36
final_layernorm,720,7.583
final_layernorm,736,7.68
final_layernorm,752,7.552
final_layernorm,768,7.84
final_layernorm,784,8.128
final_layernorm,800,8.224
final_layernorm,816,7.968
final_layernorm,832,8.128
final_layernorm,848,8.224
final_layernorm,864,8.736
final_layernorm,880,9.152
final_layernorm,896,9.44
final_layernorm,912,9.472
final_layernorm,928,9.856
final_layernorm,944,9.92
final_layernorm,960,9.952
final_layernorm,976,10.304
final_layernorm,992,10.272
final_layernorm,1008,10.527
final_layernorm,1024,10.4
layernorm,1,3.536
layernorm,2,3.52
layernorm,3,3.9685
layernorm,4,3.952
layernorm,5,4.016
layernorm,6,3.936
layernorm,7,3.968
layernorm,8,3.952
layernorm,9,3.968
layernorm,10,3.968
layernorm,11,3.968
layernorm,12,3.984
layernorm,13,3.952
layernorm,14,3.872
layernorm,15,3.936
layernorm,16,3.952
layernorm,20,3.9845
layernorm,24,4.0165
layernorm,28,4.016
layernorm,32,3.952
layernorm,36,3.984
layernorm,40,4.048
layernorm,44,4.016
layernorm,48,4.064
layernorm,52,4.0155
layernorm,56,4.064
layernorm,60,4.112
layernorm,64,4.128
layernorm,80,4.368
layernorm,96,4.528
layernorm,112,4.608
layernorm,128,4.7355
layernorm,144,4.704
layernorm,160,4.816
layernorm,176,4.816
layernorm,192,4.88
layernorm,208,4.976
layernorm,224,5.632
layernorm,240,5.808
layernorm,256,5.216
layernorm,272,5.2
layernorm,288,5.28
layernorm,304,5.184
layernorm,320,5.376
layernorm,336,5.44
layernorm,352,5.616
layernorm,368,5.5035
layernorm,384,5.616
layernorm,400,5.648
layernorm,416,5.792
layernorm,432,5.792
layernorm,448,5.935
layernorm,464,5.984
layernorm,480,6.192
layernorm,496,6.176
layernorm,512,6.176
layernorm,528,6.256
layernorm,544,6.368
layernorm,560,6.624
layernorm,576,6.4155
layernorm,592,6.496
layernorm,608,6.656
layernorm,624,6.816
layernorm,640,6.672
layernorm,656,6.864
layernorm,672,7.136
layernorm,688,6.88
layernorm,704,6.976
layernorm,720,7.184
layernorm,736,7.12
layernorm,752,7.248
layernorm,768,7.488
layernorm,784,7.36
layernorm,800,7.376
layernorm,816,7.44
layernorm,832,7.52
layernorm,848,7.6315
layernorm,864,7.584
layernorm,880,8.4
layernorm,896,8.288
layernorm,912,8.4475
layernorm,928,8.912
layernorm,944,8.864
layernorm,960,9.2165
layernorm,976,8.752
layernorm,992,9.167
layernorm,1008,9.04
layernorm,1024,9.392
o_proj,1,6.176
o_proj,2,8.256
o_proj,3,8.352
o_proj,4,7.936
o_proj,5,7.872
o_proj,6,8.064
o_proj,7,7.808
o_proj,8,12.256
o_proj,9,12.192
o_proj,10,12.287
o_proj,11,12.192
o_proj,12,12.352
o_proj,13,12.416
o_proj,14,12.48
o_proj,15,12.416
o_proj,16,12.448
o_proj,20,7.905
o_proj,24,7.84
o_proj,28,8.159
o_proj,32,8.161
o_proj,36,8.193
o_proj,40,8.192
o_proj,44,8.416
o_proj,48,8.48
o_proj,52,8.384
o_proj,56,8.352
o_proj,60,8.416
o_proj,64,8.608
o_proj,80,8.672
o_proj,96,8.576
o_proj,112,8.64
o_proj,128,8.768
o_proj,144,9.313
o_proj,160,9.376
o_proj,176,9.888
o_proj,192,9.856
o_proj,208,10.304
o_proj,224,10.496
o_proj,240,10.688
o_proj,256,9.984
o_proj,272,10.592
o_proj,288,10.56
o_proj,304,10.56
o_proj,320,10.751
o_proj,336,11.776
o_proj,352,11.616
o_proj,368,11.488
o_proj,384,11.616
o_proj,400,15.904
o_proj,416,15.776
o_proj,432,15.84
o_proj,448,15.872
o_proj,464,15.968
o_proj,480,16.064
o_proj,496,16.032
o_proj,512,16.16
qk_norm,1,3.6
qk_norm,2,3.6955
qk_norm,3,3.7115
qk_norm,4,3.728
qk_norm,5,3.792
qk_norm,6,3.76
qk_norm,7,3.7915
qk_norm,8,3.84
qk_norm,9,3.856
qk_norm,10,3.872
qk_norm,11,3.904
qk_norm,12,3.904
qk_norm,13,3.9675
qk_norm,14,3.92
qk_norm,15,3.9845
qk_norm,16,4.016
qk_norm,20,4.0475
qk_norm,24,4.1125
qk_norm,28,4.24
qk_norm,32,4.352
qk_norm,36,4.352
qk_norm,40,4.448
qk_norm,44,4.464
qk_norm,48,4.56
qk_norm,52,4.624
qk_norm,56,4.688
qk_norm,60,4.784
qk_norm,64,4.848
qk_norm,80,5.328
qk_norm,96,5.5685
qk_norm,112,6.2875
qk_norm,128,6.544
qk_norm,144,6.5445
qk_norm,160,6.752
qk_norm,176,6.912
qk_norm,192,6.96
qk_norm,208,7.312
qk_norm,224,7.536
qk_norm,240,8.16
qk_norm,256,8.368
qk_norm,272,8.992
qk_norm,288,9.0875
qk_norm,304,9.392
qk_norm,320,9.6475
qk_norm,336,9.7435
qk_norm,352,10.016
qk_norm,368,10.3675
qk_norm,384,10.4795
qk_norm,400,11.072
qk_norm,416,11.4555
qk_norm,432,11.536
qk_norm,448,11.7915
qk_norm,464,11.984
qk_norm,480,12.256
qk_norm,496,12.32
qk_norm,512,12.7355
qk_norm,528,13.072
qk_norm,544,13.408
qk_norm,560,13.76
qk_norm,576,14.1115
qk_norm,592,14.1595
qk_norm,608,14.272
qk_norm,624,14.4795
qk_norm,640,14.768
qk_norm,656,14.9755
qk_norm,672,15.376
qk_norm,688,15.7915
qk_norm,704,15.936
qk_norm,720,16.368
qk_norm,736,16.5915
qk_norm,752,16.56
qk_norm,768,16.72
qk_norm,784,16.96
qk_norm,800,17.36
qk_norm,816,17.616
qk_norm,832,17.8875
qk_norm,848,18.3515
qk_norm,864,18.544
qk_norm,880,18.848
qk_norm,896,19.5035
qk_norm,912,19.872
qk_norm,928,20.0635
qk_norm,944,19.9035
qk_norm,960,20.256
qk_norm,976,20.688
qk_norm,992,21.0235
qk_norm,1008,21.344
qk_norm,1024,21.488
qkv_proj,1,9.12
qkv_proj,2,10.848
qkv_proj,3,10.817
qkv_proj,4,10.816
qkv_proj,5,10.881
qkv_proj,6,10.848
qkv_proj,7,11.04
qkv_proj,8,10.944
qkv_proj,9,10.977
qkv_proj,10,11.072
qkv_proj,11,10.976
qkv_proj,12,11.072
qkv_proj,13,11.041
qkv_proj,14,11.104
qkv_proj,15,11.199
qkv_proj,16,11.136
