prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,15.2107
0,0,1,256,25.5467
0,0,1,4096,41.3537
0,0,2,32,25.5367
0,0,2,512,34.1333
0,0,2,8192,74.3033
0,0,4,64,28.0223
0,0,4,1024,45.3003
0,0,4,16384,188.533
0,0,8,128,37.0773
0,0,8,2048,75.8613
0,0,16,16,29.195
0,0,16,256,49.6537
0,0,16,4096,191.435
0,0,32,32,35.648
0,0,32,512,94.465
0,0,32,8192,934.697
0,0,64,64,50.7843
0,0,64,1024,223.435
0,0,64,16384,2898.31
0,0,128,128,97.3653
0,0,128,2048,669.12
16,0,0,0,16.5013
16,0,1,128,18.8587
16,0,1,2048,75.029
16,0,2,16,16.907
16,0,2,256,23.0187
16,0,2,4096,136.267
16,0,4,32,18.3147
16,0,4,512,42.5067
16,0,4,8192,392.629
16,0,8,64,29.3443
16,0,8,1024,102.368
16,0,8,16384,1292.65
16,0,16,128,51.0077
16,0,16,2048,276.277
16,0,32,16,54.859
16,0,32,256,113.194
16,0,32,4096,982.122
16,0,64,32,95.5313
16,0,64,512,317.535
16,0,64,8192,4690.46
16,16,1,32,16.693
16,16,1,512,30.0697
16,16,1,8192,256.128
16,16,2,64,17.088
16,16,2,1024,45.59
16,16,2,16384,500.106
16,16,4,128,24.256
16,16,4,2048,111.627
16,16,8,16,28.917
16,16,8,256,45.9523
16,16,8,4096,363.211
16,16,16,32,36.7357
16,16,16,512,97.6747
16,16,16,8192,999.349
16,16,32,64,55.8827
16,16,32,1024,285.269
16,16,32,16384,4019.32
16,16,64,128,151.477
16,16,64,2048,1024.82
16,32,0,0,16.5653
16,32,1,128,19.1257
16,32,1,2048,74.9443
16,32,2,16,16.7897
16,32,2,256,23.125
16,32,2,4096,136.331
16,32,4,32,18.389
16,32,4,512,42.816
16,32,4,8192,393.217
16,32,8,64,29.5253
16,32,8,1024,102.879
16,32,8,16384,1365.93
16,32,16,128,51.1893
16,32,16,2048,276.896
16,32,32,16,55.0613
16,32,32,256,114.037
16,32,32,4096,980.831
16,32,64,32,95.7547
16,32,64,512,318.592
16,32,64,8192,4654.2
16,64,1,32,16.8433
16,64,1,512,29.803
16,64,1,8192,254.325
16,64,2,64,17.0243
16,64,2,1024,45.3653
16,64,2,16384,500.021
16,64,4,128,24.2137
16,64,4,2048,111.818
16,64,8,16,28.9603
16,64,8,256,45.8773
16,64,8,4096,380.544
16,64,16,32,37.0233
16,64,16,512,97.44
16,64,16,8192,999.37
16,64,32,64,55.776
16,64,32,1024,284.906
16,64,32,16384,3990.8
16,64,64,128,151.787
16,64,64,2048,1030.9
16,128,0,0,20.3303
16,128,1,128,20.2667
16,128,1,2048,75.701
16,128,2,16,19.3177
16,128,2,256,23.1037
16,128,2,4096,136.821
16,128,4,32,22.283
16,128,4,512,42.3893
16,128,4,8192,391.199
16,128,8,64,32.5973
16,128,8,1024,106.378
16,128,8,16384,1298.85
16,128,16,128,53.1843
16,128,16,2048,281.078
16,128,32,16,59.0933
16,128,32,256,112.704
16,128,32,4096,983.871
16,128,64,32,99.829
16,128,64,512,321.088
16,128,64,8192,4672.58
16,256,1,32,22.7197
16,256,1,512,30.176
16,256,1,8192,254.965
16,256,2,64,23.1893
16,256,2,1024,45.8773
16,256,2,16384,500.725
16,256,4,128,28.362
16,256,4,2048,111.531
16,256,8,16,39.115
16,256,8,256,43.989
16,256,8,4096,378.059
16,256,16,32,44.981
16,256,16,512,99.7547
16,256,16,8192,1069.8
16,256,32,64,66.5917
16,256,32,1024,286.976
16,256,32,16384,4044.76
16,256,64,128,155.818
16,256,64,2048,1043.08
16,512,0,0,31.52
16,512,1,128,30.24
16,512,1,2048,74.8157
16,512,2,16,30.2297
16,512,2,256,30.6453
16,512,2,4096,136.682
16,512,4,32,33.4827
16,512,4,512,43.1143
16,512,4,8192,392.437
16,512,8,64,47.7653
16,512,8,1024,109.685
16,512,8,16384,1297.96
16,512,16,128,66.56
16,512,16,2048,291.221
16,512,32,16,76.6823
16,512,32,256,121.781
16,512,32,4096,983.861
16,512,64,32,114.719
16,512,64,512,324.981
16,512,64,8192,4660
16,1024,1,32,44.8427
16,1024,1,512,45.2157
16,1024,1,8192,254.122
16,1024,2,64,45.259
16,1024,2,1024,46.624
16,1024,2,16384,500.372
16,1024,4,128,50.3363
16,1024,4,2048,112.032
16,1024,8,16,65.2797
16,1024,8,256,77.067
16,1024,8,4096,380.234
16,1024,16,32,75.4667
16,1024,16,512,118.752
16,1024,16,8192,1032.15
16,1024,32,64,90.2403
16,1024,32,1024,286.367
16,1024,32,16384,4113.22
16,1024,64,128,181.888
16,1024,64,2048,1052.96
16,2048,0,0,76.96
16,2048,1,128,75.0187
16,2048,1,2048,76.8427
16,2048,2,16,74.965
16,2048,2,256,75.3493
16,2048,2,4096,136.17
16,2048,4,32,78.0053
16,2048,4,512,86.7303
16,2048,4,8192,393.205
16,2048,8,64,98.5923
16,2048,8,1024,132.96
16,2048,8,16384,1275.03
16,2048,16,128,119.925
16,2048,16,2048,304.256
16,2048,32,16,133.685
16,2048,32,256,173.365
16,2048,32,4096,988.458
16,2048,64,32,162.976
16,2048,64,512,374.411
16,2048,64,8192,4730.43
16,4096,1,32,134.72
16,4096,1,512,134.986
16,4096,1,8192,253.962
16,4096,2,64,136.544
16,4096,2,1024,135.924
16,4096,2,16384,500.469
16,4096,4,128,139.392
16,4096,4,2048,171.851
16,4096,8,16,202.325
16,4096,8,256,191.146
16,4096,8,4096,378.955
16,4096,16,32,209.472
16,4096,16,512,239.84
16,4096,16,8192,1077.92
16,4096,32,64,218.602
16,4096,32,1024,400.736
16,4096,32,16384,4150.06
16,4096,64,128,275.562
16,4096,64,2048,1116.18
16,8192,0,0,256.661
16,8192,1,128,254.304
16,8192,1,2048,254.826
16,8192,2,16,258.026
16,8192,2,256,257.323
16,8192,2,4096,258.134
16,8192,4,32,256.854
16,8192,4,512,264.597
16,8192,4,8192,393.951
16,8192,8,64,342.698
16,8192,8,1024,306.847
16,8192,8,16384,1346.68
16,8192,16,128,388.415
16,8192,16,2048,515.637
16,8192,32,16,391.285
16,8192,32,256,423.594
16,8192,32,4096,1184.54
16,8192,64,32,425.141
16,8192,64,512,597.492
16,8192,64,8192,4723.4
16,16384,1,32,493.301
16,16384,1,512,493.77
16,16384,1,8192,494.304
16,16384,2,64,501.428
16,16384,2,1024,499.551
16,16384,2,16384,503.978
16,16384,4,128,496.713
16,16384,4,2048,526.292
16,16384,8,16,577.417
16,16384,8,256,587.316
16,16384,8,4096,714.527
16,16384,16,32,591.178
16,16384,16,512,784.799
16,16384,16,8192,1361.48
16,16384,32,64,754.591
16,16384,32,1024,894.622
16,16384,32,16384,4105.3
16,16384,64,128,816.383
16,16384,64,2048,1557.39
32,0,0,0,16.5977
32,0,1,128,19.1897
32,0,1,2048,75.2427
32,0,2,16,17.024
32,0,2,256,23.0827
32,0,2,4096,136.629
32,0,4,32,18.4533
32,0,4,512,42.6453
32,0,4,8192,392.885
32,0,8,64,29.4293
32,0,8,1024,101.781
32,0,8,16384,1224.89
32,0,16,128,50.9757
32,0,16,2048,277.525
32,0,32,16,55.2427
32,0,32,256,114.133
32,0,32,4096,979.957
32,0,64,32,95.7433
32,0,64,512,319.456
32,0,64,8192,4658.71
32,16,1,32,16.704
32,16,1,512,30.0373
32,16,1,8192,254.688
32,16,2,64,17.173
32,16,2,1024,45.7177
32,16,2,16384,499.359
32,16,4,128,24.395
32,16,4,2048,111.957
32,16,8,16,29.3227
32,16,8,256,45.728
32,16,8,4096,363.232
32,16,16,32,37.1093
32,16,16,512,96.9913
32,16,16,8192,999.807
32,16,32,64,56.3197
32,16,32,1024,285.163
32,16,32,16384,3949.17
32,16,64,128,151.531
32,16,64,2048,1029.45
32,32,0,0,16.8963
32,32,1,128,18.9763
32,32,1,2048,75.456
32,32,2,16,16.9493
32,32,2,256,23.1467
32,32,2,4096,136.458
32,32,4,32,18.4967
32,32,4,512,42.6343
32,32,4,8192,391.455
32,32,8,64,29.3657
32,32,8,1024,102.815
32,32,8,16384,1219.82
32,32,16,128,51.0613
32,32,16,2048,290.069
32,32,32,16,55.104
32,32,32,256,113.429
32,32,32,4096,982.773
32,32,64,32,95.8933
32,32,64,512,319.562
32,32,64,8192,4670.47
32,64,1,32,16.8643
32,64,1,512,30.1333
32,64,1,8192,255.733
32,64,2,64,17.2053
32,64,2,1024,45.6747
32,64,2,16384,500.16
32,64,4,128,24.3413
32,64,4,2048,112.16
32,64,8,16,29.1843
32,64,8,256,46.058
32,64,8,4096,380.085
32,64,16,32,37.1093
32,64,16,512,97.12
32,64,16,8192,997.247
32,64,32,64,55.9253
32,64,32,1024,284.97
32,64,32,16384,3986.04
32,64,64,128,151.637
32,64,64,2048,1042.24
32,128,0,0,20.469
32,128,1,128,20.2233
32,128,1,2048,75.2213
32,128,2,16,19.4027
32,128,2,256,23.2743
32,128,2,4096,136.138
32,128,4,32,22.2827
32,128,4,512,42.656
32,128,4,8192,391.723
32,128,8,64,33.8773
32,128,8,1024,109.045
32,128,8,16384,1226.2
32,128,16,128,53.1627
32,128,16,2048,281.781
32,128,32,16,59.232
32,128,32,256,112.757
32,128,32,4096,983.285
32,128,64,32,100.266
32,128,64,512,322.411
32,128,64,8192,4668.48
32,256,1,32,22.9653
32,256,1,512,30.155
32,256,1,8192,254.677
32,256,2,64,23.1897
32,256,2,1024,45.824
32,256,2,16384,499.498
32,256,4,128,28.3093
32,256,4,2048,112.139
32,256,8,16,40.8213
32,256,8,256,44.16
32,256,8,4096,382.218
32,256,16,32,45.1417
32,256,16,512,99.9997
32,256,16,8192,1065.7
32,256,32,64,67.2
32,256,32,1024,284.298
32,256,32,16384,4030.65
32,256,64,128,156.384
32,256,64,2048,1039.63
32,512,0,0,31.2213
32,512,1,128,30.2077
32,512,1,2048,75.168
32,512,2,16,30.3787
32,512,2,256,30.934
32,512,2,4096,136.918
32,512,4,32,33.2697
32,512,4,512,43.2423
32,512,4,8192,391.509
32,512,8,64,45.088
32,512,8,1024,110.133
32,512,8,16384,1301.15
32,512,16,128,65.0457
32,512,16,2048,292.79
32,512,32,16,74.699
32,512,32,256,123.723
32,512,32,4096,987.317
32,512,64,32,111.958
32,512,64,512,324.693
32,512,64,8192,4674.11
32,1024,1,32,44.843
32,1024,1,512,45.077
32,1024,1,8192,255.115
32,1024,2,64,45.3753
32,1024,2,1024,46.741
32,1024,2,16384,499.541
32,1024,4,128,50.464
32,1024,4,2048,112.8
32,1024,8,16,62.2297
32,1024,8,256,73.0557
32,1024,8,4096,372.917
32,1024,16,32,70.326
32,1024,16,512,119.051
32,1024,16,8192,1021.02
32,1024,32,64,91.8183
32,1024,32,1024,286.89
32,1024,32,16384,4133.37
32,1024,64,128,183.36
32,1024,64,2048,1052.63
32,2048,0,0,76.683
32,2048,1,128,74.8793
32,2048,1,2048,76.779
32,2048,2,16,75.808
32,2048,2,256,75.6163
32,2048,2,4096,137.259
32,2048,4,32,77.6313
32,2048,4,512,86.9117
32,2048,4,8192,393.012
32,2048,8,64,106.816
32,2048,8,1024,133.078
32,2048,8,16384,1319.48
32,2048,16,128,130.645
32,2048,16,2048,305.226
32,2048,32,16,135.136
