layer,tokens,time_us
act_fn,1,4.8
act_fn,5,4.51233
act_fn,9,4.55433
act_fn,13,4.53333
act_fn,20,4.58667
act_fn,36,4.65067
act_fn,52,4.75733
act_fn,80,4.65033
act_fn,144,7.11467
act_fn,208,7.456
act_fn,272,10.1333
act_fn,336,11.7123
act_fn,400,12.4587
act_fn,464,14.272
act_fn,528,15.5837
act_fn,592,16.821
act_fn,656,17.856
act_fn,720,19.285
act_fn,784,21.5573
act_fn,848,22.9013
act_fn,912,23.1893
act_fn,976,24.6827
act_fn,1040,25.8983
act_fn,1104,28.1703
act_fn,1168,29.1093
act_fn,1232,30.645
act_fn,1296,32.0107
act_fn,1360,33.6743
act_fn,1424,34.7197
act_fn,1488,36.4907
act_fn,1552,37.0563
act_fn,1616,38.8587
act_fn,1680,40.0853
act_fn,1744,41.2057
act_fn,1808,42.5923
act_fn,1872,43.9997
act_fn,1936,46.1013
act_fn,2000,47.4343
down_proj,1,37.3547
down_proj,5,37.8347
down_proj,9,38.0693
down_proj,13,38.4107
down_proj,20,41.5573
down_proj,36,40.0213
down_proj,52,41.088
down_proj,80,51.9683
down_proj,144,76.5013
down_proj,208,84.4053
down_proj,272,97.7603
down_proj,336,107.604
down_proj,400,146.644
down_proj,464,146.645
down_proj,528,185.45
down_proj,592,185.418
down_proj,656,186.368
down_proj,720,186.282
down_proj,784,276.106
down_proj,848,294.645
down_proj,912,296.415
down_proj,976,298.058
down_proj,1040,367.679
down_proj,1104,367.723
down_proj,1168,301.387
down_proj,1232,368.383
down_proj,1296,368.116
down_proj,1360,368.554
down_proj,1424,369.258
down_proj,1488,369.695
down_proj,1552,370.004
down_proj,1616,370.239
down_proj,1680,492.106
down_proj,1744,491.808
down_proj,1808,495.21
down_proj,1872,495.924
down_proj,1936,549.898
down_proj,2000,550.175
embedding,1,7.712
embedding,5,9.376
embedding,9,10.9973
embedding,13,12.64
embedding,20,6.41067
embedding,36,6.53867
embedding,52,6.848
embedding,80,7.147
embedding,144,7.936
embedding,208,8
embedding,272,8.64
embedding,336,8.91733
embedding,400,9.65333
embedding,464,10.2077
embedding,528,10.688
embedding,592,10.7627
embedding,656,10.9973
embedding,720,11.242
embedding,784,11.4553
embedding,848,11.8933
embedding,912,12.533
embedding,976,12.725
embedding,1040,12.8747
embedding,1104,13.0347
embedding,1168,13.077
embedding,1232,13.3333
embedding,1296,13.664
embedding,1360,14.0483
embedding,1424,14.219
embedding,1488,14.4
embedding,1552,14.7623
embedding,1616,14.9333
embedding,1680,15.3067
embedding,1744,15.606
embedding,1808,15.7437
embedding,1872,15.872
embedding,1936,16.3413
embedding,2000,16.5337
final_layernorm,1,5.27967
final_layernorm,5,4.94933
final_layernorm,9,4.90633
final_layernorm,13,5.056
final_layernorm,20,4.85333
final_layernorm,36,4.88567
final_layernorm,52,4.98133
final_layernorm,80,5.26933
final_layernorm,144,6.44267
final_layernorm,208,6.944
final_layernorm,272,8.096
final_layernorm,336,8.55467
final_layernorm,400,9.34367
final_layernorm,464,10.7093
final_layernorm,528,11.349
final_layernorm,592,12.288
final_layernorm,656,13.685
final_layernorm,720,14.5067
final_layernorm,784,15.9043
final_layernorm,848,16.5227
final_layernorm,912,17.5573
final_layernorm,976,18.5173
final_layernorm,1040,19.776
final_layernorm,1104,21.376
final_layernorm,1168,22.624
final_layernorm,1232,23.8183
final_layernorm,1296,23.4773
final_layernorm,1360,24.448
final_layernorm,1424,25.0453
final_layernorm,1488,25.8987
final_layernorm,1552,26.9543
final_layernorm,1616,28.3307
final_layernorm,1680,29.5357
final_layernorm,1744,30.101
final_layernorm,1808,30.549
final_layernorm,1872,31.6373
final_layernorm,1936,33.4827
final_layernorm,2000,33.973
gate_up_proj,1,66.1547
gate_up_proj,5,63.168
gate_up_proj,9,64.5863
gate_up_proj,13,64.693
gate_up_proj,20,63.989
gate_up_proj,36,68.5863
gate_up_proj,52,70.4103
gate_up_proj,80,79.5627
gate_up_proj,144,127.626
gate_up_proj,208,128.48
gate_up_proj,272,250.933
gate_up_proj,336,251.477
gate_up_proj,400,252.319
gate_up_proj,464,252.874
gate_up_proj,528,374.292
gate_up_proj,592,374.73
gate_up_proj,656,376.628
gate_up_proj,720,376.789
gate_up_proj,784,497.46
gate_up_proj,848,497.343
gate_up_proj,912,499.551
gate_up_proj,976,500.191
gate_up_proj,1040,503.306
gate_up_proj,1104,504.02
gate_up_proj,1168,623.295
gate_up_proj,1232,623.305
gate_up_proj,1296,627.476
gate_up_proj,1360,627.167
gate_up_proj,1424,744.969
gate_up_proj,1488,745.705
gate_up_proj,1552,750.601
gate_up_proj,1616,751.305
