layer,sequences,time_us
lm_head,1,336.171
lm_head,2,366.763
lm_head,3,359.862
lm_head,4,361.408
lm_head,5,362.731
lm_head,6,347.318
lm_head,7,349.067
lm_head,8,348.086
lm_head,9,349.013
lm_head,10,349.515
lm_head,11,350.626
lm_head,12,385.292
lm_head,13,385.718
lm_head,14,389.814
lm_head,15,388.406
lm_head,16,388.96
lm_head,20,372.054
lm_head,24,374.06
lm_head,28,375.936
lm_head,32,399.798
lm_head,36,369.814
lm_head,40,371.094
lm_head,44,371.991
lm_head,48,372.683
lm_head,52,372.928
lm_head,56,374.357
lm_head,60,373.11
lm_head,64,374.549
lm_head,80,407.648
lm_head,96,409.196
lm_head,112,410.348
lm_head,128,413.089
