prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,68.5337
0,0,1,32,68.9487
0,0,1,64,69.301
0,0,1,128,72.5773
0,0,1,256,75.35
0,0,1,512,78.9007
0,0,1,1024,88.394
0,0,1,2048,92.6933
0,0,2,16,66.5067
0,0,2,32,67.8523
0,0,2,64,71.1443
0,0,2,128,71.9473
0,0,2,256,78.9013
0,0,2,512,92.5547
0,0,2,1024,114.911
0,0,2,2048,149.386
0,0,4,16,68.435
0,0,4,32,71.37
0,0,4,64,71.3167
0,0,4,128,74.8157
0,0,4,256,84.6297
0,0,4,512,101.813
0,0,4,1024,128.991
0,0,4,2048,174.633
0,0,8,16,74.016
0,0,8,32,74.517
0,0,8,64,78.3243
0,0,8,128,84.0847
0,0,8,256,97.2477
0,0,8,512,120.34
0,0,8,1024,167.391
0,0,8,2048,243.55
0,0,16,16,77.269
0,0,16,32,80.0953
0,0,16,64,86.3783
0,0,16,128,96.309
0,0,16,256,116.448
0,0,16,512,155.838
0,0,16,1024,230.068
0,0,16,2048,366.846
0,0,32,16,87.1257
0,0,32,32,93.3433
0,0,32,64,102.697
0,0,32,128,117.995
0,0,32,256,157.802
0,0,32,512,226.326
0,0,32,1024,347.901
0,0,32,2048,561.915
0,0,64,16,118.559
0,0,64,32,125.301
0,0,64,64,141.46
0,0,64,128,172.382
0,0,64,256,231.945
0,0,64,512,363.027
0,0,64,1024,611.601
0,0,64,2048,1027.65
0,0,128,16,210.067
0,0,128,32,222.696
0,0,128,64,255.157
0,0,128,128,321.757
0,0,128,256,433.735
0,0,128,512,670.247
0,0,128,1024,1049.24
0,0,128,2048,1924.85
16,0,0,0,74.1337
16,0,1,16,83.0837
16,0,1,32,86.3247
16,0,1,64,92.864
16,0,1,128,106.817
16,0,1,256,123.09
16,0,1,512,156.159
16,0,1,1024,216.372
16,0,1,2048,316.949
16,0,2,16,79.136
16,0,2,32,82.047
16,0,2,64,88.2657
16,0,2,128,99.0187
16,0,2,256,120.585
16,0,2,512,160.926
16,0,2,1024,239.379
16,0,2,2048,390.206
16,0,4,16,79.6277
16,0,4,32,82.5813
16,0,4,64,91.3273
16,0,4,128,102.378
16,0,4,256,126.644
16,0,4,512,172.158
16,0,4,1024,248.628
16,0,4,2048,416.028
16,0,8,16,82.4853
16,0,8,32,85.9833
16,0,8,64,95.6043
16,0,8,128,107.561
16,0,8,256,138.346
16,0,8,512,192.448
16,0,8,1024,288.114
16,0,8,2048,458.162
16,0,16,16,87.1463
16,0,16,32,93.3217
16,0,16,64,102.69
16,0,16,128,118.132
16,0,16,256,157.994
16,0,16,512,226.559
16,0,16,1024,348.114
16,0,16,2048,562.577
16,0,32,16,103.222
16,0,32,32,110.39
16,0,32,64,118.548
16,0,32,128,142.976
16,0,32,256,189.322
16,0,32,512,266.432
16,0,32,1024,429.33
16,0,32,2048,750.907
16,0,64,16,134.539
16,0,64,32,144.042
16,0,64,64,161.151
16,0,64,128,202.784
16,0,64,256,277.065
16,0,64,512,418.813
16,0,64,1024,704.901
16,0,64,2048,1269.04
16,16,0,0,76.2873
16,16,1,16,82.997
16,16,1,32,86.2947
16,16,1,64,92.6937
16,16,1,128,106.954
16,16,1,256,123.168
16,16,1,512,155.965
16,16,1,1024,216.564
16,16,1,2048,316.735
16,16,2,16,79.06
16,16,2,32,81.9283
16,16,2,64,88.395
16,16,2,128,98.9753
16,16,2,256,120.341
16,16,2,512,161.192
16,16,2,1024,239.23
16,16,2,2048,389.661
16,16,4,16,79.593
16,16,4,32,82.4757
16,16,4,64,91.3697
16,16,4,128,102.571
16,16,4,256,126.59
16,16,4,512,171.964
16,16,4,1024,249.343
16,16,4,2048,416.755
16,16,8,16,82.518
16,16,8,32,86.1537
16,16,8,64,95.5207
16,16,8,128,107.539
16,16,8,256,138.133
16,16,8,512,192.338
16,16,8,1024,288.243
16,16,8,2048,456.528
16,16,16,16,87.125
16,16,16,32,93.4377
16,16,16,64,102.718
16,16,16,128,118.057
16,16,16,256,157.812
16,16,16,512,226.452
16,16,16,1024,347.964
16,16,16,2048,561.607
16,16,32,16,103.23
16,16,32,32,110.377
16,16,32,64,118.292
16,16,32,128,142.891
16,16,32,256,189.022
16,16,32,512,266.867
16,16,32,1024,430.013
16,16,32,2048,750.575
16,16,64,16,134.601
16,16,64,32,144.244
16,16,64,64,161.265
16,16,64,128,202.942
16,16,64,256,276.702
16,16,64,512,419.538
16,16,64,1024,705.083
16,16,64,2048,1270.01
16,32,0,0,77.729
16,32,1,16,83.081
16,32,1,32,86.1533
16,32,1,64,92.8643
16,32,1,128,106.932
16,32,1,256,123.104
16,32,1,512,155.839
16,32,1,1024,216.34
16,32,1,2048,316.712
16,32,2,16,79.1783
16,32,2,32,81.994
16,32,2,64,88.383
