prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,60.9163
0,0,1,32,61.2153
0,0,1,64,61.7377
0,0,1,128,62.3787
0,0,1,256,63.615
0,0,1,512,66.8817
0,0,1,1024,70.3133
0,0,1,2048,73.0337
0,0,2,16,62.528
0,0,2,32,61.9193
0,0,2,64,62.3143
0,0,2,128,62.9127
0,0,2,256,66.7937
0,0,2,512,68.9597
0,0,2,1024,73.0023
0,0,2,2048,80.7797
0,0,4,16,151.383
0,0,4,32,153.344
0,0,4,64,153.567
0,0,4,128,155.168
0,0,4,256,158.76
0,0,4,512,160.127
0,0,4,1024,166.294
0,0,4,2048,177.397
0,0,8,16,171.691
0,0,8,32,170.08
0,0,8,64,171.709
0,0,8,128,174.208
0,0,8,256,176.909
0,0,8,512,180.264
0,0,8,1024,187.978
0,0,8,2048,199.755
0,0,16,16,196.437
0,0,16,32,195.404
0,0,16,64,197.506
0,0,16,128,199.018
0,0,16,256,204.159
0,0,16,512,208.662
0,0,16,1024,222.911
0,0,16,2048,244.829
0,0,32,16,223.381
0,0,32,32,221.972
0,0,32,64,223.583
0,0,32,128,227.991
0,0,32,256,234.485
0,0,32,512,247.518
0,0,32,1024,274.655
0,0,32,2048,312.851
0,0,64,16,277.32
0,0,64,32,276.285
0,0,64,64,279.423
0,0,64,128,285.42
0,0,64,256,299.336
0,0,64,512,319.466
0,0,64,1024,361.131
0,0,64,2048,459.604
0,0,128,16,378.354
0,0,128,32,378.45
0,0,128,64,383.208
0,0,128,128,398.761
0,0,128,256,427.55
0,0,128,512,474.772
0,0,128,1024,565.694
0,0,128,2048,739.113
16,0,0,0,196.458
16,0,1,16,198.711
16,0,1,32,199.575
16,0,1,64,199.817
16,0,1,128,203.978
16,0,1,256,206.561
16,0,1,512,212.34
16,0,1,1024,226.762
16,0,1,2048,250.101
16,0,2,16,199.04
16,0,2,32,199.661
16,0,2,64,199.787
16,0,2,128,202.166
16,0,2,256,206.899
16,0,2,512,214.386
16,0,2,1024,229.202
16,0,2,2048,253.855
16,0,4,16,203.134
16,0,4,32,202.365
16,0,4,64,205.398
16,0,4,128,207.817
16,0,4,256,211.2
16,0,4,512,218.004
16,0,4,1024,234.754
16,0,4,2048,261.224
16,0,8,16,214.166
16,0,8,32,212.915
16,0,8,64,215.135
16,0,8,128,218.911
16,0,8,256,224.191
16,0,8,512,232.971
16,0,8,1024,252.609
16,0,8,2048,281.821
16,0,16,16,223.293
16,0,16,32,222.113
16,0,16,64,224.063
16,0,16,128,227.82
16,0,16,256,234.538
16,0,16,512,247.542
16,0,16,1024,274.815
16,0,16,2048,313.097
16,0,32,16,255.072
16,0,32,32,254.195
16,0,32,64,258.131
16,0,32,128,261.846
16,0,32,256,272.765
16,0,32,512,286.208
16,0,32,1024,318.058
16,0,32,2048,388.252
16,0,64,16,313.93
16,0,64,32,313.033
16,0,64,64,316.319
16,0,64,128,324.456
16,0,64,256,342.195
16,0,64,512,364.856
16,0,64,1024,417.065
16,0,64,2048,530.687
16,16,0,0,195.393
16,16,1,16,199.009
16,16,1,32,199.4
16,16,1,64,199.893
16,16,1,128,203.721
16,16,1,256,206.762
16,16,1,512,212.199
16,16,1,1024,226.453
16,16,1,2048,250.271
16,16,2,16,199.659
16,16,2,32,199.282
16,16,2,64,200.235
16,16,2,128,202.198
16,16,2,256,207.028
16,16,2,512,214.411
16,16,2,1024,229.076
16,16,2,2048,253.653
16,16,4,16,203.114
16,16,4,32,201.972
16,16,4,64,205.269
16,16,4,128,207.51
16,16,4,256,210.857
16,16,4,512,218.143
16,16,4,1024,234.517
16,16,4,2048,260.628
16,16,8,16,213.717
16,16,8,32,213.278
16,16,8,64,214.322
16,16,8,128,218.186
16,16,8,256,224.095
16,16,8,512,232.938
16,16,8,1024,252.565
16,16,8,2048,282.305
16,16,16,16,223.572
16,16,16,32,221.557
16,16,16,64,223.784
16,16,16,128,228.043
16,16,16,256,234.195
16,16,16,512,247.242
16,16,16,1024,274.249
16,16,16,2048,312.595
16,16,32,16,255.199
16,16,32,32,254.1
16,16,32,64,257.395
16,16,32,128,261.246
16,16,32,256,272.363
16,16,32,512,285.325
16,16,32,1024,318.088
16,16,32,2048,388.85
16,16,64,16,314.016
16,16,64,32,312.617
16,16,64,64,315.54
16,16,64,128,324.298
16,16,64,256,341.994
16,16,64,512,364.843
16,16,64,1024,417.138
16,16,64,2048,530.152
16,32,0,0,197.495
16,32,1,16,198.806
16,32,1,32,199.372
16,32,1,64,200.244
16,32,1,128,203.879
16,32,1,256,206.687
16,32,1,512,212.566
16,32,1,1024,227.07
16,32,1,2048,250.292
16,32,2,16,199.092
16,32,2,32,199.442
16,32,2,64,199.71
16,32,2,128,201.994
16,32,2,256,207.143
16,32,2,512,214.602
16,32,2,1024,229.341
16,32,2,2048,253.789
16,32,4,16,202.857
16,32,4,32,202.357
16,32,4,64,205.196
16,32,4,128,208.007
16,32,4,256,211.078
16,32,4,512,217.824
16,32,4,1024,234.922
16,32,4,2048,260.747
16,32,8,16,213.077
16,32,8,32,212.156
16,32,8,64,214.422
16,32,8,128,218.003
16,32,8,256,223.697
16,32,8,512,232.508
16,32,8,1024,252.429
16,32,8,2048,282.24
16,32,16,16,223.498
16,32,16,32,221.94
16,32,16,64,224.179
16,32,16,128,227.775
16,32,16,256,234.218
16,32,16,512,247.475
16,32,16,1024,274.377
16,32,16,2048,313.759
16,32,32,16,254.709
16,32,32,32,254.164
16,32,32,64,257.801
16,32,32,128,261.323
16,32,32,256,271.998
16,32,32,512,285.502
16,32,32,1024,317.97
16,32,32,2048,388.126
16,32,64,16,313.524
16,32,64,32,313.181
16,32,64,64,316.001
16,32,64,128,324.17
16,32,64,256,341.801
16,32,64,512,365.162
16,32,64,1024,417.652
16,32,64,2048,531.473
16,64,0,0,199.582
16,64,1,16,198.923
16,64,1,32,199.477
16,64,1,64,199.613
16,64,1,128,203.848
16,64,1,256,206.933
16,64,1,512,212.607
16,64,1,1024,226.889
16,64,1,2048,250.345
16,64,2,16,199.722
16,64,2,32,199.572
16,64,2,64,200.328
16,64,2,128,202.134
16,64,2,256,207.222
16,64,2,512,214.589
16,64,2,1024,229.547
