layer,tokens,time_us
embedding,1,4.59733
embedding,2,4.97067
embedding,3,5.33367
embedding,4,5.74933
embedding,5,6.09067
embedding,6,6.47433
embedding,7,6.848
embedding,8,7.17867
embedding,9,7.75433
embedding,10,8.09567
embedding,11,8.469
embedding,12,8.85333
embedding,13,9.216
embedding,14,9.568
embedding,15,9.97267
embedding,16,10.368
embedding,20,3.072
embedding,24,3.10367
embedding,28,3.125
embedding,32,3.15733
embedding,36,3.18933
embedding,40,3.26367
embedding,44,3.30667
embedding,48,3.381
embedding,52,3.40267
embedding,56,3.41367
embedding,60,3.43533
embedding,64,3.488
embedding,80,3.53033
embedding,96,3.60533
embedding,112,3.66933
embedding,128,3.744
embedding,144,3.73333
embedding,160,3.77567
embedding,176,3.79733
embedding,192,3.808
embedding,208,3.95733
embedding,224,3.904
embedding,240,3.98933
embedding,256,4.064
embedding,272,4.128
embedding,288,4.16
embedding,304,4.149
embedding,320,4.181
embedding,336,4.20267
embedding,352,4.26633
embedding,368,4.395
embedding,384,4.26667
embedding,400,4.25633
embedding,416,4.288
embedding,432,4.26667
embedding,448,4.67167
embedding,464,4.928
embedding,480,4.832
embedding,496,5.03467
embedding,512,4.95967
embedding,528,5.10933
embedding,544,5.14133
embedding,560,5.07733
embedding,576,5.30133
embedding,592,5.344
embedding,608,5.216
embedding,624,5.41867
embedding,640,5.49367
embedding,656,5.397
embedding,672,5.6
embedding,688,5.6
embedding,704,5.67467
embedding,720,5.61067
embedding,736,5.78133
embedding,752,5.909
embedding,768,5.87733
embedding,784,5.77067
embedding,800,5.93067
embedding,816,5.835
embedding,832,6.03733
embedding,848,6.123
embedding,864,6.16533
embedding,880,6.112
embedding,896,6.38933
embedding,912,6.4
embedding,928,6.34667
embedding,944,6.54933
embedding,960,6.47467
embedding,976,6.68833
embedding,992,6.73067
embedding,1008,6.54933
embedding,1024,6.59167
embedding,1040,6.88
embedding,1056,6.94367
embedding,1072,6.77333
embedding,1088,6.95433
embedding,1104,6.976
embedding,1120,6.89067
embedding,1136,7.072
embedding,1152,6.99733
embedding,1168,7.16833
embedding,1184,7.21067
embedding,1200,7.168
embedding,1216,7.11433
embedding,1232,7.22133
embedding,1248,7.28533
embedding,1264,7.424
embedding,1280,7.33867
embedding,1296,7.57333
embedding,1312,7.52
embedding,1328,7.46667
embedding,1344,7.54133
embedding,1360,7.72267
embedding,1376,7.58367
embedding,1392,7.70133
embedding,1408,7.744
embedding,1424,7.744
embedding,1440,8.05367
embedding,1456,7.86133
embedding,1472,7.95733
embedding,1488,8.17067
embedding,1504,8.096
embedding,1520,6.88
embedding,1536,8.256
embedding,1552,8.224
embedding,1568,8.29833
embedding,1584,7.168
embedding,1600,8.416
embedding,1616,7.605
embedding,1632,8.52233
embedding,1648,8.81067
embedding,1664,7.28567
embedding,1680,8.704
embedding,1696,7.73333
embedding,1712,7.787
embedding,1728,7.41333
embedding,1744,9.003
embedding,1760,8.88533
embedding,1776,7.56267
embedding,1792,7.57267
embedding,1808,9.13067
embedding,1824,9.13033
embedding,1840,8.93833
embedding,1856,7.81867
embedding,1872,7.79733
embedding,1888,9.35467
embedding,1904,7.91467
embedding,1920,7.925
embedding,1936,9.408
embedding,1952,8.45867
embedding,1968,8
embedding,1984,8.02133
embedding,2000,8.08533
embedding,2016,9.664
embedding,2032,8.992
embedding,2048,8.181
