tokens,activated_experts,time_us
2,4,101.728
4,4,149.748
4,8,169.429
8,4,85.514
8,8,137.461
8,16,222.794
16,4,86.933
16,8,139.124
16,16,223.253
16,32,393.589
32,4,116.394
32,8,140.203
32,16,228.404
32,32,400.831
64,4,113.535
64,8,141.621
64,16,234.069
64,32,413.108
128,4,134.815
128,8,160.128
128,16,257.195
128,32,434.484
256,4,204
256,8,213.631
256,16,288.265
256,32,454.643
512,4,288.32
512,8,290.848
512,16,346.784
512,32,460.904
1024,4,506.399
1024,8,506.943
1024,16,593.76
1024,32,622.217
2048,4,899.434
2048,8,898.068
2048,16,899.445
2048,32,1151.98
