layer,sequences,time_us
lm_head,1,186.197
lm_head,2,218.687
lm_head,3,219.359
lm_head,4,221.086
lm_head,5,223.061
lm_head,6,223.455
lm_head,7,224.649
lm_head,8,227.135
lm_head,9,228.159
lm_head,10,228.543
lm_head,11,230.421
lm_head,12,229.887
lm_head,13,229.779
lm_head,14,232.18
lm_head,15,231.742
lm_head,16,234.559
lm_head,20,211.145
lm_head,24,212.745
lm_head,28,214.814
lm_head,32,215.956
lm_head,36,223.625
lm_head,40,223.829
lm_head,44,224.468
lm_head,48,225.599
lm_head,52,225.77
lm_head,56,226.154
lm_head,60,226.57
lm_head,64,227.679
lm_head,80,269.139
lm_head,96,270.195
lm_head,112,273.075
lm_head,128,275.412
