prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,66.7823
0,0,1,32,68.8963
0,0,1,64,69.5483
0,0,1,128,72.5327
0,0,1,256,75.2633
0,0,1,512,78.891
0,0,1,1024,88.033
0,0,1,2048,92.767
0,0,2,16,64.5553
0,0,2,32,66.207
0,0,2,64,69.386
0,0,2,128,70.345
0,0,2,256,76.885
0,0,2,512,90.293
0,0,2,1024,112.907
0,0,2,2048,148.168
0,0,4,16,68.246
0,0,4,32,71.3607
0,0,4,64,71.5943
0,0,4,128,74.8583
0,0,4,256,84.67
0,0,4,512,102.066
0,0,4,1024,128.683
0,0,4,2048,174.827
0,0,8,16,72.46
0,0,8,32,73.1297
0,0,8,64,76.8653
0,0,8,128,82.3777
0,0,8,256,95.786
0,0,8,512,118.975
0,0,8,1024,166.111
0,0,8,2048,241.162
0,0,16,16,77.2133
0,0,16,32,80.074
0,0,16,64,86.005
0,0,16,128,96.309
0,0,16,256,116.776
0,0,16,512,155.774
0,0,16,1024,229.909
0,0,16,2048,366.215
0,0,32,16,86.7923
0,0,32,32,92.4367
0,0,32,64,102.089
0,0,32,128,117.385
0,0,32,256,157.448
0,0,32,512,225.492
0,0,32,1024,348.22
0,0,32,2048,561.234
0,0,64,16,118.516
0,0,64,32,125.899
0,0,64,64,142.11
0,0,64,128,172.894
0,0,64,256,232.019
0,0,64,512,366.74
0,0,64,1024,604.004
0,0,64,2048,1027
0,0,128,16,210.046
0,0,128,32,222.707
0,0,128,64,255.113
0,0,128,128,320.564
0,0,128,256,432.169
0,0,128,512,669.603
0,0,128,1024,1051.21
0,0,128,2048,1952.95
16,0,0,0,74.0703
16,0,1,16,83.8927
16,0,1,32,86.6663
16,0,1,64,93.0227
16,0,1,128,107.316
16,0,1,256,124.041
16,0,1,512,156.139
16,0,1,1024,217.076
16,0,1,2048,317.18
16,0,2,16,79.2733
16,0,2,32,81.9303
16,0,2,64,87.7643
16,0,2,128,98.9977
16,0,2,256,119.925
16,0,2,512,160.938
16,0,2,1024,238.932
16,0,2,2048,389.395
16,0,4,16,79.52
16,0,4,32,82.8153
16,0,4,64,91.5633
16,0,4,128,102.218
16,0,4,256,126.858
16,0,4,512,171.839
16,0,4,1024,249.02
16,0,4,2048,415.899
16,0,8,16,82.2497
16,0,8,32,85.7147
16,0,8,64,95.1983
16,0,8,128,107.316
16,0,8,256,138.112
16,0,8,512,192.159
16,0,8,1024,288.284
16,0,8,2048,456.945
16,0,16,16,86.783
16,0,16,32,92.4897
16,0,16,64,102.282
16,0,16,128,117.363
16,0,16,256,157.311
16,0,16,512,225.907
16,0,16,1024,347.537
16,0,16,2048,560.741
16,0,32,16,102.857
16,0,32,32,110.335
16,0,32,64,118.516
16,0,32,128,143.434
16,0,32,256,189.364
16,0,32,512,266.695
16,0,32,1024,429.543
16,0,32,2048,751.312
16,0,64,16,134.932
16,0,64,32,143.327
16,0,64,64,160.415
16,0,64,128,201.908
16,0,64,256,275.613
16,0,64,512,417.809
16,0,64,1024,703.042
16,0,64,2048,1266.3
16,16,0,0,75.9137
16,16,1,16,83.8383
16,16,1,32,86.739
16,16,1,64,92.981
16,16,1,128,107.292
16,16,1,256,124.063
16,16,1,512,156.138
16,16,1,1024,217.053
16,16,1,2048,316.744
16,16,2,16,79.1897
16,16,2,32,81.845
