layer,tokens,time_us
embedding,1,4.608
embedding,2,4.992
embedding,3,5.39733
embedding,4,5.77033
embedding,5,6.16533
embedding,6,6.464
embedding,7,6.89067
embedding,8,7.22133
embedding,9,7.75467
embedding,10,8.139
embedding,11,8.544
embedding,12,8.86367
embedding,13,9.22667
embedding,14,9.61067
embedding,15,10.0477
embedding,16,10.3577
embedding,20,3.083
embedding,24,3.09333
embedding,28,3.11467
embedding,32,3.168
embedding,36,3.21067
embedding,40,3.28533
embedding,44,3.317
embedding,48,3.392
embedding,52,3.424
embedding,56,3.43433
embedding,60,3.467
embedding,64,3.49867
embedding,80,3.57367
embedding,96,3.63733
embedding,112,3.712
embedding,128,3.776
embedding,144,3.808
embedding,160,3.808
embedding,176,3.81867
embedding,192,3.84
embedding,208,3.98933
embedding,224,3.97833
embedding,240,4.03233
embedding,256,4.08567
embedding,272,4.18133
embedding,288,4.09567
embedding,304,4.096
embedding,320,4.08533
embedding,336,4.13867
embedding,352,4.128
embedding,368,4.20267
embedding,384,4.29867
embedding,400,4.33067
embedding,416,4.29833
embedding,432,4.288
embedding,448,4.52267
embedding,464,4.83133
embedding,480,4.683
embedding,496,4.95967
embedding,512,4.88567
embedding,528,5.09867
embedding,544,5.04533
embedding,560,5.13067
embedding,576,5.35467
embedding,592,5.24767
embedding,608,5.26933
embedding,624,5.35467
embedding,640,5.52533
embedding,656,5.525
embedding,672,5.49333
embedding,688,5.728
embedding,704,5.824
embedding,720,5.64267
embedding,736,5.89867
embedding,752,5.87733
embedding,768,5.90967
embedding,784,5.86667
embedding,800,5.888
embedding,816,5.99467
embedding,832,6.08
embedding,848,6.144
embedding,864,6.13333
embedding,880,6.069
embedding,896,6.219
embedding,912,6.35733
embedding,928,6.41067
embedding,944,6.47467
embedding,960,6.58167
embedding,976,6.54867
embedding,992,6.763
embedding,1008,6.61333
embedding,1024,6.73033
embedding,1040,6.83733
embedding,1056,6.86967
embedding,1072,6.76267
embedding,1088,7.008
embedding,1104,6.85867
embedding,1120,7.093
embedding,1136,7.05067
embedding,1152,7.14667
embedding,1168,7.22133
embedding,1184,7.11533
embedding,1200,7.42367
embedding,1216,7.2
embedding,1232,7.28533
embedding,1248,7.40267
embedding,1264,7.43433
embedding,1280,7.56267
embedding,1296,7.59467
embedding,1312,7.47767
embedding,1328,7.49867
embedding,1344,7.70167
embedding,1360,7.74433
embedding,1376,7.69067
embedding,1392,7.74433
embedding,1408,7.744
embedding,1424,7.79733
embedding,1440,8.011
embedding,1456,7.98933
embedding,1472,8
embedding,1488,8.04233
embedding,1504,8.213
embedding,1520,6.83767
embedding,1536,8.25567
embedding,1552,8.48
embedding,1568,8.39467
embedding,1584,8.43733
embedding,1600,8.512
embedding,1616,8.52267
embedding,1632,8.608
embedding,1648,8.81067
embedding,1664,8.832
embedding,1680,8.78933
embedding,1696,8.85367
embedding,1712,8.885
embedding,1728,8.939
embedding,1744,9.12
embedding,1760,8.98133
embedding,1776,9.03433
embedding,1792,9.248
embedding,1808,9.259
embedding,1824,9.333
embedding,1840,9.216
embedding,1856,9.26933
embedding,1872,9.376
embedding,1888,7.82933
embedding,1904,9.632
embedding,1920,9.536
embedding,1936,9.62167
embedding,1952,9.55733
embedding,1968,9.64267
embedding,1984,9.67467
embedding,2000,9.71733
embedding,2016,9.74933
embedding,2032,8.192
embedding,2048,10.0267
ffn_norm,1,7.10367
ffn_norm,2,6.731
ffn_norm,3,6.99733
ffn_norm,4,6.496
ffn_norm,5,6.47467
ffn_norm,6,6.25067
ffn_norm,7,6.25067
ffn_norm,8,6.144
ffn_norm,9,6.229
ffn_norm,10,6.293
ffn_norm,11,6.35733
ffn_norm,12,6.25033
ffn_norm,13,6.28267
ffn_norm,14,6.38933
ffn_norm,15,6.38933
ffn_norm,16,6.35733
ffn_norm,20,6.40033
ffn_norm,24,6.34667
ffn_norm,28,6.43167
ffn_norm,32,6.37867
ffn_norm,36,6.50667
ffn_norm,40,6.4
ffn_norm,44,6.44267
ffn_norm,48,6.528
ffn_norm,52,6.571
ffn_norm,56,6.50667
ffn_norm,60,6.61333
ffn_norm,64,6.69867
ffn_norm,80,6.72
ffn_norm,96,6.92233
ffn_norm,112,6.99733
ffn_norm,128,7.2
ffn_norm,144,7.18933
ffn_norm,160,7.38133
ffn_norm,176,7.40233
ffn_norm,192,7.232
ffn_norm,208,7.467
ffn_norm,224,7.499
ffn_norm,240,7.64767
ffn_norm,256,7.58367
ffn_norm,272,7.65833
ffn_norm,288,7.627
ffn_norm,304,7.712
ffn_norm,320,7.584
ffn_norm,336,7.65867
ffn_norm,352,7.744
ffn_norm,368,7.66933
ffn_norm,384,7.68
ffn_norm,400,7.808
ffn_norm,416,7.73333
ffn_norm,432,7.85067
ffn_norm,448,7.79733
ffn_norm,464,7.883
ffn_norm,480,7.97867
ffn_norm,496,7.98933
ffn_norm,512,7.94667
ffn_norm,528,7.94667
ffn_norm,544,8.032
ffn_norm,560,8.096
ffn_norm,576,8.10667
ffn_norm,592,8.07467
ffn_norm,608,8.096
ffn_norm,624,8.21333
ffn_norm,640,8.20267
ffn_norm,656,8.13867
ffn_norm,672,8.24533
ffn_norm,688,8.373
ffn_norm,704,8.36267
ffn_norm,720,8.341
ffn_norm,736,8.41633
ffn_norm,752,8.59733
ffn_norm,768,8.53333
ffn_norm,784,8.41633
ffn_norm,800,8.45867
ffn_norm,816,8.55467
ffn_norm,832,8.512
ffn_norm,848,8.52267
ffn_norm,864,8.72533
ffn_norm,880,8.768
ffn_norm,896,8.84267
ffn_norm,912,8.87433
ffn_norm,928,8.928
ffn_norm,944,9.04533
ffn_norm,960,9.03467
ffn_norm,976,9.056
ffn_norm,992,9.29067
ffn_norm,1008,9.227
ffn_norm,1024,9.45067
ffn_norm,1040,9.568
ffn_norm,1056,9.54667
ffn_norm,1072,9.71733
ffn_norm,1088,9.792
ffn_norm,1104,9.984
ffn_norm,1120,10.112
ffn_norm,1136,10.272
ffn_norm,1152,10.3147
ffn_norm,1168,10.1333
ffn_norm,1184,10.4857
ffn_norm,1200,10.5067
ffn_norm,1216,10.4537
ffn_norm,1232,10.7203
ffn_norm,1248,10.9227
ffn_norm,1264,10.955
ffn_norm,1280,10.8913
ffn_norm,1296,11.3067
ffn_norm,1312,11.4237
ffn_norm,1328,11.5197
ffn_norm,1344,11.6267
ffn_norm,1360,11.488
ffn_norm,1376,11.6693
ffn_norm,1392,11.2533
ffn_norm,1408,11.712
ffn_norm,1424,11.68
ffn_norm,1440,12.0533
ffn_norm,1456,11.744
ffn_norm,1472,12.053
ffn_norm,1488,12.043
ffn_norm,1504,12.2453
ffn_norm,1520,10.176
ffn_norm,1536,12.2243
ffn_norm,1552,12.64
ffn_norm,1568,12.4267
ffn_norm,1584,12.9707
ffn_norm,1600,12.768
ffn_norm,1616,12.832
ffn_norm,1632,13.0133
ffn_norm,1648,12.6933
ffn_norm,1664,12.7253
ffn_norm,1680,12.9707
ffn_norm,1696,12.9277
ffn_norm,1712,13.024
ffn_norm,1728,12.2777
ffn_norm,1744,13.8027
ffn_norm,1760,14.4963
ffn_norm,1776,14.464
ffn_norm,1792,14.1863
ffn_norm,1808,14.2187
ffn_norm,1824,15.915
ffn_norm,1840,14.9227
ffn_norm,1856,14.944
ffn_norm,1872,15.0193
ffn_norm,1888,13.195
ffn_norm,1904,15.3817
ffn_norm,1920,15.6267
ffn_norm,1936,15.5413
ffn_norm,1952,15.456
ffn_norm,1968,15.5733
ffn_norm,1984,15.3177
ffn_norm,2000,15.7547
ffn_norm,2016,15.5623
ffn_norm,2032,13.568
ffn_norm,2048,15.8293
final_norm,1,6.22967
final_norm,2,6.39967
final_norm,3,6.53867
final_norm,4,6.48567
final_norm,5,6.219
final_norm,6,6.29333
final_norm,7,6.17633
final_norm,8,6.08
final_norm,9,6.293
final_norm,10,6.16533
final_norm,11,6.144
final_norm,12,6.20833
final_norm,13,6.08033
final_norm,14,6.08033
final_norm,15,6.24
final_norm,16,6.357
final_norm,20,6.4
final_norm,24,6.18667
final_norm,28,6.34733
final_norm,32,6.26133
final_norm,36,6.37867
final_norm,40,6.368
final_norm,44,6.347
final_norm,48,6.26133
final_norm,52,6.368
final_norm,56,6.4
final_norm,60,6.41033
final_norm,64,6.42133
final_norm,80,6.528
final_norm,96,6.805
final_norm,112,6.88
final_norm,128,6.92267
final_norm,144,6.987
final_norm,160,6.87967
final_norm,176,7.15767
final_norm,192,7.06133
final_norm,208,7.08267
final_norm,224,6.997
final_norm,240,7.22133
final_norm,256,7.18933
final_norm,272,7.14667
final_norm,288,7.15733
final_norm,304,7.30667
final_norm,320,7.24267
final_norm,336,7.24267
final_norm,352,7.424
final_norm,368,7.32833
final_norm,384,7.477
final_norm,400,7.456
final_norm,416,7.488
final_norm,432,7.488
final_norm,448,7.57333
final_norm,464,7.63733
final_norm,480,7.59433
final_norm,496,7.66933
final_norm,512,7.56267
final_norm,528,7.73333
final_norm,544,7.70167
final_norm,560,8.00033
final_norm,576,7.75467
final_norm,592,7.69033
final_norm,608,7.76533
final_norm,624,7.93533
final_norm,640,7.81867
final_norm,656,7.97833
final_norm,672,7.915
final_norm,688,7.97833
final_norm,704,8.128
final_norm,720,8.288
final_norm,736,8.24533
final_norm,752,8.416
final_norm,768,8.43733
final_norm,784,8.42667
final_norm,800,8.53367
final_norm,816,8.608
final_norm,832,8.672
final_norm,848,8.59733
final_norm,864,8.64
final_norm,880,8.87433
final_norm,896,8.82133
final_norm,912,8.992
final_norm,928,9.099
final_norm,944,9.227
final_norm,960,9.13067
final_norm,976,9.195
final_norm,992,9.39767
final_norm,1008,9.32267
final_norm,1024,9.451
final_norm,1040,9.536
final_norm,1056,9.52533
final_norm,1072,9.888
final_norm,1088,9.81367
final_norm,1104,10.1443
final_norm,1120,10.0163
final_norm,1136,10.1227
final_norm,1152,10.2723
final_norm,1168,10.3997
final_norm,1184,10.2933
final_norm,1200,10.4853
final_norm,1216,10.4427
final_norm,1232,10.5707
final_norm,1248,10.6987
final_norm,1264,10.8797
final_norm,1280,10.944
final_norm,1296,10.8373
final_norm,1312,11.0717
final_norm,1328,11.2
final_norm,1344,11.4663
final_norm,1360,11.488
final_norm,1376,11.584
final_norm,1392,11.5733
final_norm,1408,11.68
final_norm,1424,11.6803
final_norm,1440,11.659
final_norm,1456,11.6907
final_norm,1472,11.9043
final_norm,1488,12.043
final_norm,1504,12.2133
final_norm,1520,9.98467
final_norm,1536,12.3093
final_norm,1552,12.267
final_norm,1568,12.4267
final_norm,1584,12.6403
final_norm,1600,12.5227
final_norm,1616,12.864
final_norm,1632,12.992
final_norm,1648,12.789
final_norm,1664,13.216
final_norm,1680,12.7787
final_norm,1696,13.1627
final_norm,1712,12.8317
final_norm,1728,12.064
final_norm,1744,14.2397
final_norm,1760,14.6347
final_norm,1776,14.4533
final_norm,1792,14.6033
final_norm,1808,14.8377
final_norm,1824,14.848
final_norm,1840,14.88
final_norm,1856,14.8053
final_norm,1872,15.157
final_norm,1888,12.6823
final_norm,1904,15.1783
final_norm,1920,15.552
final_norm,1936,15.2427
final_norm,1952,15.1467
final_norm,1968,15.371
final_norm,1984,15.6053
final_norm,2000,15.5627
final_norm,2016,15.424
final_norm,2032,13.1413
final_norm,2048,15.6587
input_norm,1,6.53867
input_norm,2,6.69867
input_norm,3,6.69867
input_norm,4,6.47467
input_norm,5,6.496
input_norm,6,6.47467
input_norm,7,6.25067
input_norm,8,6.24033
input_norm,9,6.28267
input_norm,10,6.304
input_norm,11,6.28267
input_norm,12,6.304
input_norm,13,6.26133
input_norm,14,6.13333
input_norm,15,6.12233
input_norm,16,6.29333
input_norm,20,5.984
input_norm,24,6.01633
input_norm,28,6.01567
input_norm,32,6.027
input_norm,36,6.048
input_norm,40,6.03733
input_norm,44,6.09033
input_norm,48,6.08
input_norm,52,6.09033
input_norm,56,6.12267
input_norm,60,6.15467
input_norm,64,6.144
input_norm,80,6.26133
input_norm,96,6.4
input_norm,112,6.784
input_norm,128,6.784
input_norm,144,6.79467
input_norm,160,6.79467
input_norm,176,6.84733
input_norm,192,6.912
input_norm,208,6.95467
input_norm,224,7.01867
input_norm,240,7.04
input_norm,256,7.104
input_norm,272,7.06133
input_norm,288,7.09333
input_norm,304,7.11467
input_norm,320,7.02933
input_norm,336,7.168
input_norm,352,7.14667
input_norm,368,7.14667
input_norm,384,7.28533
input_norm,400,7.25367
input_norm,416,7.25333
input_norm,432,7.22133
input_norm,448,7.37067
input_norm,464,7.30667
input_norm,480,7.30667
input_norm,496,7.25333
input_norm,512,7.25333
input_norm,528,7.21067
input_norm,544,7.26367
input_norm,560,7.27467
input_norm,576,7.264
input_norm,592,7.31733
input_norm,608,7.34967
input_norm,624,7.37067
input_norm,640,7.49867
input_norm,656,7.47733
input_norm,672,7.53067
input_norm,688,7.627
input_norm,704,7.62667
input_norm,720,7.73367
input_norm,736,7.755
input_norm,752,7.78667
input_norm,768,7.968
input_norm,784,8.05333
input_norm,800,7.98933
input_norm,816,8.03167
input_norm,832,8.213
input_norm,848,8.26667
input_norm,864,8.224
input_norm,880,8.40533
input_norm,896,8.46933
input_norm,912,8.56533
input_norm,928,8.59733
input_norm,944,8.71467
input_norm,960,8.71467
input_norm,976,8.78933
input_norm,992,8.88567
input_norm,1008,9.04533
input_norm,1024,9.184
input_norm,1040,9.19467
input_norm,1056,9.34433
input_norm,1072,9.39733
input_norm,1088,9.483
input_norm,1104,9.55733
input_norm,1120,9.68533
input_norm,1136,9.80267
input_norm,1152,9.952
input_norm,1168,9.81333
input_norm,1184,9.888
input_norm,1200,10.2297
input_norm,1216,10.112
input_norm,1232,10.272
input_norm,1248,10.5913
input_norm,1264,10.4533
input_norm,1280,10.56
input_norm,1296,10.752
input_norm,1312,10.9437
input_norm,1328,11.0187
input_norm,1344,11.0613
input_norm,1360,11.0187
input_norm,1376,11.1467
input_norm,1392,11.136
input_norm,1408,11.0937
input_norm,1424,11.0933
input_norm,1440,11.4667
input_norm,1456,11.6273
input_norm,1472,11.4027
input_norm,1488,11.456
input_norm,1504,11.968
input_norm,1520,9.728
input_norm,1536,11.9037
input_norm,1552,11.712
input_norm,1568,11.8937
input_norm,1584,12.1067
input_norm,1600,12.0107
input_norm,1616,12.096
input_norm,1632,12.1173
input_norm,1648,12.8107
input_norm,1664,12.7893
input_norm,1680,12.7573
input_norm,1696,13.0343
input_norm,1712,12.7787
input_norm,1728,12.2987
input_norm,1744,13.1093
input_norm,1760,13.3227
input_norm,1776,13.3863
input_norm,1792,13.504
input_norm,1808,13.6213
input_norm,1824,13.8027
input_norm,1840,13.6217
input_norm,1856,14.1437
input_norm,1872,14.112
input_norm,1888,11.424
input_norm,1904,14.24
input_norm,1920,14.336
input_norm,1936,14.4213
input_norm,1952,14.5923
input_norm,1968,14.8267
input_norm,1984,14.709
input_norm,2000,14.6133
input_norm,2016,14.9547
input_norm,2032,12.224
input_norm,2048,15.0183
kv_norm,1,4.18133
kv_norm,2,8.672
kv_norm,3,8.00033
kv_norm,4,7.989
kv_norm,5,7.95733
kv_norm,6,8.07533
kv_norm,7,8.39467
kv_norm,8,8.56467
kv_norm,9,8.46933
kv_norm,10,8.512
kv_norm,11,8.53333
kv_norm,12,8.53367
kv_norm,13,8.715
kv_norm,14,8.74667
kv_norm,15,8.736
kv_norm,16,8.832
kv_norm,20,8.949
kv_norm,24,8.959
kv_norm,28,8.93867
kv_norm,32,8.93867
kv_norm,36,9.01333
kv_norm,40,8.992
kv_norm,44,8.938
kv_norm,48,8.93867
kv_norm,52,9.03467
kv_norm,56,9.02333
kv_norm,60,9.034
kv_norm,64,9.13067
kv_norm,80,9.21567
kv_norm,96,9.408
kv_norm,112,9.6
kv_norm,128,9.57867
kv_norm,144,9.696
kv_norm,160,9.64267
kv_norm,176,9.717
kv_norm,192,9.70667
kv_norm,208,9.78167
kv_norm,224,9.83433
kv_norm,240,9.80233
kv_norm,256,9.92
kv_norm,272,9.84533
kv_norm,288,9.93067
kv_norm,304,9.96267
kv_norm,320,10.0373
kv_norm,336,9.952
kv_norm,352,10.0267
kv_norm,368,10.0907
kv_norm,384,10.1017
kv_norm,400,10.1547
kv_norm,416,10.177
kv_norm,432,10.1863
kv_norm,448,10.2083
kv_norm,464,10.272
kv_norm,480,10.3037
kv_norm,496,10.336
kv_norm,512,10.3677
kv_norm,528,10.3683
kv_norm,544,10.4427
kv_norm,560,10.4213
kv_norm,576,10.4317
kv_norm,592,10.464
kv_norm,608,10.549
kv_norm,624,10.5283
kv_norm,640,10.6347
kv_norm,656,10.6453
kv_norm,672,10.6667
kv_norm,688,10.72
kv_norm,704,10.8163
kv_norm,720,11.1357
kv_norm,736,10.9443
kv_norm,752,11.1893
kv_norm,768,11.4133
kv_norm,784,11.4777
kv_norm,800,11.499
kv_norm,816,11.456
kv_norm,832,11.6267
kv_norm,848,11.861
kv_norm,864,11.776
kv_norm,880,12.096
kv_norm,896,12.2027
kv_norm,912,11.84
kv_norm,928,12.1813
kv_norm,944,12.0853
kv_norm,960,12.2447
kv_norm,976,12.4903
kv_norm,992,12.5977
kv_norm,1008,12.3947
kv_norm,1024,12.618
kv_norm,1040,12.704
kv_norm,1056,12.7573
kv_norm,1072,12.992
kv_norm,1088,12.9067
kv_norm,1104,12.9173
kv_norm,1120,13.1733
kv_norm,1136,13.3437
kv_norm,1152,13.1523
kv_norm,1168,13.3443
kv_norm,1184,13.3013
kv_norm,1200,13.3867
kv_norm,1216,13.3653
kv_norm,1232,13.5797
kv_norm,1248,13.5897
kv_norm,1264,13.6747
kv_norm,1280,13.7817
kv_norm,1296,13.824
kv_norm,1312,13.9307
kv_norm,1328,13.8773
kv_norm,1344,13.92
kv_norm,1360,14.005
kv_norm,1376,13.952
kv_norm,1392,13.9947
kv_norm,1408,13.9847
kv_norm,1424,14.3573
kv_norm,1440,14.4107
kv_norm,1456,14.518
kv_norm,1472,14.6137
kv_norm,1488,14.3147
kv_norm,1504,14.4217
kv_norm,1520,12.3627
kv_norm,1536,14.485
kv_norm,1552,15.627
kv_norm,1568,16.0427
kv_norm,1584,16.214
kv_norm,1600,16.31
kv_norm,1616,16.1173
kv_norm,1632,16.235
kv_norm,1648,16.7253
kv_norm,1664,16.4587
kv_norm,1680,16.512
kv_norm,1696,16.747
kv_norm,1712,16.9707
kv_norm,1728,16.821
kv_norm,1744,17.632
kv_norm,1760,18.283
kv_norm,1776,17.8457
kv_norm,1792,18.3147
kv_norm,1808,18.1227
kv_norm,1824,18.1973
kv_norm,1840,18.048
kv_norm,1856,18.3043
kv_norm,1872,18.8587
kv_norm,1888,16.1067
kv_norm,1904,18.933
kv_norm,1920,18.9333
kv_norm,1936,18.7627
kv_norm,1952,18.603
kv_norm,1968,18.72
kv_norm,1984,19.0297
kv_norm,2000,18.9547
kv_norm,2016,18.9763
kv_norm,2032,16.245
kv_norm,2048,19.2003
o_lora_a,1,43.7333
o_lora_a,2,69.3227
o_lora_a,3,69.3973
o_lora_a,4,69.3107
o_lora_a,5,69.558
o_lora_a,6,69.547
o_lora_a,7,69.5033
o_lora_a,8,69.5473
o_lora_a,9,69.7503
o_lora_a,10,69.7813
o_lora_a,11,69.6533
o_lora_a,12,69.803
o_lora_a,13,69.738
o_lora_a,14,69.8783
o_lora_a,15,69.6837
o_lora_a,16,69.8023
o_lora_a,20,70.475
o_lora_a,24,70.9867
o_lora_a,28,71.1037
o_lora_a,32,71.318
o_lora_a,36,71.6053
o_lora_a,40,71.6907
o_lora_a,44,71.893
o_lora_a,48,72.384
o_lora_a,52,72.3303
o_lora_a,56,72.8103
o_lora_a,60,73.216
o_lora_a,64,73.5147
o_lora_a,80,73.696
o_lora_a,96,73.7487
o_lora_a,112,76.1597
o_lora_a,128,76.1173
o_lora_a,144,73.8663
o_lora_a,160,74.2187
o_lora_a,176,74.186
o_lora_a,192,74.6673
o_lora_a,208,75.0297
o_lora_a,224,75.2427
o_lora_a,240,75.593
o_lora_a,256,75.7227
o_lora_a,272,75.9467
o_lora_a,288,76.2247
o_lora_a,304,76.7697
o_lora_a,320,77.301
o_lora_a,336,77.483
o_lora_a,352,77.5263
o_lora_a,368,77.6213
o_lora_a,384,77.6867
o_lora_a,400,78.3997
o_lora_a,416,79.416
o_lora_a,432,80.0537
o_lora_a,448,79.744
o_lora_a,464,81.4617
o_lora_a,480,81.1843
o_lora_a,496,81.4517
o_lora_a,512,81.6417
o_lora_a,528,82.9877
o_lora_a,544,83.8293
o_lora_a,560,84.4597
o_lora_a,576,84.5867
o_lora_a,592,86.2827
o_lora_a,608,87.339
o_lora_a,624,87.9367
o_lora_a,640,89.152
o_lora_a,656,88.5653
o_lora_a,672,88.8303
o_lora_a,688,89.4603
o_lora_a,704,90.186
o_lora_a,720,97.44
o_lora_a,736,97.43
o_lora_a,752,97.6113
o_lora_a,768,97.6213
o_lora_a,784,97.8453
o_lora_a,800,98.4213
o_lora_a,816,98.3367
o_lora_a,832,98.2613
o_lora_a,848,99.0067
o_lora_a,864,99.168
o_lora_a,880,99.222
o_lora_a,896,99.296
o_lora_a,912,100
o_lora_a,928,100.671
o_lora_a,944,100.384
o_lora_a,960,100.438
o_lora_a,976,101.077
o_lora_a,992,101.419
o_lora_a,1008,101.472
o_lora_a,1024,101.515
o_lora_a,1040,101.898
o_lora_a,1056,102.763
o_lora_a,1072,102.4
o_lora_a,1088,102.89
o_lora_a,1104,103.829
o_lora_a,1120,104.053
o_lora_a,1136,103.564
o_lora_a,1152,103.562
o_lora_a,1168,104.383
o_lora_a,1184,105.44
o_lora_a,1200,105.985
o_lora_a,1216,104.64
o_lora_a,1232,107.916
o_lora_a,1248,108.982
o_lora_a,1264,109.483
o_lora_a,1280,110.014
o_lora_a,1296,110.615
o_lora_a,1312,111.265
o_lora_a,1328,111.157
o_lora_a,1344,112.064
o_lora_a,1360,112.373
o_lora_a,1376,112.746
o_lora_a,1392,112.555
o_lora_a,1408,113.024
o_lora_a,1424,114.379
o_lora_a,1440,114.549
o_lora_a,1456,114.849
o_lora_a,1472,114.858
o_lora_a,1488,116.427
o_lora_a,1504,117.898
o_lora_a,1520,95.8827
o_lora_a,1536,116.895
o_lora_a,1552,117.899
o_lora_a,1568,118.208
o_lora_a,1584,117.621
o_lora_a,1600,117.771
o_lora_a,1616,119.115
o_lora_a,1632,119.307
o_lora_a,1648,119.105
o_lora_a,1664,119.211
o_lora_a,1680,120.16
o_lora_a,1696,120.514
o_lora_a,1712,121.056
o_lora_a,1728,111.966
o_lora_a,1744,156.628
o_lora_a,1760,156.908
o_lora_a,1776,157.237
o_lora_a,1792,157.707
o_lora_a,1808,157.92
o_lora_a,1824,158.198
o_lora_a,1840,158.122
o_lora_a,1856,158.367
o_lora_a,1872,158.816
o_lora_a,1888,130.305
o_lora_a,1904,159.382
o_lora_a,1920,153.322
o_lora_a,1936,159.98
o_lora_a,1952,159.949
o_lora_a,1968,154.166
o_lora_a,1984,154.177
o_lora_a,2000,154.508
o_lora_a,2016,154.955
o_lora_a,2032,128.053
o_lora_a,2048,154.816
o_lora_b,1,23.232
o_lora_b,2,23.5413
o_lora_b,3,23.7333
o_lora_b,4,25.8453
o_lora_b,5,25.6643
o_lora_b,6,25.9623
o_lora_b,7,26.1223
o_lora_b,8,24.3307
o_lora_b,9,24.3733
o_lora_b,10,24.544
o_lora_b,11,24.2987
o_lora_b,12,24.4587
o_lora_b,13,24.6507
o_lora_b,14,24.736
o_lora_b,15,24.8103
o_lora_b,16,24.9387
o_lora_b,20,24.4157
o_lora_b,24,24.7257
o_lora_b,28,24.8537
o_lora_b,32,24.8747
o_lora_b,36,25.0243
o_lora_b,40,25.3653
o_lora_b,44,26.549
o_lora_b,48,26.3467
o_lora_b,52,26.4853
o_lora_b,56,26.7733
o_lora_b,60,26.5923
o_lora_b,64,26.304
o_lora_b,80,30.5277
o_lora_b,96,32.4167
o_lora_b,112,33.057
o_lora_b,128,32.8853
o_lora_b,144,38.3253
o_lora_b,160,38.4
o_lora_b,176,38.9547
o_lora_b,192,38.56
o_lora_b,208,42.8053
o_lora_b,224,42.7733
o_lora_b,240,43.7333
o_lora_b,256,43.8077
o_lora_b,272,45.792
o_lora_b,288,46.485
o_lora_b,304,46.9547
o_lora_b,320,47.296
o_lora_b,336,67.072
o_lora_b,352,67.104
o_lora_b,368,67.1257
o_lora_b,384,67.1463
o_lora_b,400,67.5733
o_lora_b,416,67.6693
o_lora_b,432,67.7227
o_lora_b,448,67.5947
o_lora_b,464,67.712
o_lora_b,480,67.6267
o_lora_b,496,67.68
o_lora_b,512,67.68
o_lora_b,528,68.1703
o_lora_b,544,68.2023
o_lora_b,560,68.1913
o_lora_b,576,68.2023
o_lora_b,592,68.2027
o_lora_b,608,68.1707
o_lora_b,624,68.1707
o_lora_b,640,68.2773
o_lora_b,656,107.359
o_lora_b,672,108.053
o_lora_b,688,106.933
o_lora_b,704,107.829
o_lora_b,720,107.818
o_lora_b,736,107.627
o_lora_b,752,108.469
