layer,sequences,time_us
lm_head,1,106.869
lm_head,2,106.315
lm_head,3,106.325
lm_head,4,106.911
lm_head,5,107.158
lm_head,6,107.456
lm_head,7,107.765
lm_head,8,108.011
lm_head,9,108.416
lm_head,10,108.843
lm_head,11,108.629
lm_head,12,109.248
lm_head,13,109.269
lm_head,14,109.28
lm_head,15,109.472
lm_head,16,109.11
lm_head,20,132.042
lm_head,24,132.309
lm_head,28,133.077
lm_head,32,133.354
lm_head,36,117.45
lm_head,40,118.635
lm_head,44,174.048
lm_head,48,174.795
lm_head,52,174.751
lm_head,56,175.285
lm_head,60,175.008
lm_head,64,175.083
lm_head,80,176.032
lm_head,96,176.587
lm_head,112,177.898
lm_head,128,178.112
