prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,51.8737
0,0,1,32,51.1773
0,0,1,64,51.381
0,0,1,128,52.171
0,0,1,256,54.2817
0,0,1,512,57.0023
0,0,1,1024,62.549
0,0,1,2048,69.2373
0,0,2,16,60.448
0,0,2,32,59.307
0,0,2,64,59.5613
0,0,2,128,60.3403
0,0,2,256,64.0227
0,0,2,512,66.5167
0,0,2,1024,70.9757
0,0,2,2048,78.3993
0,0,4,16,84.3417
0,0,4,32,84.054
0,0,4,64,85.7073
0,0,4,128,89.0577
0,0,4,256,91.1467
0,0,4,512,94.325
0,0,4,1024,102.242
0,0,4,2048,114.911
0,0,8,16,89.1313
0,0,8,32,90.653
0,0,8,64,91.5623
0,0,8,128,94.2603
0,0,8,256,97.471
0,0,8,512,103.329
0,0,8,1024,112.052
0,0,8,2048,129.013
0,0,16,16,101.302
0,0,16,32,100.671
0,0,16,64,101.163
0,0,16,128,104.267
0,0,16,256,110.995
0,0,16,512,117.676
0,0,16,1024,133.633
0,0,16,2048,162.73
0,0,32,16,108.246
0,0,32,32,106.25
0,0,32,64,107.572
0,0,32,128,112.713
0,0,32,256,119.158
0,0,32,512,133.465
0,0,32,1024,161.73
0,0,32,2048,204.042
0,0,64,16,119.264
0,0,64,32,118.079
0,0,64,64,122.157
0,0,64,128,127.798
0,0,64,256,141.108
0,0,64,512,163.294
0,0,64,1024,210.305
0,0,64,2048,321.333
0,0,128,16,142.603
0,0,128,32,138.389
0,0,128,64,142.592
0,0,128,128,156.053
0,0,128,256,183.019
0,0,128,512,236.086
0,0,128,1024,343.785
0,0,128,2048,546.528
16,0,0,0,101.174
16,0,1,16,102.658
16,0,1,32,103.745
16,0,1,64,104.779
16,0,1,128,108.364
16,0,1,256,114.826
16,0,1,512,122.382
16,0,1,1024,140.951
16,0,1,2048,168.994
16,0,2,16,102.859
16,0,2,32,103.137
16,0,2,64,104.107
16,0,2,128,108.042
16,0,2,256,114.144
16,0,2,512,122.581
16,0,2,1024,141.921
16,0,2,2048,171.425
16,0,4,16,107.893
16,0,4,32,106.58
16,0,4,64,108.385
16,0,4,128,111.777
16,0,4,256,117.888
16,0,4,512,128.789
16,0,4,1024,148.79
16,0,4,2048,185.429
16,0,8,16,106.093
16,0,8,32,104.682
16,0,8,64,106.859
16,0,8,128,111.434
16,0,8,256,118.954
16,0,8,512,129.942
16,0,8,1024,150.966
16,0,8,2048,188.948
16,0,16,16,108.234
16,0,16,32,106.251
16,0,16,64,107.445
16,0,16,128,112.694
16,0,16,256,118.966
16,0,16,512,133.417
16,0,16,1024,161.374
16,0,16,2048,203.852
16,0,32,16,114.367
16,0,32,32,115.404
16,0,32,64,120.246
16,0,32,128,125.206
16,0,32,256,137.611
16,0,32,512,160.566
16,0,32,1024,196.93
16,0,32,2048,278.4
16,0,64,16,124.139
16,0,64,32,129.58
16,0,64,64,133.257
16,0,64,128,140.042
16,0,64,256,159.467
16,0,64,512,185.43
16,0,64,1024,255.267
16,0,64,2048,391.949
16,16,0,0,100.651
16,16,1,16,102.624
16,16,1,32,103.68
16,16,1,64,104.502
16,16,1,128,108.097
16,16,1,256,114.464
16,16,1,512,122.111
16,16,1,1024,141.078
16,16,1,2048,168.662
16,16,2,16,102.848
16,16,2,32,102.955
16,16,2,64,104.151
16,16,2,128,107.562
16,16,2,256,113.942
16,16,2,512,122.336
16,16,2,1024,141.516
16,16,2,2048,171.114
16,16,4,16,107.905
