layer,sequences,time_us
lm_head,1,704.318
lm_head,2,719.132
lm_head,3,720.157
lm_head,4,722.75
lm_head,5,724.03
lm_head,6,725.343
lm_head,7,726.204
lm_head,8,727.103
lm_head,9,729.726
lm_head,10,729.533
lm_head,11,731.807
lm_head,12,732.445
lm_head,13,734.109
lm_head,14,734.622
lm_head,15,734.557
lm_head,16,735.165
lm_head,20,751.646
lm_head,24,753.47
lm_head,28,755.997
lm_head,32,758.079
lm_head,36,760.894
lm_head,40,762.334
lm_head,44,764.093
lm_head,48,766.526
lm_head,52,768.285
lm_head,56,769.567
lm_head,60,772.285
lm_head,64,774.654
sampler,1,15.2
sampler,2,16.032
sampler,3,16.256
sampler,4,18.432
sampler,5,20.544
sampler,6,20.832
sampler,7,23.743
sampler,8,24.384
sampler,9,27.104
sampler,10,29.44
sampler,11,30.688
sampler,12,32.032
sampler,13,35.519
sampler,14,38.817
sampler,15,40.608
sampler,16,42.656
sampler,20,52.16
sampler,24,59.52
sampler,28,68.576
sampler,32,76.192
sampler,36,84.447
sampler,40,96.607
sampler,44,101.696
sampler,48,107.936
sampler,52,119.36
sampler,56,125.15
sampler,60,133.632
sampler,64,148.575
