prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.392
0,0,1,32,11.456
0,0,1,64,14.176
0,0,1,128,19.872
0,0,1,256,20.096
0,0,1,512,20.512
0,0,1,1024,21.344
0,0,1,2048,23.198
0,0,2,16,17.408
0,0,2,32,17.281
0,0,2,64,20.032
0,0,2,128,23.968
0,0,2,256,24.128
0,0,2,512,24.671
0,0,2,1024,26.017
0,0,2,2048,28.255
0,0,4,16,17.183
0,0,4,32,17.216
0,0,4,64,20
0,0,4,128,23.873
0,0,4,256,24.321
0,0,4,512,25.024
0,0,4,1024,27.392
0,0,4,2048,38.207
0,0,8,16,16.929
0,0,8,32,17.089
0,0,8,64,19.84
0,0,8,128,24.159
0,0,8,256,24.704
0,0,8,512,26.336
0,0,8,1024,37.441
0,0,8,2048,51.424
0,0,16,16,17.536
0,0,16,32,17.696
0,0,16,64,20.224
0,0,16,128,24.575
0,0,16,256,32.128
0,0,16,512,37.6
0,0,16,1024,51.073
0,0,16,2048,76.32
0,0,32,16,18.016
0,0,32,32,18.368
0,0,32,64,20.737
0,0,32,128,33.537
0,0,32,256,45.823
0,0,32,512,57.12
0,0,32,1024,81.054
0,0,32,2048,129.44
0,0,64,16,21.408
0,0,64,32,21.695
0,0,64,64,26.112
0,0,64,128,32.257
0,0,64,256,43.585
0,0,64,512,93.184
0,0,64,1024,136.767
0,0,64,2048,220.159
16,0,0,0,14.528
16,0,1,16,14.56
16,0,1,32,14.592
16,0,1,64,14.688
16,0,1,128,19.423
16,0,1,256,25.312
16,0,1,512,37.088
16,0,1,1024,61.088
16,0,1,2048,109.088
16,0,2,16,14.72
16,0,2,32,14.656
16,0,2,64,14.719
16,0,2,128,19.584
16,0,2,256,25.568
16,0,2,512,37.537
16,0,2,1024,61.92
16,0,2,2048,110.176
16,0,4,16,14.848
16,0,4,32,14.912
16,0,4,64,14.944
16,0,4,128,19.808
16,0,4,256,25.857
16,0,4,512,37.856
16,0,4,1024,62.624
16,0,4,2048,111.104
16,0,8,16,22.849
16,0,8,32,22.943
16,0,8,64,23.232
16,0,8,128,33.856
16,0,8,256,46.048
16,0,8,512,70.304
16,0,8,1024,118.208
16,0,8,2048,215.392
16,0,16,16,38.367
16,0,16,32,38.528
16,0,16,64,39.071
16,0,16,128,60.801
16,0,16,256,84.352
16,0,16,512,132.671
16,0,16,1024,229.312
16,0,16,2048,423.295
16,0,32,16,61.888
16,0,32,32,62.271
16,0,32,64,63.488
16,0,32,128,101.984
16,0,32,256,144.064
16,0,32,512,229.151
16,0,32,1024,400.383
16,0,32,2048,738.686
16,16,0,0,14.88
16,16,1,16,14.848
16,16,1,32,14.849
16,16,1,64,14.784
16,16,1,128,19.425
16,16,1,256,25.311
16,16,1,512,37.12
16,16,1,1024,60.992
16,16,1,2048,109.216
16,16,2,16,14.784
16,16,2,32,14.945
16,16,2,64,14.913
16,16,2,128,19.648
16,16,2,256,25.504
16,16,2,512,37.568
16,16,2,1024,61.76
16,16,2,2048,110.368
16,16,4,16,14.976
16,16,4,32,15.071
16,16,4,64,15.328
16,16,4,128,19.872
16,16,4,256,25.76
16,16,4,512,38.368
16,16,4,1024,61.92
16,16,4,2048,111.04
16,16,8,16,22.976
16,16,8,32,23.2
16,16,8,64,23.584
16,16,8,128,33.663
16,16,8,256,46.208
16,16,8,512,70.048
16,16,8,1024,118.048
16,16,8,2048,215.743
16,16,16,16,38.528
16,16,16,32,38.943
16,16,16,64,39.391
16,16,16,128,60.736
16,16,16,256,84.512
16,16,16,512,132.511
16,16,16,1024,230.975
16,16,16,2048,423.167
16,16,32,16,61.92
16,16,32,32,62.304
16,16,32,64,63.52
16,16,32,128,101.921
16,16,32,256,144.063
16,16,32,512,228.831
16,16,32,1024,400.895
16,16,32,2048,738.301
16,32,0,0,14.816
16,32,1,16,14.624
16,32,1,32,15.04
16,32,1,64,14.912
16,32,1,128,19.489
16,32,1,256,25.216
16,32,1,512,37.152
16,32,1,1024,61.215
16,32,1,2048,109.024
16,32,2,16,14.88
16,32,2,32,14.88
16,32,2,64,15.008
16,32,2,128,19.583
16,32,2,256,25.568
16,32,2,512,37.44
16,32,2,1024,61.6
16,32,2,2048,110.337
16,32,4,16,15.105
16,32,4,32,15.168
16,32,4,64,15.296
16,32,4,128,19.904
16,32,4,256,25.952
16,32,4,512,37.919
16,32,4,1024,62.847
16,32,4,2048,111.264
16,32,8,16,23.2
16,32,8,32,23.295
16,32,8,64,23.743
16,32,8,128,33.791
16,32,8,256,45.983
16,32,8,512,69.952
16,32,8,1024,118.177
16,32,8,2048,216.032
16,32,16,16,38.401
16,32,16,32,39.008
16,32,16,64,39.616
16,32,16,128,60.704
16,32,16,256,84.416
16,32,16,512,132.32
16,32,16,1024,229.599
16,32,16,2048,422.718
16,32,32,16,61.952
16,32,32,32,62.528
16,32,32,64,63.745
16,32,32,128,101.92
16,32,32,256,143.808
16,32,32,512,228.96
16,32,32,1024,400.095
16,32,32,2048,738.141
16,64,0,0,14.944
16,64,1,16,14.815
16,64,1,32,14.848
16,64,1,64,14.976
16,64,1,128,19.489
16,64,1,256,25.312
16,64,1,512,37.183
16,64,1,1024,61.184
16,64,1,2048,109.247
16,64,2,16,14.816
16,64,2,32,15.008
16,64,2,64,15.104
16,64,2,128,19.616
16,64,2,256,25.6
16,64,2,512,37.47
16,64,2,1024,61.631
16,64,2,2048,110.144
16,64,4,16,15.072
16,64,4,32,15.071
16,64,4,64,15.232
16,64,4,128,19.872
16,64,4,256,25.792
16,64,4,512,37.728
16,64,4,1024,62.849
16,64,4,2048,110.72
16,64,8,16,23.328
16,64,8,32,23.264
16,64,8,64,23.84
16,64,8,128,33.889
16,64,8,256,45.952
16,64,8,512,70.015
16,64,8,1024,118.591
16,64,8,2048,215.583
16,64,16,16,38.783
16,64,16,32,39.134
16,64,16,64,39.583
16,64,16,128,60.896
16,64,16,256,84.48
16,64,16,512,132.51
16,64,16,1024,229.855
16,64,16,2048,423.166
16,64,32,16,62.047
16,64,32,32,62.304
16,64,32,64,63.84
16,64,32,128,102.017
16,64,32,256,144.096
16,64,32,512,229.183
16,64,32,1024,400.511
16,64,32,2048,738.494
16,128,0,0,20.736
16,128,1,16,19.743
16,128,1,32,19.776
16,128,1,64,19.713
16,128,1,128,20.576
16,128,1,256,25.247
16,128,1,512,37.248
16,128,1,1024,61.28
16,128,1,2048,109.279
16,128,2,16,19.52
16,128,2,32,19.744
16,128,2,64,19.68
16,128,2,128,20.64
16,128,2,256,25.696
16,128,2,512,37.6
16,128,2,1024,61.856
16,128,2,2048,110.304
16,128,4,16,19.616
16,128,4,32,19.52
16,128,4,64,19.776
16,128,4,128,20.802
16,128,4,256,25.92
16,128,4,512,38.273
16,128,4,1024,62.688
16,128,4,2048,111.071
16,128,8,16,28.96
16,128,8,32,29.121
16,128,8,64,29.632
16,128,8,128,35.551
16,128,8,256,46.304
16,128,8,512,69.951
16,128,8,1024,118.304
16,128,8,2048,215.359
16,128,16,16,44.16
16,128,16,32,44.575
16,128,16,64,45.023
16,128,16,128,62.56
16,128,16,256,84.641
16,128,16,512,132.32
16,128,16,1024,230.304
16,128,16,2048,422.847
16,128,32,16,67.168
16,128,32,32,67.872
16,128,32,64,68.288
16,128,32,128,103.648
16,128,32,256,144.224
16,128,32,512,228.64
16,128,32,1024,401.47
16,128,32,2048,737.501
16,256,0,0,26.719
16,256,1,16,25.503
16,256,1,32,25.6
16,256,1,64,25.632
16,256,1,128,25.472
16,256,1,256,26.688
16,256,1,512,37.184
16,256,1,1024,61.12
16,256,1,2048,109.408
16,256,2,16,25.472
16,256,2,32,25.6
16,256,2,64,25.504
16,256,2,128,25.472
16,256,2,256,26.623
16,256,2,512,37.6
16,256,2,1024,61.92
16,256,2,2048,110.432
16,256,4,16,25.633
16,256,4,32,25.696
16,256,4,64,25.791
16,256,4,128,25.696
16,256,4,256,26.847
16,256,4,512,38.048
16,256,4,1024,62.88
16,256,4,2048,110.687
16,256,8,16,34.879
16,256,8,32,34.945
16,256,8,64,35.328
16,256,8,128,41.377
16,256,8,256,47.647
16,256,8,512,70.176
16,256,8,1024,118.111
16,256,8,2048,215.198
16,256,16,16,50.24
16,256,16,32,50.4
16,256,16,64,51.104
16,256,16,128,68.256
16,256,16,256,86.911
16,256,16,512,132.513
16,256,16,1024,229.663
16,256,16,2048,423.552
16,256,32,16,73.536
16,256,32,32,73.632
16,256,32,64,74.848
16,256,32,128,108.416
16,256,32,256,146.048
16,256,32,512,228.575
16,256,32,1024,400.831
16,256,32,2048,737.854
16,512,0,0,38.496
16,512,1,16,37.376
16,512,1,32,37.408
16,512,1,64,37.376
16,512,1,128,37.472
16,512,1,256,37.537
16,512,1,512,38.4
16,512,1,1024,61.024
16,512,1,2048,109.408
16,512,2,16,37.472
16,512,2,32,37.343
16,512,2,64,37.407
16,512,2,128,37.472
16,512,2,256,37.439
16,512,2,512,38.401
16,512,2,1024,61.632
16,512,2,2048,110.336
16,512,4,16,37.633
16,512,4,32,37.569
16,512,4,64,37.632
16,512,4,128,37.696
16,512,4,256,37.664
16,512,4,512,38.591
16,512,4,1024,62.368
16,512,4,2048,110.591
16,512,8,16,46.72
16,512,8,32,46.528
16,512,8,64,47.328
16,512,8,128,53.248
16,512,8,256,58.976
16,512,8,512,71.552
16,512,8,1024,118.56
16,512,8,2048,215.199
16,512,16,16,62.175
16,512,16,32,62.24
16,512,16,64,63.104
16,512,16,128,80.286
16,512,16,256,98.049
16,512,16,512,134.496
16,512,16,1024,229.535
16,512,16,2048,423.295
16,512,32,16,85.152
16,512,32,32,86.016
16,512,32,64,86.88
16,512,32,128,121.056
16,512,32,256,156.736
16,512,32,512,230.399
16,512,32,1024,400.383
16,512,32,2048,738.845
16,1024,0,0,62.593
