tokens,activated_experts,time_us
2,4,171.905
4,4,305.322
4,8,305.162
8,4,137.793
8,8,226.047
8,16,403.371
16,4,148.959
16,8,236.192
16,16,408.448
16,32,758.143
32,4,155.412
32,8,228.085
32,16,401.492
32,32,750.846
64,4,146.676
64,8,221.388
64,16,400.533
64,32,757.395
128,4,199.649
128,8,233.793
128,16,420.105
128,32,787.934
256,4,291.562
256,8,367.776
256,16,434.866
256,32,803.644
512,4,536.725
512,8,536.629
512,16,694.419
512,32,820.664
1024,4,1085.52
1024,8,1084.89
1024,16,1406.34
1024,32,1409.3
2048,4,2160.87
2048,8,2159.14
2048,16,2161.22
2048,32,2802.79
