layer,sequences,time_us
lm_head,1,443.788
lm_head,2,444.33
lm_head,3,445.834
lm_head,4,446.997
lm_head,5,448.77
lm_head,6,448.777
lm_head,7,449.789
lm_head,8,449.61
lm_head,9,451.999
lm_head,10,453.384
lm_head,11,456.027
lm_head,12,455.574
lm_head,13,456.577
lm_head,14,457.845
lm_head,15,458.646
lm_head,16,461.13
lm_head,20,427.609
lm_head,24,428.265
lm_head,28,429.12
lm_head,32,430.293
lm_head,36,430.678
lm_head,40,431.744
lm_head,44,432.884
lm_head,48,433.545
lm_head,52,434.569
lm_head,56,435.295
lm_head,60,437.48
lm_head,64,437.152
lm_head,80,713.438
lm_head,96,713.545
lm_head,112,714.207
lm_head,128,715.626
