layer,tokens,time_us
embedding,1,3.232
embedding,2,3.552
embedding,3,3.648
embedding,4,3.872
embedding,5,4.128
embedding,6,4.32
embedding,7,4.478
embedding,8,4.512
embedding,9,4.928
embedding,10,5.12
embedding,11,5.28
embedding,12,5.44
embedding,13,5.728
embedding,14,5.856
embedding,15,6.016
embedding,16,6.079
embedding,20,2.751
embedding,24,2.656
embedding,28,2.752
embedding,32,2.625
embedding,36,2.752
embedding,40,2.72
embedding,44,2.816
embedding,48,2.688
embedding,52,2.88
embedding,56,2.816
embedding,60,2.912
embedding,64,2.817
embedding,80,2.88
embedding,96,3.008
embedding,112,3.104
embedding,128,3.104
embedding,144,3.425
embedding,160,3.393
embedding,176,3.424
embedding,192,3.392
embedding,208,3.424
embedding,224,3.392
embedding,240,3.423
embedding,256,3.487
embedding,272,3.68
embedding,288,3.648
embedding,304,3.712
embedding,320,3.68
embedding,336,3.713
embedding,352,3.712
embedding,368,3.775
embedding,384,3.807
embedding,400,4.16
embedding,416,4.032
embedding,432,4.096
embedding,448,4.16
embedding,464,4.16
embedding,480,4.192
embedding,496,4.193
embedding,512,4.255
embedding,528,4.32
embedding,544,4.32
embedding,560,4.352
embedding,576,4.352
embedding,592,4.384
embedding,608,4.415
embedding,624,4.448
embedding,640,4.512
embedding,656,4.608
embedding,672,4.543
embedding,688,4.64
embedding,704,4.672
embedding,720,4.768
embedding,736,4.704
embedding,752,4.608
embedding,768,4.736
embedding,784,4.8
embedding,800,4.896
embedding,816,4.768
embedding,832,4.96
embedding,848,5.024
embedding,864,4.96
embedding,880,5.088
embedding,896,4.96
embedding,912,5.088
embedding,928,5.056
embedding,944,4.961
embedding,960,5.216
embedding,976,5.152
embedding,992,5.249
embedding,1008,5.152
embedding,1024,5.088
final_layernorm,1,1.952
final_layernorm,2,1.984
final_layernorm,3,2.016
final_layernorm,4,1.92
final_layernorm,5,1.952
final_layernorm,6,1.888
final_layernorm,7,1.92
final_layernorm,8,2.048
final_layernorm,9,1.92
final_layernorm,10,1.888
final_layernorm,11,1.888
final_layernorm,12,1.92
final_layernorm,13,1.92
final_layernorm,14,1.888
final_layernorm,15,1.888
final_layernorm,16,1.919
final_layernorm,20,2.016
final_layernorm,24,2.048
final_layernorm,28,2.08
final_layernorm,32,2.016
final_layernorm,36,2.144
final_layernorm,40,2.208
final_layernorm,44,2.24
final_layernorm,48,2.239
final_layernorm,52,2.304
final_layernorm,56,2.336
final_layernorm,60,2.4
final_layernorm,64,2.432
final_layernorm,80,2.496
final_layernorm,96,2.785
final_layernorm,112,2.848
final_layernorm,128,3.072
final_layernorm,144,3.36
final_layernorm,160,3.488
final_layernorm,176,3.424
final_layernorm,192,3.488
final_layernorm,208,3.616
final_layernorm,224,3.744
final_layernorm,240,3.68
final_layernorm,256,2.912
final_layernorm,272,3.232
final_layernorm,288,3.616
final_layernorm,304,3.424
final_layernorm,320,3.52
final_layernorm,336,3.616
final_layernorm,352,3.904
final_layernorm,368,3.968
final_layernorm,384,4.16
final_layernorm,400,4.576
final_layernorm,416,4.48
final_layernorm,432,4.736
final_layernorm,448,5.088
final_layernorm,464,4.96
final_layernorm,480,4.832
final_layernorm,496,4.96
final_layernorm,512,5.088
final_layernorm,528,5.568
final_layernorm,544,6.304
final_layernorm,560,6.848
final_layernorm,576,7.584
final_layernorm,592,7.072
final_layernorm,608,6.72
final_layernorm,624,7.615
final_layernorm,640,7.104
final_layernorm,656,8.032
final_layernorm,672,8.032
final_layernorm,688,7.904
final_layernorm,704,8.352
final_layernorm,720,8.992
final_layernorm,736,8.576
final_layernorm,752,8.8
final_layernorm,768,8.607
final_layernorm,784,9.888
final_layernorm,800,9.632
final_layernorm,816,9.312
final_layernorm,832,9.536
final_layernorm,848,9.792
final_layernorm,864,9.824
final_layernorm,880,9.952
final_layernorm,896,9.759
final_layernorm,912,10.304
final_layernorm,928,10.336
final_layernorm,944,10.272
final_layernorm,960,10.879
final_layernorm,976,10.816
final_layernorm,992,10.945
final_layernorm,1008,10.72
final_layernorm,1024,10.624
layernorm,1,1.856
layernorm,2,1.824
layernorm,3,1.808
layernorm,4,1.808
layernorm,5,1.856
layernorm,6,1.808
layernorm,7,1.84
layernorm,8,1.84
layernorm,9,1.824
layernorm,10,1.872
layernorm,11,1.824
layernorm,12,1.808
layernorm,13,1.872
layernorm,14,1.7915
layernorm,15,1.904
layernorm,16,1.792
layernorm,20,1.84
layernorm,24,1.824
layernorm,28,1.84
layernorm,32,1.92
layernorm,36,1.872
layernorm,40,1.871
layernorm,44,1.904
layernorm,48,1.92
layernorm,52,1.968
layernorm,56,1.952
layernorm,60,1.968
layernorm,64,1.984
layernorm,80,2.0955
layernorm,96,2.1605
layernorm,112,2.288
layernorm,128,2.368
layernorm,144,2.64
layernorm,160,2.672
layernorm,176,2.768
layernorm,192,2.7355
layernorm,208,2.784
layernorm,224,2.816
layernorm,240,2.832
layernorm,256,2.3675
layernorm,272,2.4005
layernorm,288,2.416
layernorm,304,2.512
layernorm,320,2.5115
layernorm,336,2.576
layernorm,352,2.656
layernorm,368,2.672
layernorm,384,2.752
layernorm,400,2.832
layernorm,416,2.928
layernorm,432,3.056
layernorm,448,3.12
layernorm,464,3.056
layernorm,480,3.0235
layernorm,496,3.04
layernorm,512,3.1515
layernorm,528,3.1675
layernorm,544,3.296
layernorm,560,3.36
layernorm,576,3.4405
layernorm,592,3.3915
layernorm,608,3.536
layernorm,624,3.5195
layernorm,640,3.6
layernorm,656,4.224
layernorm,672,4.0805
layernorm,688,3.7915
layernorm,704,3.84
layernorm,720,3.936
layernorm,736,4.0635
layernorm,752,4.384
layernorm,768,4.528
layernorm,784,5.392
layernorm,800,5.5365
layernorm,816,5.552
layernorm,832,5.888
layernorm,848,5.536
layernorm,864,6.3845
layernorm,880,6.32
layernorm,896,6.464
layernorm,912,7.072
layernorm,928,6.576
layernorm,944,6.512
layernorm,960,6.6075
layernorm,976,6.4635
layernorm,992,6.592
layernorm,1008,6.512
layernorm,1024,6.912
o_proj,1,11.008
o_proj,2,14.016
o_proj,3,14.368
o_proj,4,14.497
o_proj,5,13.984
o_proj,6,14.144
o_proj,7,14.368
o_proj,8,14.784
o_proj,9,14.208
o_proj,10,14.144
o_proj,11,14.016
o_proj,12,14.303
o_proj,13,13.984
o_proj,14,14.048
o_proj,15,14.112
o_proj,16,14.144
o_proj,20,13.248
o_proj,24,13.088
o_proj,28,13.184
o_proj,32,13.217
o_proj,36,13.248
o_proj,40,13.344
o_proj,44,13.344
o_proj,48,13.376
o_proj,52,13.28
o_proj,56,13.376
o_proj,60,13.408
o_proj,64,13.472
o_proj,80,14.08
o_proj,96,13.76
o_proj,112,15.68
o_proj,128,15.616
o_proj,144,17.183
o_proj,160,17.152
o_proj,176,16.959
o_proj,192,17.088
o_proj,208,17.792
o_proj,224,18.368
o_proj,240,18.208
o_proj,256,18.72
o_proj,272,26.56
o_proj,288,26.688
o_proj,304,27.392
o_proj,320,27.647
o_proj,336,27.328
o_proj,352,28
o_proj,368,32
o_proj,384,32.128
o_proj,400,31.327
o_proj,416,31.328
o_proj,432,31.424
o_proj,448,31.167
o_proj,464,31.424
o_proj,480,31.616
o_proj,496,31.84
o_proj,512,32.16
o_proj,528,42.432
o_proj,544,42.176
o_proj,560,43.327
o_proj,576,44.064
o_proj,592,47.648
o_proj,608,45.374
o_proj,624,46.017
o_proj,640,46.177
o_proj,656,48.127
o_proj,672,48.384
o_proj,688,50.143
o_proj,704,50.528
o_proj,720,54.753
o_proj,736,54.943
o_proj,752,55.072
o_proj,768,54.879
o_proj,784,59.296
o_proj,800,60.096
o_proj,816,61.15
o_proj,832,61.216
o_proj,848,58.752
o_proj,864,58.304
o_proj,880,58.656
o_proj,896,58.271
o_proj,912,58.624
o_proj,928,59.104
o_proj,944,59.391
o_proj,960,58.527
o_proj,976,58.88
o_proj,992,58.304
o_proj,1008,59.104
o_proj,1024,59.071
qk_norm,1,1.6165
qk_norm,2,1.712
qk_norm,3,1.712
qk_norm,4,1.744
qk_norm,5,1.76
qk_norm,6,1.744
qk_norm,7,1.76
qk_norm,8,1.76
qk_norm,9,1.7755
qk_norm,10,1.776
qk_norm,11,1.7925
qk_norm,12,1.808
qk_norm,13,1.7925
qk_norm,14,1.792
qk_norm,15,1.824
qk_norm,16,1.824
qk_norm,20,1.872
qk_norm,24,1.92
qk_norm,28,1.968
qk_norm,32,2.0635
qk_norm,36,2.08
qk_norm,40,2.128
qk_norm,44,2.128
qk_norm,48,2.176
qk_norm,52,2.224
qk_norm,56,2.256
qk_norm,60,2.32
qk_norm,64,2.32
qk_norm,80,2.512
qk_norm,96,2.704
qk_norm,112,2.8155
qk_norm,128,2.896
qk_norm,144,3.12
qk_norm,160,3.28
qk_norm,176,3.44
qk_norm,192,3.4555
qk_norm,208,3.728
qk_norm,224,3.8715
qk_norm,240,3.888
qk_norm,256,4.0955
qk_norm,272,4.208
qk_norm,288,4.352
qk_norm,304,4.528
qk_norm,320,4.736
qk_norm,336,4.928
qk_norm,352,4.928
qk_norm,368,5.0395
qk_norm,384,5.328
qk_norm,400,5.4075
qk_norm,416,5.456
qk_norm,432,5.7125
qk_norm,448,5.824
qk_norm,464,6
qk_norm,480,6.1115
qk_norm,496,6.224
qk_norm,512,6.5275
qk_norm,528,6.5925
qk_norm,544,6.88
qk_norm,560,6.912
qk_norm,576,7.136
qk_norm,592,7.184
qk_norm,608,7.4075
qk_norm,624,7.584
qk_norm,640,7.8555
qk_norm,656,7.808
qk_norm,672,7.9675
qk_norm,688,8.16
qk_norm,704,8.3355
qk_norm,720,8.56
qk_norm,736,8.7035
qk_norm,752,8.88
qk_norm,768,8.976
qk_norm,784,8.9275
qk_norm,800,9.28
qk_norm,816,9.4075
qk_norm,832,9.408
qk_norm,848,9.648
qk_norm,864,10.1755
qk_norm,880,10.3515
qk_norm,896,10.3675
qk_norm,912,10.6715
qk_norm,928,10.8635
qk_norm,944,11.072
qk_norm,960,11.248
qk_norm,976,11.472
qk_norm,992,11.6955
qk_norm,1008,11.7275
qk_norm,1024,11.792
qkv_proj,1,13.664
qkv_proj,2,14.88
qkv_proj,3,14.816
qkv_proj,4,15.104
qkv_proj,5,14.848
qkv_proj,6,14.688
qkv_proj,7,14.848
qkv_proj,8,14.688
qkv_proj,9,15.424
qkv_proj,10,14.784
qkv_proj,11,14.816
qkv_proj,12,14.944
qkv_proj,13,15.104
qkv_proj,14,14.913
qkv_proj,15,15.424
