prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.50967
0,0,1,32,7.531
0,0,1,64,9.49333
0,0,1,128,13.2263
0,0,1,256,13.3537
0,0,1,512,13.803
0,0,1,1024,14.539
0,0,1,2048,20.789
0,0,1,4096,25.269
0,0,1,8192,38.57
0,0,1,16384,58.1007
0,0,2,16,11.9997
0,0,2,32,12.085
0,0,2,64,13.845
0,0,2,128,16.587
0,0,2,256,17.323
0,0,2,512,18.816
0,0,2,1024,25.248
0,0,2,2048,37.4077
0,0,2,4096,53.7167
0,0,2,8192,89.1407
0,0,2,16384,161.535
0,0,4,16,12.032
0,0,4,32,12.139
0,0,4,64,13.813
0,0,4,128,17.1733
0,0,4,256,18.5063
0,0,4,512,24.395
0,0,4,1024,36.4897
0,0,4,2048,53.109
0,0,4,4096,92.1597
0,0,4,8192,159.67
0,0,4,16384,304.756
0,0,8,16,12.5333
0,0,8,32,12.736
0,0,8,64,14.6233
0,0,8,128,18.56
0,0,8,256,24.6507
0,0,8,512,35.8503
0,0,8,1024,51.6053
0,0,8,2048,88.0847
0,0,8,4096,160.234
0,0,8,8192,304.116
0,0,8,16384,586.943
0,0,16,16,12.7997
0,0,16,32,13.771
0,0,16,64,16.9277
0,0,16,128,25.2693
0,0,16,256,35.8503
0,0,16,512,54.698
0,0,16,1024,90.3993
0,0,16,2048,162.421
0,0,16,4096,305.962
0,0,16,8192,585.907
0,0,16,16384,1151.97
0,0,32,16,15.6583
0,0,32,32,17.5783
0,0,32,64,22.3787
0,0,32,128,32.8957
0,0,32,256,52.245
0,0,32,512,89.5143
0,0,32,1024,163.082
0,0,32,2048,303.7
0,0,32,4096,583.282
0,0,32,8192,1149.53
0,0,32,16384,2272.72
0,0,64,16,21.3447
0,0,64,32,24.7137
0,0,64,64,34.2073
0,0,64,128,54.965
0,0,64,256,91.0183
0,0,64,512,166.984
0,0,64,1024,309.567
0,0,64,2048,592.499
0,0,64,4096,1155.23
0,0,64,8192,2275.11
0,0,64,16384,4518.64
0,0,128,16,31.4557
0,0,128,32,37.8123
0,0,128,64,56.5543
0,0,128,128,96.9493
0,0,128,256,172.671
0,0,128,512,319.326
0,0,128,1024,599.487
0,0,128,2048,1168.4
0,0,128,4096,2288.29
0,0,128,8192,4534.61
0,0,128,16384,9021.03
16,0,0,0,9.86633
16,0,1,16,9.941
16,0,1,32,10.005
16,0,1,64,9.96233
16,0,1,128,13.056
16,0,1,256,17.0557
16,0,1,512,25.1093
16,0,1,1024,41.2043
16,0,1,2048,73.5033
16,0,1,4096,137.951
16,0,1,8192,268.393
16,0,1,16384,530.493
16,0,2,16,9.99433
16,0,2,32,9.99433
16,0,2,64,9.984
