layer,tokens,time_us
act_fn,1,2.80533
act_fn,3,3.381
act_fn,5,3.43467
act_fn,7,3.456
act_fn,9,3.381
act_fn,11,3.38167
act_fn,13,3.40233
act_fn,15,3.43467
act_fn,20,3.285
act_fn,28,3.264
act_fn,36,3.424
act_fn,44,3.488
act_fn,52,3.54133
act_fn,60,3.573
act_fn,80,3.71167
act_fn,112,4.06367
act_fn,144,7.872
act_fn,176,8.64
act_fn,208,6.57033
act_fn,240,10.0903
act_fn,272,16.085
act_fn,304,17.2583
act_fn,336,17.3867
act_fn,368,18.3037
act_fn,400,19.4127
act_fn,432,20.6293
act_fn,464,21.2153
act_fn,496,22.794
act_fn,528,25.909
act_fn,560,27.221
act_fn,592,32.8853
act_fn,624,34.581
act_fn,656,33.1833
act_fn,688,34.73
act_fn,720,39.9993
act_fn,752,41.8447
act_fn,784,44.319
act_fn,816,45.0447
act_fn,848,47.3163
act_fn,880,48.9697
act_fn,912,51.1137
act_fn,944,53.2043
act_fn,976,57.7583
act_fn,1008,60.223
act_fn,1040,56.5963
act_fn,1072,60.0517
act_fn,1104,63.9027
act_fn,1136,67.0383
act_fn,1168,70.292
act_fn,1200,73.342
act_fn,1232,76.0727
act_fn,1264,79.103
act_fn,1296,77.1823
act_fn,1328,80.916
act_fn,1360,87.5613
act_fn,1392,90.5793
act_fn,1424,89.609
act_fn,1456,93.246
act_fn,1488,99.262
act_fn,1520,101.822
act_fn,1552,94.601
act_fn,1584,99.1447
act_fn,1616,102.803
act_fn,1648,105.683
act_fn,1680,108.456
act_fn,1712,111.763
act_fn,1744,114.345
act_fn,1776,117.384
act_fn,1808,113.726
act_fn,1840,118.377
act_fn,1872,125.523
act_fn,1904,128.414
act_fn,1936,126.963
act_fn,1968,130.259
act_fn,2000,142.365
act_fn,2032,144.733
down_proj,1,109.438
down_proj,3,123.389
down_proj,5,124.2
down_proj,7,124.232
down_proj,9,124.243
down_proj,11,124.648
down_proj,13,125.597
down_proj,15,125.416
down_proj,20,119.795
down_proj,28,120.979
down_proj,36,123.304
down_proj,44,123.742
down_proj,52,124.19
down_proj,60,124.883
down_proj,80,140.104
down_proj,112,141.459
down_proj,144,150.973
down_proj,176,155.623
down_proj,208,176.701
down_proj,240,177.181
down_proj,272,214.652
down_proj,304,215.9
down_proj,336,252.837
down_proj,368,254.683
down_proj,400,291.771
down_proj,432,293.722
down_proj,464,333.381
down_proj,496,334.403
down_proj,528,372.366
down_proj,560,372.772
down_proj,592,410.52
down_proj,624,413.08
down_proj,656,452.172
down_proj,688,453.239
down_proj,720,492.672
down_proj,752,493.644
down_proj,784,530.986
down_proj,816,533.174
down_proj,848,571.562
down_proj,880,570.697
down_proj,912,608.49
down_proj,944,608.734
down_proj,976,654.622
down_proj,1008,655.678
down_proj,1040,691.401
down_proj,1072,690.951
down_proj,1104,735.453
down_proj,1136,735.666
down_proj,1168,775.047
down_proj,1200,775.419
down_proj,1232,814.235
down_proj,1264,815.472
down_proj,1296,854.331
down_proj,1328,856.058
down_proj,1360,896.132
down_proj,1392,896.911
down_proj,1424,935.716
down_proj,1456,936.996
down_proj,1488,973.902
down_proj,1520,975.629
down_proj,1552,1014.55
down_proj,1584,1015.51
down_proj,1616,1056.64
down_proj,1648,1055.6
down_proj,1680,1094.25
down_proj,1712,1095.81
down_proj,1744,1134.18
down_proj,1776,1136.19
down_proj,1808,1174.26
down_proj,1840,1174.35
down_proj,1872,1214.63
down_proj,1904,1215.69
down_proj,1936,1254.84
down_proj,1968,1255.72
down_proj,2000,1295.18
down_proj,2032,1296.06
embedding,1,2.96533
embedding,3,3.691
embedding,5,4.14967
embedding,7,4.49033
embedding,9,4.89567
embedding,11,5.25833
embedding,13,5.71733
embedding,15,6.037
embedding,20,2.79467
embedding,28,2.87967
embedding,36,2.90067
embedding,44,2.92267
embedding,52,2.97567
embedding,60,3.03967
embedding,80,3.12533
embedding,112,3.43433
embedding,144,3.65833
embedding,176,3.75433
embedding,208,3.86133
embedding,240,4.13867
embedding,272,4.30967
embedding,304,4.416
embedding,336,4.50133
embedding,368,4.70367
embedding,400,5.03467
embedding,432,5.259
embedding,464,5.28
embedding,496,5.51433
embedding,528,5.58933
embedding,560,5.69533
embedding,592,5.74967
embedding,624,5.80267
embedding,656,5.85533
embedding,688,6.005
embedding,720,6.069
embedding,752,6.20733
embedding,784,6.389
embedding,816,6.581
embedding,848,6.68767
embedding,880,6.82667
embedding,912,6.85833
embedding,944,6.922
embedding,976,6.96533
embedding,1008,7.157
embedding,1040,7.27433
embedding,1072,7.27467
embedding,1104,7.509
embedding,1136,7.59467
embedding,1168,7.63767
embedding,1200,7.72233
embedding,1232,7.89333
embedding,1264,8.06433
embedding,1296,8.09567
embedding,1328,8.30967
embedding,1360,8.24533
embedding,1392,8.416
embedding,1424,8.61867
embedding,1456,8.60767
embedding,1488,8.71467
embedding,1520,8.86367
embedding,1552,8.93833
embedding,1584,9.12
embedding,1616,9.131
embedding,1648,9.34333
embedding,1680,9.323
embedding,1712,9.48267
embedding,1744,9.504
embedding,1776,9.72733
embedding,1808,9.96233
embedding,1840,9.92033
embedding,1872,10.0587
embedding,1904,10.1017
embedding,1936,10.2827
embedding,1968,10.3047
embedding,2000,10.5493
embedding,2032,10.6027
final_layernorm,1,1.952
final_layernorm,3,2.43167
final_layernorm,5,2.45333
final_layernorm,7,2.44267
final_layernorm,9,2.464
final_layernorm,11,2.47467
final_layernorm,13,2.48533
final_layernorm,15,2.485
final_layernorm,20,2.41067
final_layernorm,28,2.48567
final_layernorm,36,2.54933
final_layernorm,44,2.67733
final_layernorm,52,2.784
final_layernorm,60,2.96533
final_layernorm,80,3.45533
final_layernorm,112,3.72267
final_layernorm,144,4.50133
final_layernorm,176,4.725
final_layernorm,208,4.95933
final_layernorm,240,5.29067
final_layernorm,272,5.46133
final_layernorm,304,6.13267
final_layernorm,336,6.4
final_layernorm,368,7.02933
final_layernorm,400,7.648
final_layernorm,432,7.82933
final_layernorm,464,8.117
final_layernorm,496,8.53333
final_layernorm,528,9.15167
final_layernorm,560,9.61133
final_layernorm,592,10.0903
final_layernorm,624,10.314
final_layernorm,656,10.8477
final_layernorm,688,11.1143
final_layernorm,720,10.965
final_layernorm,752,11.456
final_layernorm,784,12.2663
final_layernorm,816,13.0133
final_layernorm,848,13.504
final_layernorm,880,13.3863
final_layernorm,912,13.6423
final_layernorm,944,13.8133
final_layernorm,976,14.165
final_layernorm,1008,14.5387
final_layernorm,1040,14.485
final_layernorm,1072,14.7307
final_layernorm,1104,15.2317
final_layernorm,1136,15.381
final_layernorm,1168,16.0423
final_layernorm,1200,16.6717
final_layernorm,1232,16.725
final_layernorm,1264,17.3863
final_layernorm,1296,17.845
final_layernorm,1328,17.9307
final_layernorm,1360,18.154
final_layernorm,1392,18.8373
final_layernorm,1424,18.933
final_layernorm,1456,19.946
final_layernorm,1488,19.9247
final_layernorm,1520,20.5543
final_layernorm,1552,20.9703
final_layernorm,1584,21.0667
final_layernorm,1616,21.311
final_layernorm,1648,21.898
final_layernorm,1680,22.7303
final_layernorm,1712,23.189
final_layernorm,1744,23.1033
final_layernorm,1776,23.818
final_layernorm,1808,24.3517
final_layernorm,1840,24.7677
final_layernorm,1872,25.1297
final_layernorm,1904,25.3117
final_layernorm,1936,26.1227
final_layernorm,1968,25.973
final_layernorm,2000,25.578
final_layernorm,2032,26.1967
gate_up_proj,1,212.55
gate_up_proj,3,215.751
gate_up_proj,5,216.198
gate_up_proj,7,217.031
gate_up_proj,9,217.596
gate_up_proj,11,218.204
gate_up_proj,13,218.599
gate_up_proj,15,218.94
gate_up_proj,20,230.63
gate_up_proj,28,232.646
gate_up_proj,36,245.617
gate_up_proj,44,244.123
gate_up_proj,52,246.353
gate_up_proj,60,248.721
gate_up_proj,80,273.562
gate_up_proj,112,275.558
gate_up_proj,144,311.514
gate_up_proj,176,318.971
gate_up_proj,208,342.98
gate_up_proj,240,334.479
gate_up_proj,272,585.439
gate_up_proj,304,583.733
gate_up_proj,336,546.475
gate_up_proj,368,550.038
gate_up_proj,400,592.651
gate_up_proj,432,614.217
gate_up_proj,464,647.251
gate_up_proj,496,648.519
gate_up_proj,528,760.561
gate_up_proj,560,784.284
gate_up_proj,592,874.382
gate_up_proj,624,876.932
gate_up_proj,656,932.611
gate_up_proj,688,953.005
gate_up_proj,720,969.026
gate_up_proj,752,967.736
gate_up_proj,784,1132.89
gate_up_proj,816,1140.46
gate_up_proj,848,1125.25
gate_up_proj,880,1125.34
gate_up_proj,912,1288.26
gate_up_proj,944,1287.7
gate_up_proj,976,1279.68
gate_up_proj,1008,1280.57
gate_up_proj,1040,1493.93
gate_up_proj,1072,1515.94
gate_up_proj,1104,1518.68
gate_up_proj,1136,1522.26
gate_up_proj,1168,1602.79
gate_up_proj,1200,1604.1
gate_up_proj,1232,1605.44
gate_up_proj,1264,1606.47
gate_up_proj,1296,1759.21
