layer,tokens,time_us
act_fn,1,2.13333
act_fn,2,2.11167
act_fn,3,2.12833
act_fn,4,2.13333
act_fn,5,2.13333
act_fn,6,2.10667
act_fn,7,2.144
act_fn,8,2.15467
act_fn,9,2.12267
act_fn,10,2.14383
act_fn,11,2.144
act_fn,12,2.144
act_fn,13,2.18133
act_fn,14,2.16033
act_fn,15,2.15467
act_fn,16,2.16517
act_fn,20,2.17067
act_fn,24,2.14433
act_fn,28,2.1705
act_fn,32,2.192
act_fn,36,2.20267
act_fn,40,2.19717
act_fn,44,2.22383
act_fn,48,2.22933
act_fn,52,2.23967
act_fn,56,2.272
act_fn,60,2.26133
act_fn,64,2.30367
act_fn,80,2.34133
act_fn,96,2.41067
act_fn,112,2.53867
act_fn,128,2.68783
act_fn,144,3.79767
act_fn,160,3.86133
act_fn,176,3.92533
act_fn,192,3.95717
act_fn,208,4.00533
act_fn,224,4.0905
act_fn,240,4.2295
act_fn,256,4.39983
act_fn,272,5.38117
act_fn,288,5.41883
act_fn,304,5.54133
act_fn,320,5.664
act_fn,336,5.57833
act_fn,352,5.712
act_fn,368,5.813
act_fn,384,5.99983
act_fn,400,6.87983
act_fn,416,6.9705
act_fn,432,7.056
act_fn,448,7.1305
act_fn,464,7.55167
act_fn,480,7.57867
act_fn,496,7.71167
act_fn,512,7.89333
act_fn,528,8.46367
act_fn,544,8.5705
act_fn,560,8.65067
act_fn,576,8.77333
act_fn,592,9.141
act_fn,608,9.22133
act_fn,624,9.301
act_fn,640,9.55733
act_fn,656,10.3357
act_fn,672,10.4532
act_fn,688,10.5437
act_fn,704,10.6503
act_fn,720,10.7085
act_fn,736,10.7888
act_fn,752,11.1142
act_fn,768,11.5092
act_fn,784,11.7812
act_fn,800,11.952
act_fn,816,12.0158
act_fn,832,12.304
act_fn,848,14.4158
act_fn,864,14.2185
act_fn,880,14.0692
act_fn,896,15.2955
act_fn,912,14.0905
act_fn,928,14.5007
act_fn,944,15.2955
act_fn,960,15.8503
act_fn,976,16.5913
act_fn,992,17.7968
act_fn,1008,18.49
