prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,24.3947
0,0,1,32,24.9283
0,0,1,64,25.0763
0,0,1,128,25.1843
0,0,1,256,25.269
0,0,1,512,25.4493
0,0,1,1024,26.5907
0,0,1,2048,27.6353
0,0,2,16,29.139
0,0,2,32,29.4287
0,0,2,64,29.537
0,0,2,128,29.899
0,0,2,256,30.7943
0,0,2,512,31.2323
0,0,2,1024,33.5777
0,0,2,2048,37.6837
0,0,4,16,72.1437
0,0,4,32,72.829
0,0,4,64,72.8523
0,0,4,128,73.0873
0,0,4,256,73.4827
0,0,4,512,75.0703
0,0,4,1024,78.5673
0,0,4,2048,84.9467
0,0,8,16,80.851
0,0,8,32,80.4353
0,0,8,64,80.552
0,0,8,128,81.6863
0,0,8,256,82.5483
0,0,8,512,84.5523
0,0,8,1024,89.1817
0,0,8,2048,97.512
0,0,16,16,92.1713
0,0,16,32,92.456
0,0,16,64,91.86
0,0,16,128,93.216
0,0,16,256,95.1027
0,0,16,512,99.5593
0,0,16,1024,106.14
0,0,16,2048,120.423
0,0,32,16,105.525
0,0,32,32,105.12
0,0,32,64,106.227
0,0,32,128,109.289
0,0,32,256,112.158
0,0,32,512,119.229
0,0,32,1024,132.497
0,0,32,2048,158.42
0,0,64,16,131.4
0,0,64,32,130.866
0,0,64,64,132.48
0,0,64,128,136.455
0,0,64,256,143.612
0,0,64,512,156.435
0,0,64,1024,183.292
0,0,64,2048,235.705
0,0,128,16,183.184
0,0,128,32,183.902
0,0,128,64,186.758
0,0,128,128,194.919
0,0,128,256,208.456
0,0,128,512,232.753
0,0,128,1024,286.575
0,0,128,2048,391.587
16,0,0,0,92.3487
16,0,1,16,94.066
16,0,1,32,94.7407
16,0,1,64,94.12
16,0,1,128,95.23
16,0,1,256,97.4367
16,0,1,512,101.225
16,0,1,1024,108.768
16,0,1,2048,127.626
16,0,2,16,93.9823
16,0,2,32,94.8777
16,0,2,64,94.377
16,0,2,128,95.2613
16,0,2,256,97.429
16,0,2,512,101.44
16,0,2,1024,109.46
16,0,2,2048,128.392
16,0,4,16,96.041
16,0,4,32,96.6587
16,0,4,64,96.4047
16,0,4,128,97.822
16,0,4,256,99.8283
16,0,4,512,104.125
16,0,4,1024,112.936
16,0,4,2048,133.395
16,0,8,16,97.9717
16,0,8,32,98.4503
16,0,8,64,98.408
16,0,8,128,99.711
16,0,8,256,102.621
16,0,8,512,107.925
16,0,8,1024,118.547
16,0,8,2048,141.479
16,0,16,16,105.394
16,0,16,32,105.267
16,0,16,64,106.571
16,0,16,128,109.223
16,0,16,256,111.925
16,0,16,512,119.434
16,0,16,1024,132.435
16,0,16,2048,158.661
16,0,32,16,119.434
16,0,32,32,118.762
16,0,32,64,120.018
16,0,32,128,123.335
16,0,32,256,128.455
16,0,32,512,139.132
16,0,32,1024,159.858
16,0,32,2048,196.315
16,0,64,16,146.068
16,0,64,32,146.015
16,0,64,64,147.451
16,0,64,128,152.711
16,0,64,256,161.158
16,0,64,512,176.947
16,0,64,1024,208.316
16,0,64,2048,274.467
16,16,0,0,92.447
16,16,1,16,94.0773
16,16,1,32,94.836
16,16,1,64,94.282
16,16,1,128,95.071
16,16,1,256,97.3427
16,16,1,512,101.193
16,16,1,1024,108.8
16,16,1,2048,127.335
16,16,2,16,93.9913
16,16,2,32,94.7593
16,16,2,64,94.409
16,16,2,128,95.2083
16,16,2,256,97.406
16,16,2,512,101.608
16,16,2,1024,109.32
16,16,2,2048,128.369
16,16,4,16,96.113
16,16,4,32,96.6813
16,16,4,64,96.1907
16,16,4,128,97.939
16,16,4,256,99.986
16,16,4,512,104.127
16,16,4,1024,112.989
16,16,4,2048,133.396
16,16,8,16,98.143
16,16,8,32,98.3673
16,16,8,64,98.492
16,16,8,128,99.625
16,16,8,256,102.932
16,16,8,512,107.636
16,16,8,1024,118.729
16,16,8,2048,141.607
16,16,16,16,105.512
16,16,16,32,105.478
16,16,16,64,106.236
16,16,16,128,109.184
16,16,16,256,112.178
16,16,16,512,119.55
16,16,16,1024,132.059
16,16,16,2048,158.719
16,16,32,16,119.452
16,16,32,32,118.717
16,16,32,64,120.369
16,16,32,128,123.377
16,16,32,256,128.456
16,16,32,512,139.368
16,16,32,1024,159.324
16,16,32,2048,196.602
16,16,64,16,146.161
16,16,64,32,145.99
16,16,64,64,147.549
16,16,64,128,152.807
16,16,64,256,160.723
16,16,64,512,177.467
16,16,64,1024,207.984
16,16,64,2048,273.18
16,32,0,0,92.385
16,32,1,16,94.037
16,32,1,32,94.6667
16,32,1,64,94.226
16,32,1,128,95.083
16,32,1,256,97.4377
16,32,1,512,101.204
16,32,1,1024,108.756
16,32,1,2048,127.368
16,32,2,16,94.0883
16,32,2,32,94.771
16,32,2,64,94.3753
16,32,2,128,95.113
16,32,2,256,97.5433
16,32,2,512,101.234
16,32,2,1024,109.396
16,32,2,2048,128.297
16,32,4,16,96.1377
16,32,4,32,96.6703
16,32,4,64,96.3523
16,32,4,128,98.004
16,32,4,256,99.7527
16,32,4,512,104.007
16,32,4,1024,112.946
16,32,4,2048,133.36
16,32,8,16,98.005
16,32,8,32,98.3427
16,32,8,64,98.227
16,32,8,128,99.7957
16,32,8,256,102.718
16,32,8,512,107.879
16,32,8,1024,118.713
16,32,8,2048,141.522
16,32,16,16,105.724
16,32,16,32,105.478
16,32,16,64,106.129
16,32,16,128,109.065
16,32,16,256,112.167
16,32,16,512,119.349
16,32,16,1024,132.285
16,32,16,2048,158.565
16,32,32,16,119.645
16,32,32,32,118.728
16,32,32,64,120.147
16,32,32,128,123.326
16,32,32,256,128.668
16,32,32,512,139.208
16,32,32,1024,159.494
16,32,32,2048,196.122
16,32,64,16,145.873
16,32,64,32,146.004
16,32,64,64,147.784
16,32,64,128,152.583
16,32,64,256,160.647
16,32,64,512,177.341
16,32,64,1024,208.465
16,32,64,2048,274.822
16,64,0,0,92.9777
16,64,1,16,93.9797
16,64,1,32,94.77
16,64,1,64,94.4313
16,64,1,128,95.0267
16,64,1,256,97.4903
16,64,1,512,101.169
16,64,1,1024,108.934
16,64,1,2048,127.242
16,64,2,16,94.0893
16,64,2,32,94.7597
16,64,2,64,94.4073
16,64,2,128,95.1773
16,64,2,256,97.4707
16,64,2,512,101.414
16,64,2,1024,109.374
16,64,2,2048,128.424
16,64,4,16,96.1047
16,64,4,32,96.566
16,64,4,64,96.267
16,64,4,128,97.6177
16,64,4,256,100
16,64,4,512,104.34
16,64,4,1024,112.96
16,64,4,2048,133.502
16,64,8,16,98.229
16,64,8,32,98.6117
16,64,8,64,98.3977
16,64,8,128,99.8167
16,64,8,256,102.868
16,64,8,512,108.051
16,64,8,1024,118.844
16,64,8,2048,141.393
16,64,16,16,105.523
16,64,16,32,105.48
16,64,16,64,106.183
16,64,16,128,109.258
16,64,16,256,111.987
16,64,16,512,119.344
16,64,16,1024,132.145
16,64,16,2048,159.069
16,64,32,16,119.473
16,64,32,32,118.995
16,64,32,64,120.264
16,64,32,128,122.824
16,64,32,256,128.839
16,64,32,512,139.56
16,64,32,1024,159.197
16,64,32,2048,196.015
16,64,64,16,146.268
16,64,64,32,145.81
16,64,64,64,147.782
16,64,64,128,152.52
16,64,64,256,161.095
16,64,64,512,177.461
16,64,64,1024,208.882
16,64,64,2048,273.914
16,128,0,0,94.322
16,128,1,16,94.1633
16,128,1,32,94.717
16,128,1,64,94.3233
16,128,1,128,95.167
16,128,1,256,97.5207
16,128,1,512,101.163
16,128,1,1024,108.778
16,128,1,2048,127.24
16,128,2,16,93.9947
16,128,2,32,94.6867
16,128,2,64,94.3233
16,128,2,128,95.1653
16,128,2,256,97.534
16,128,2,512,101.418
16,128,2,1024,109.376
16,128,2,2048,128.371
16,128,4,16,96.1803
16,128,4,32,96.563
16,128,4,64,96.402
16,128,4,128,97.7807
16,128,4,256,99.859
16,128,4,512,104.266
16,128,4,1024,112.99
16,128,4,2048,133.182
16,128,8,16,97.9163
16,128,8,32,98.6637
16,128,8,64,98.409
16,128,8,128,99.7317
16,128,8,256,103.126
16,128,8,512,107.816
16,128,8,1024,118.814
16,128,8,2048,141.596
16,128,16,16,105.618
16,128,16,32,105.159
16,128,16,64,106.164
16,128,16,128,109.31
16,128,16,256,112.33
16,128,16,512,119.113
16,128,16,1024,132.263
16,128,16,2048,158.718
16,128,32,16,119.625
16,128,32,32,119.005
16,128,32,64,120.659
16,128,32,128,123.113
16,128,32,256,128.863
16,128,32,512,139.411
16,128,32,1024,159.337
16,128,32,2048,195.912
16,128,64,16,146.506
16,128,64,32,145.844
16,128,64,64,147.548
16,128,64,128,153.117
16,128,64,256,161.074
16,128,64,512,177.019
16,128,64,1024,208.488
16,128,64,2048,274.062
16,256,0,0,96.6903
16,256,1,16,93.938
16,256,1,32,94.7607
16,256,1,64,94.1627
16,256,1,128,95.2623
16,256,1,256,97.4267
16,256,1,512,101.16
16,256,1,1024,108.785
16,256,1,2048,127.058
16,256,2,16,94.0873
16,256,2,32,95.05
16,256,2,64,94.4603
16,256,2,128,95.361
16,256,2,256,97.397
16,256,2,512,101.447
16,256,2,1024,109.44
16,256,2,2048,128.583
16,256,4,16,95.998
16,256,4,32,96.6273
16,256,4,64,96.36
16,256,4,128,97.778
16,256,4,256,100.2
16,256,4,512,104.231
16,256,4,1024,112.993
16,256,4,2048,133.172
16,256,8,16,98.099
16,256,8,32,98.4807
16,256,8,64,98.42
16,256,8,128,99.6897
16,256,8,256,102.813
16,256,8,512,107.699
16,256,8,1024,118.535
16,256,8,2048,141.342
16,256,16,16,105.675
16,256,16,32,105.553
16,256,16,64,106.462
16,256,16,128,108.959
16,256,16,256,111.999
16,256,16,512,119.283
16,256,16,1024,132.305
16,256,16,2048,158.822
16,256,32,16,119.7
16,256,32,32,118.844
16,256,32,64,120.361
16,256,32,128,123.348
16,256,32,256,128.712
16,256,32,512,139.527
16,256,32,1024,158.847
16,256,32,2048,196.168
16,256,64,16,146.291
16,256,64,32,145.66
16,256,64,64,148.113
16,256,64,128,152.584
16,256,64,256,160.66
16,256,64,512,177.534
16,256,64,1024,208.881
16,256,64,2048,273.639
16,512,0,0,101.073
16,512,1,16,94.015
16,512,1,32,94.786
16,512,1,64,94.1413
16,512,1,128,95.1463
16,512,1,256,97.47
16,512,1,512,101.203
16,512,1,1024,108.78
16,512,1,2048,127.017
16,512,2,16,94.1633
16,512,2,32,94.7607
16,512,2,64,94.3213
16,512,2,128,95.1877
16,512,2,256,97.417
16,512,2,512,101.439
16,512,2,1024,109.417
16,512,2,2048,128.383
16,512,4,16,96.2327
16,512,4,32,96.7447
16,512,4,64,96.275
16,512,4,128,97.9923
16,512,4,256,99.8677
16,512,4,512,104.222
16,512,4,1024,112.925
16,512,4,2048,133.052
16,512,8,16,98.3127
16,512,8,32,98.568
16,512,8,64,98.43
16,512,8,128,99.8913
16,512,8,256,102.781
16,512,8,512,107.806
16,512,8,1024,118.772
16,512,8,2048,141.534
16,512,16,16,105.492
16,512,16,32,105.086
16,512,16,64,106.417
16,512,16,128,109.212
16,512,16,256,112.085
16,512,16,512,119.133
16,512,16,1024,132.211
16,512,16,2048,158.696
16,512,32,16,119.741
16,512,32,32,119.114
16,512,32,64,120.35
16,512,32,128,123.175
16,512,32,256,128.959
16,512,32,512,139.252
16,512,32,1024,159.496
16,512,32,2048,196.452
16,512,64,16,146.269
16,512,64,32,145.726
16,512,64,64,146.962
16,512,64,128,152.586
16,512,64,256,160.563
16,512,64,512,177.606
16,512,64,1024,208.585
16,512,64,2048,273.861
16,1024,0,0,109.309
16,1024,1,16,93.9483
16,1024,1,32,94.7517
16,1024,1,64,94.3003
16,1024,1,128,95.1343
16,1024,1,256,97.375
16,1024,1,512,101.299
16,1024,1,1024,108.767
16,1024,1,2048,127.366
16,1024,2,16,94.091
16,1024,2,32,94.837
16,1024,2,64,94.2593
16,1024,2,128,95.2317
16,1024,2,256,97.4257
16,1024,2,512,101.321
16,1024,2,1024,109.387
16,1024,2,2048,128.369
