layer,tokens,time_us
act_fn,1,1.92
act_fn,2,2.27233
act_fn,3,2.21867
act_fn,4,2.25067
act_fn,5,2.26133
act_fn,6,2.24
act_fn,7,2.26133
act_fn,8,2.24
act_fn,9,2.251
act_fn,10,2.261
act_fn,11,2.336
act_fn,12,2.304
act_fn,13,2.29333
act_fn,14,2.283
act_fn,15,2.31467
act_fn,16,2.304
act_fn,20,2.30367
act_fn,24,2.35667
act_fn,28,2.293
act_fn,32,2.28267
act_fn,36,2.34667
act_fn,40,2.33567
act_fn,44,2.368
act_fn,48,2.32533
act_fn,52,2.28267
act_fn,56,2.32533
act_fn,60,2.4
act_fn,64,2.41067
act_fn,80,2.47467
act_fn,96,2.55967
act_fn,112,2.66633
act_fn,128,2.77333
act_fn,144,3.78667
act_fn,160,3.94667
act_fn,176,4.07467
act_fn,192,4.12767
act_fn,208,4.224
act_fn,224,4.277
act_fn,240,4.39433
act_fn,256,4.672
act_fn,272,10.1973
act_fn,288,10.293
act_fn,304,10.2183
act_fn,320,10.2613
act_fn,336,5.664
act_fn,352,5.749
act_fn,368,5.856
act_fn,384,6.24
act_fn,400,6.43167
act_fn,416,11.5837
act_fn,432,11.7967
act_fn,448,12.01
act_fn,464,8.35133
act_fn,480,8.66133
act_fn,496,9.03467
act_fn,512,9.29067
act_fn,528,17.472
act_fn,544,17.6743
act_fn,560,17.8237
act_fn,576,17.792
act_fn,592,17.8123
act_fn,608,18.0043
act_fn,624,18.1013
act_fn,640,18.2933
act_fn,656,14.1113
act_fn,672,14.3357
act_fn,688,14.6877
act_fn,704,15.1143
act_fn,720,20.0207
act_fn,736,20.2557
act_fn,752,20.6293
act_fn,768,20.789
act_fn,784,17.6107
act_fn,800,17.8983
act_fn,816,18.474
act_fn,832,18.9437
act_fn,848,24.2663
act_fn,864,24.8103
act_fn,880,25.0557
act_fn,896,25.482
act_fn,912,21.109
act_fn,928,21.9303
act_fn,944,22.3783
act_fn,960,22.9007
act_fn,976,23.658
act_fn,992,24.458
act_fn,1008,24.8
act_fn,1024,25.4183
act_fn,1040,32.97
act_fn,1056,32.9063
act_fn,1072,32.9167
act_fn,1088,29.0767
act_fn,1104,33.4607
act_fn,1120,33.7597
act_fn,1136,34.079
act_fn,1152,34.09
act_fn,1168,33.1513
act_fn,1184,33.834
act_fn,1200,33.9407
act_fn,1216,35.103
act_fn,1232,38.3883
act_fn,1248,38.9967
act_fn,1264,39.5297
act_fn,1280,39.6467
act_fn,1296,45.0763
act_fn,1312,45.6527
act_fn,1328,46.2503
act_fn,1344,46.9007
act_fn,1360,43.8817
act_fn,1376,44.447
act_fn,1392,45.119
act_fn,1408,45.5353
act_fn,1424,46.5163
act_fn,1440,47.0923
act_fn,1456,47.839
act_fn,1472,48.3293
act_fn,1488,48.991
act_fn,1504,49.8123
act_fn,1520,50.1643
act_fn,1536,50.879
act_fn,1552,46.367
act_fn,1568,46.3993
act_fn,1584,46.3993
act_fn,1600,51.6257
act_fn,1616,52.319
act_fn,1632,52.863
act_fn,1648,53.3533
act_fn,1664,53.7803
act_fn,1680,53.3857
act_fn,1696,53.7163
act_fn,1712,54.5593
act_fn,1728,55.3163
act_fn,1744,58.8253
act_fn,1760,59.54
act_fn,1776,60.3613
act_fn,1792,61.1507
act_fn,1808,62.1213
act_fn,1824,62.9003
act_fn,1840,63.732
act_fn,1856,64.9267
act_fn,1872,66.068
act_fn,1888,67.049
act_fn,1904,67.9023
act_fn,1920,68.564
act_fn,1936,70.142
act_fn,1952,70.6653
