tokens,activated_experts,time_us
1,8,62.342
2,8,73.063
2,16,116.875
4,8,70.856
4,16,120.075
4,32,208.468
8,8,61.733
8,16,110.123
8,32,205.332
8,64,386.342
16,8,61.733
16,16,110.122
16,32,207.188
16,64,388.355
16,128,739.75
32,8,64.039
32,16,110.828
32,32,207.381
32,64,389.799
32,128,743.814
64,8,68.038
64,16,117.77
64,32,210.868
64,64,390.887
64,128,747.498
128,8,98.091
128,16,128.139
128,32,212.692
128,64,392.039
128,128,746.986
256,8,163.407
256,16,170.799
256,32,228.438
256,64,403.401
256,128,762.762
512,8,258.456
512,16,265.114
512,32,289.564
512,64,418.247
512,128,775.045
1024,8,528.019
1024,16,541.589
1024,32,555.283
1024,64,589.304
1024,128,836.053
