layer,sequences,time_us
lm_head,1,388.791
lm_head,2,369.647
lm_head,3,369.156
lm_head,4,369.582
lm_head,5,369.635
lm_head,6,369.754
lm_head,7,370.745
lm_head,8,370.787
lm_head,9,369.955
lm_head,10,370.138
lm_head,11,370.169
lm_head,12,370.18
lm_head,13,370.521
lm_head,14,371.087
lm_head,15,370.5
lm_head,16,370.852
lm_head,20,373.571
lm_head,24,373.912
lm_head,28,374.371
lm_head,32,379.214
lm_head,36,379.619
lm_head,40,382.776
lm_head,44,382.83
lm_head,48,382.617
lm_head,52,381.156
lm_head,56,382.51
lm_head,60,382.787
lm_head,64,383.96
lm_head,80,387.533
lm_head,96,389.187
lm_head,112,389.784
lm_head,128,391.779
