prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.504
0,0,1,256,14.1017
0,0,2,16,8.3095
0,0,2,256,15.0302
0,0,4,16,8.46967
0,0,4,256,18.6455
0,0,8,16,13.6215
0,0,8,256,32.2085
0,0,16,16,22.5345
0,0,16,256,57.5695
0,0,32,16,37.1903
0,0,32,256,97.7893
0,0,64,16,66.1987
0,0,64,256,182.378
0,0,128,16,124.334
0,0,128,256,347.011
0,0,256,16,239.462
0,0,256,256,673.729
16,0,0,0,9.2695
16,0,1,64,9.15217
16,0,1,1024,35.4783
16,0,2,64,9.1415
16,0,2,1024,36.0008
16,0,4,64,9.723
16,0,4,1024,49.7293
16,0,8,64,15.0405
16,0,8,1024,92.5678
16,0,16,64,24.4323
16,0,16,1024,193.439
16,0,32,64,39.8303
16,0,32,1024,352.739
16,0,64,64,70.5508
16,0,64,1024,670.106
16,0,128,64,133.059
16,0,128,1024,1301.8
16,16,1,16,9.37067
16,16,1,256,15.0778
16,16,2,16,9.33367
16,16,2,256,15.542
16,16,4,16,9.21617
16,16,4,256,18.8107
16,16,8,16,14.3577
16,16,8,256,31.153
16,16,16,16,23.8887
16,16,16,256,56.0122
16,16,32,16,38.87
16,16,32,256,96.925
16,16,64,16,68.8333
16,16,64,256,185.039
16,16,128,16,126.045
16,16,128,256,350.001
16,64,0,0,9.659
16,64,1,64,9.86717
16,64,1,1024,35.499
16,64,2,64,9.77133
16,64,2,1024,35.9742
16,64,4,64,10.0323
16,64,4,1024,49.5103
16,64,8,64,15.2322
16,64,8,1024,92.7005
16,64,16,64,24.8695
16,64,16,1024,192.686
16,64,32,64,40.2938
16,64,32,1024,352.407
16,64,64,64,71.2492
16,64,64,1024,670.258
16,64,128,64,132.674
16,64,128,1024,1301.7
16,256,1,16,15.1525
16,256,1,256,15.7015
16,256,2,16,15.1793
16,256,2,256,16.7202
16,256,4,16,15.2053
16,256,4,256,21.2432
16,256,8,16,21.0567
16,256,8,256,34.838
16,256,16,16,30.7793
16,256,16,256,63.6065
16,256,32,16,45.846
16,256,32,256,109.245
16,256,64,16,76.0978
16,256,64,256,194.473
16,256,128,16,132.861
16,256,128,256,362.241
16,1024,0,0,36.1873
16,1024,1,64,35.547
16,1024,1,1024,36.1177
16,1024,2,64,35.5203
16,1024,2,1024,40.2728
16,1024,4,64,35.8298
16,1024,4,1024,60.4065
16,1024,8,64,42.6032
16,1024,8,1024,104.876
16,1024,16,64,53.1317
16,1024,16,1024,201.145
16,1024,32,64,69.5905
16,1024,32,1024,363.541
16,1024,64,64,102.055
16,1024,64,1024,681.388
16,1024,128,64,164.381
16,1024,128,1024,1318.24
64,0,1,16,9.38133
64,0,1,256,15.083
64,0,2,16,9.37083
64,0,2,256,15.2752
64,0,4,16,9.355
64,0,4,256,18.5388
64,0,8,16,14.4963
64,0,8,256,31.9045
64,0,16,16,24.1762
64,0,16,256,57.457
64,0,32,16,39.1633
64,0,32,256,99.3672
64,0,64,16,68.7478
64,0,64,256,184.637
64,0,128,16,126.263
64,0,128,256,351.744
64,16,0,0,9.70167
64,16,1,64,9.675
64,16,1,1024,35.4938
64,16,2,64,9.85083
64,16,2,1024,35.7662
64,16,4,64,10.064
64,16,4,1024,49.3018
64,16,8,64,15.9363
64,16,8,1024,92.4865
64,16,16,64,25.451
64,16,16,1024,195.32
64,16,32,64,40.4962
64,16,32,1024,354.362
64,16,64,64,70.8862
64,16,64,1024,671.386
64,16,128,64,133.17
64,16,128,1024,1302.33
64,64,1,16,9.39783
64,64,1,256,15.1893
64,64,2,16,9.4615
64,64,2,256,15.1362
64,64,4,16,9.3975
64,64,4,256,18.56
64,64,8,16,14.7362
64,64,8,256,31.9523
64,64,16,16,24.3952
64,64,16,256,57.857
64,64,32,16,39.2377
64,64,32,256,99.6173
64,64,64,16,69.02
64,64,64,256,184.52
64,64,128,16,126.386
64,64,128,256,351.397
64,256,0,0,16.2132
64,256,1,64,15.4938
64,256,1,1024,35.4458
64,256,2,64,15.4347
64,256,2,1024,36.144
64,256,4,64,15.4723
64,256,4,1024,51.5313
64,256,8,64,22.1342
64,256,8,1024,95.2868
64,256,16,64,32.9283
64,256,16,1024,194.786
64,256,32,64,48.038
64,256,32,1024,354.191
64,256,64,64,78.9232
64,256,64,1024,670.932
64,256,128,64,141.319
64,256,128,1024,1301.84
64,1024,1,16,35.9045
64,1024,1,256,35.8727
64,1024,2,16,35.8293
64,1024,2,256,36.4805
64,1024,4,16,35.8882
64,1024,4,256,41.3235
64,1024,8,16,41.7978
64,1024,8,256,56.774
64,1024,16,16,51.6915
64,1024,16,256,86.1717
64,1024,32,16,67.3287
64,1024,32,256,135.042
64,1024,64,16,99.196
64,1024,64,256,220.398
64,1024,128,16,157.677
64,1024,128,256,383.093
256,0,0,0,13.4823
256,0,1,64,14.1708
256,0,1,1024,36.9282
256,0,2,64,18.9068
256,0,2,1024,42.4968
256,0,4,64,19.5735
256,0,4,1024,56.1607
256,0,8,64,24.7417
256,0,8,1024,95.6383
256,0,16,64,33.6752
256,0,16,1024,187.89
256,0,32,64,51.6803
256,0,32,1024,350.169
256,0,64,64,87.9267
256,0,64,1024,676.376
256,0,128,64,164.098
256,0,128,1024,1310.23
256,16,1,16,16.8958
256,16,1,256,16.8322
256,16,2,16,21.7818
256,16,2,256,22.5178
256,16,4,16,22.486
256,16,4,256,27.5575
256,16,8,16,27.8937
256,16,8,256,38.8538
256,16,16,16,37.2752
256,16,16,256,58.55
256,16,32,16,54.7897
256,16,32,256,100.902
256,16,64,16,90.0385
256,16,64,256,183.565
256,16,128,16,162.066
256,16,128,256,348.26
256,64,0,0,16.523
256,64,1,64,17.142
256,64,1,1024,36.8963
256,64,2,64,22.1603
256,64,2,1024,42.7955
256,64,4,64,23.019
256,64,4,1024,57.969
256,64,8,64,28.395
256,64,8,1024,96.8173
256,64,16,64,37.9205
256,64,16,1024,187.895
256,64,32,64,55.9845
256,64,32,1024,350.084
256,64,64,64,92.2303
256,64,64,1024,677.048
256,64,128,64,168.333
256,64,128,1024,1310.97
256,256,1,16,20.6722
256,256,1,256,20.7578
256,256,2,16,25.5742
256,256,2,256,31.995
256,256,4,16,27.6802
256,256,4,256,33.2272
256,256,8,16,34.0537
256,256,8,256,47.9258
256,256,16,16,43.3127
256,256,16,256,66.7365
256,256,32,16,61.6382
256,256,32,256,112.476
256,256,64,16,97.1267
256,256,64,256,194.552
256,256,128,16,169.463
256,256,128,256,356.927
256,1024,0,0,40.6143
256,1024,1,64,41.3388
256,1024,1,1024,41.2807
256,1024,2,64,46.15
256,1024,2,1024,73.6437
256,1024,4,64,48.3048
256,1024,4,1024,78.7368
256,1024,8,64,57.622
256,1024,8,1024,128.802
256,1024,16,64,73.2382
256,1024,16,1024,194.354
256,1024,32,64,93.2332
256,1024,32,1024,359.764
256,1024,64,64,132.055
256,1024,64,1024,683.127
256,1024,128,64,208.44
256,1024,128,1024,1324.09
1024,0,1,16,83.1315
1024,0,1,256,84.6943
1024,0,2,16,84.7743
1024,0,2,256,87.4355
1024,0,4,16,88.7422
1024,0,4,256,93.4675
1024,0,8,16,96.5183
1024,0,8,256,106.913
1024,0,16,16,111.708
1024,0,16,256,132.796
1024,0,32,16,142.017
1024,0,32,256,184.178
1024,0,64,16,201.687
1024,0,64,256,286.307
1024,0,128,16,318.473
1024,0,128,256,486.197
1024,16,0,0,89.6917
1024,16,1,64,90.8703
1024,16,1,1024,95.0252
1024,16,2,64,91.9423
1024,16,2,1024,101.724
1024,16,4,64,96.177
