layer,sequences,time_us
lm_head,1,82.978
lm_head,3,87.299
lm_head,5,87.586
lm_head,7,87.682
lm_head,9,87.33
lm_head,11,87.778
lm_head,13,87.523
lm_head,15,87.81
lm_head,20,83.171
lm_head,28,83.298
lm_head,36,84.547
lm_head,44,87.747
lm_head,52,85.954
lm_head,60,85.058
lm_head,80,90.69
lm_head,112,89.859
lm_head,144,128.996
lm_head,176,129.412
lm_head,208,148.323
lm_head,240,150.276
lm_head,2,86.754
lm_head,4,87.554
lm_head,6,88.162
lm_head,8,87.81
lm_head,10,87.554
lm_head,12,87.746
lm_head,14,87.522
lm_head,16,87.458
lm_head,24,82.626
lm_head,32,83.234
lm_head,40,85.506
lm_head,48,85.506
lm_head,56,85.443
lm_head,64,85.795
lm_head,96,91.554
lm_head,128,88.547
lm_head,160,128.675
lm_head,192,129.219
lm_head,224,148.58
lm_head,256,149.764
