prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,32.021
0,0,1,32,32.1923
0,0,1,64,32.6193
0,0,1,128,32.811
0,0,1,256,32.5657
0,0,1,512,35.2963
0,0,1,1024,38.3993
0,0,1,2048,37.942
0,0,2,16,34.4213
0,0,2,32,34.923
0,0,2,64,35.7547
0,0,2,128,36.7883
0,0,2,256,41.2813
0,0,2,512,47.7873
0,0,2,1024,59.8393
0,0,2,2048,71.169
0,0,4,16,36.1607
0,0,4,32,36.8
0,0,4,64,38.0697
0,0,4,128,40.6077
0,0,4,256,44.5347
0,0,4,512,51.7003
0,0,4,1024,57.4823
0,0,4,2048,82.305
0,0,8,16,38.7423
0,0,8,32,39.6163
0,0,8,64,41.194
0,0,8,128,44.619
0,0,8,256,49.27
0,0,8,512,58.826
0,0,8,1024,71.1047
0,0,8,2048,106.401
0,0,16,16,41.0573
0,0,16,32,41.9203
0,0,16,64,44.4783
0,0,16,128,48.0217
0,0,16,256,54.9983
0,0,16,512,61.388
0,0,16,1024,92.182
0,0,16,2048,150.882
0,0,32,16,44.694
0,0,32,32,47.0607
0,0,32,64,50.2303
0,0,32,128,44.1803
0,0,32,256,56.395
0,0,32,512,80.4063
0,0,32,1024,126.081
0,0,32,2048,211.704
0,0,64,16,54.934
0,0,64,32,57.9533
0,0,64,64,54.122
0,0,64,128,65.2483
0,0,64,256,89.7717
0,0,64,512,131.917
0,0,64,1024,215.362
0,0,64,2048,390.746
0,0,128,16,84.618
0,0,128,32,80.6937
0,0,128,64,92.4917
0,0,128,128,116.759
0,0,128,256,156.781
0,0,128,512,237.772
0,0,128,1024,418.544
0,0,128,2048,757.256
16,0,0,0,28.0953
16,0,1,16,50.5503
16,0,1,32,51.318
16,0,1,64,53.932
16,0,1,128,56.9063
16,0,1,256,54.5403
16,0,1,512,70.272
16,0,1,1024,96.5773
16,0,1,2048,149.848
16,0,2,16,40.203
16,0,2,32,41.4517
16,0,2,64,43.627
16,0,2,128,47.8923
16,0,2,256,46.4327
16,0,2,512,62.7523
16,0,2,1024,95.9363
16,0,2,2048,160.662
16,0,4,16,41.1853
16,0,4,32,42.3043
16,0,4,64,44.832
16,0,4,128,49.2607
16,0,4,256,48.192
16,0,4,512,66.2833
16,0,4,1024,104.917
16,0,4,2048,171.393
16,0,8,16,43.371
16,0,8,32,44.4707
16,0,8,64,47.7433
16,0,8,128,53.109
16,0,8,256,54.39
16,0,8,512,78.0173
16,0,8,1024,126.209
16,0,8,2048,210.424
16,0,16,16,44.7053
16,0,16,32,47.1473
16,0,16,64,50.1773
16,0,16,128,44.2783
16,0,16,256,56.609
16,0,16,512,80.1163
16,0,16,1024,125.802
16,0,16,2048,212.473
16,0,32,16,49.677
16,0,32,32,51.4553
16,0,32,64,55.4773
16,0,32,128,55.8603
16,0,32,256,73.6447
16,0,32,512,109.525
16,0,32,1024,171.767
16,0,32,2048,303.458
16,0,64,16,60.7473
16,0,64,32,55.6693
16,0,64,64,62.9007
16,0,64,128,76.0133
16,0,64,256,104.525
16,0,64,512,151.136
16,0,64,1024,251.651
16,0,64,2048,467.716
16,16,0,0,28.8643
16,16,1,16,50.5717
16,16,1,32,51.458
16,16,1,64,53.9947
16,16,1,128,56.8023
16,16,1,256,54.4657
16,16,1,512,69.7797
16,16,1,1024,96.7903
16,16,1,2048,149.793
16,16,2,16,40.1397
16,16,2,32,41.409
16,16,2,64,43.691
16,16,2,128,47.936
16,16,2,256,46.582
16,16,2,512,62.9233
16,16,2,1024,96.0007
16,16,2,2048,160.215
16,16,4,16,41.2167
16,16,4,32,42.305
16,16,4,64,44.833
16,16,4,128,49.002
16,16,4,256,48.2443
16,16,4,512,66.4753
16,16,4,1024,105.152
16,16,4,2048,171.051
16,16,8,16,43.1267
16,16,8,32,44.5443
16,16,8,64,47.6703
16,16,8,128,53.099
16,16,8,256,54.689
16,16,8,512,77.7623
16,16,8,1024,127.094
16,16,8,2048,211.565
16,16,16,16,44.822
16,16,16,32,47.275
16,16,16,64,50.251
16,16,16,128,44.2127
16,16,16,256,56.5887
16,16,16,512,80.258
16,16,16,1024,125.794
16,16,16,2048,212.055
16,16,32,16,49.5873
16,16,32,32,51.499
16,16,32,64,55.7123
16,16,32,128,55.8823
16,16,32,256,73.9323
16,16,32,512,109.57
16,16,32,1024,172.685
16,16,32,2048,304.738
16,16,64,16,60.8643
16,16,64,32,55.8413
16,16,64,64,62.785
16,16,64,128,76.0437
16,16,64,256,104.353
16,16,64,512,151.349
16,16,64,1024,252.171
16,16,64,2048,468.283
16,32,0,0,29.5473
16,32,1,16,50.6347
16,32,1,32,51.3187
16,32,1,64,54.0267
16,32,1,128,57.045
16,32,1,256,54.6687
16,32,1,512,70.2713
16,32,1,1024,96.598
16,32,1,2048,150.007
16,32,2,16,40.256
16,32,2,32,41.5027
16,32,2,64,43.6273
16,32,2,128,48.0537
16,32,2,256,46.572
16,32,2,512,62.836
16,32,2,1024,95.7673
16,32,2,2048,160.651
16,32,4,16,41.195
16,32,4,32,42.262
16,32,4,64,44.9277
16,32,4,128,49.1107
16,32,4,256,48.2983
16,32,4,512,66.3153
16,32,4,1024,104.971
16,32,4,2048,171.032
16,32,8,16,43.116
16,32,8,32,44.299
16,32,8,64,47.7457
16,32,8,128,53.217
16,32,8,256,54.5163
16,32,8,512,77.761
16,32,8,1024,126.956
16,32,8,2048,209.518
16,32,16,16,44.7577
16,32,16,32,47.137
16,32,16,64,50.1873
16,32,16,128,44.1813
16,32,16,256,56.4267
16,32,16,512,80.3857
16,32,16,1024,125.366
16,32,16,2048,211.959
16,32,32,16,49.7183
16,32,32,32,51.4903
16,32,32,64,55.5207
16,32,32,128,55.9477
16,32,32,256,73.718
16,32,32,512,109.644
16,32,32,1024,172.48
16,32,32,2048,303.597
16,32,64,16,60.7153
16,32,64,32,55.6693
16,32,64,64,62.742
16,32,64,128,75.9897
16,32,64,256,104.63
16,32,64,512,150.968
16,32,64,1024,252.865
16,32,64,2048,467.29
16,64,0,0,31.3913
16,64,1,16,50.6247
16,64,1,32,51.3393
16,64,1,64,53.782
16,64,1,128,56.833
16,64,1,256,54.41
16,64,1,512,69.9727
16,64,1,1024,96.5647
16,64,1,2048,149.933
16,64,2,16,40.171
16,64,2,32,41.6017
16,64,2,64,43.7017
16,64,2,128,47.8837
16,64,2,256,46.591
16,64,2,512,62.9867
16,64,2,1024,95.7237
16,64,2,2048,160.749
16,64,4,16,41.2257
16,64,4,32,42.1757
16,64,4,64,44.982
16,64,4,128,49.046
16,64,4,256,48.331
16,64,4,512,66.057
16,64,4,1024,104.47
16,64,4,2048,171.36
16,64,8,16,43.2537
16,64,8,32,44.3947
16,64,8,64,47.7327
16,64,8,128,53.0787
16,64,8,256,54.3143
16,64,8,512,77.7083
16,64,8,1024,127.255
16,64,8,2048,209.366
16,64,16,16,44.7053
16,64,16,32,47.2007
16,64,16,64,50.252
16,64,16,128,44.223
16,64,16,256,56.491
16,64,16,512,80.278
16,64,16,1024,125.591
16,64,16,2048,211.383
16,64,32,16,49.653
16,64,32,32,51.2533
16,64,32,64,55.552
16,64,32,128,55.8527
16,64,32,256,73.749
16,64,32,512,109.58
16,64,32,1024,172.716
16,64,32,2048,302.767
16,64,64,16,60.9293
16,64,64,32,55.765
16,64,64,64,62.7637
16,64,64,128,75.9663
16,64,64,256,104.513
16,64,64,512,151.264
16,64,64,1024,251.981
16,64,64,2048,468.624
16,128,0,0,34.167
16,128,1,16,50.665
16,128,1,32,51.4883
16,128,1,64,53.994
16,128,1,128,56.7477
16,128,1,256,54.528
16,128,1,512,70.1553
16,128,1,1024,96.7473
16,128,1,2048,149.666
16,128,2,16,39.9797
16,128,2,32,41.494
16,128,2,64,43.6473
16,128,2,128,47.904
16,128,2,256,46.4753
16,128,2,512,62.912
16,128,2,1024,96.0213
16,128,2,2048,160.461
16,128,4,16,41.174
16,128,4,32,42.3363
16,128,4,64,44.8233
16,128,4,128,48.9387
16,128,4,256,48.3413
16,128,4,512,66.3697
16,128,4,1024,104.746
16,128,4,2048,171.436
16,128,8,16,43.136
16,128,8,32,44.4907
16,128,8,64,47.723
16,128,8,128,53.1187
16,128,8,256,54.6667
16,128,8,512,78.059
16,128,8,1024,126.849
16,128,8,2048,210.488
16,128,16,16,44.8543
16,128,16,32,47.041
16,128,16,64,50.039
16,128,16,128,44.1387
16,128,16,256,56.5013
16,128,16,512,79.9883
16,128,16,1024,125.965
16,128,16,2048,211.893
16,128,32,16,49.7503
16,128,32,32,51.3187
16,128,32,64,55.6917
16,128,32,128,55.9373
16,128,32,256,73.7273
16,128,32,512,109.803
16,128,32,1024,172.589
16,128,32,2048,303.383
16,128,64,16,60.7783
16,128,64,32,55.6483
16,128,64,64,62.808
16,128,64,128,75.7443
16,128,64,256,104.023
16,128,64,512,151.554
16,128,64,1024,252.887
16,128,64,2048,467.607
16,256,0,0,39.6273
16,256,1,16,50.2947
16,256,1,32,51.4137
16,256,1,64,53.888
16,256,1,128,57.057
16,256,1,256,54.5603
16,256,1,512,70.1657
16,256,1,1024,96.4487
16,256,1,2048,149.826
16,256,2,16,40.3527
16,256,2,32,41.2063
16,256,2,64,43.6593
16,256,2,128,47.7433
16,256,2,256,46.688
16,256,2,512,62.9123
16,256,2,1024,95.9047
16,256,2,2048,160.428
16,256,4,16,41.067
16,256,4,32,42.2517
16,256,4,64,44.9063
16,256,4,128,49.1413
16,256,4,256,48.3417
16,256,4,512,66.0923
16,256,4,1024,104.651
16,256,4,2048,170.923
16,256,8,16,43.1897
16,256,8,32,44.3737
16,256,8,64,47.776
16,256,8,128,53.2487
16,256,8,256,54.3997
16,256,8,512,77.621
16,256,8,1024,126.625
16,256,8,2048,210.912
16,256,16,16,44.81
16,256,16,32,47.222
16,256,16,64,50.2613
16,256,16,128,44.193
16,256,16,256,56.4693
16,256,16,512,80.265
16,256,16,1024,126.199
16,256,16,2048,211.606
16,256,32,16,49.5903
16,256,32,32,51.3477
16,256,32,64,55.6257
16,256,32,128,55.8943
16,256,32,256,73.985
16,256,32,512,109.226
16,256,32,1024,172.427
16,256,32,2048,303.489
16,256,64,16,60.875
16,256,64,32,55.659
16,256,64,64,62.88
16,256,64,128,75.8187
16,256,64,256,104.022
16,256,64,512,151.425
16,256,64,1024,252.428
16,256,64,2048,468.271
16,512,0,0,52.7677
16,512,1,16,50.4207
16,512,1,32,51.3493
16,512,1,64,53.9743
16,512,1,128,57.014
16,512,1,256,54.4323
16,512,1,512,70.0273
16,512,1,1024,96.9067
16,512,1,2048,150.038
16,512,2,16,39.9897
16,512,2,32,41.5053
16,512,2,64,43.787
16,512,2,128,47.9353
16,512,2,256,46.624
16,512,2,512,62.817
16,512,2,1024,95.6393
16,512,2,2048,160.352
16,512,4,16,41.1833
16,512,4,32,42.3147
16,512,4,64,44.823
16,512,4,128,48.949
16,512,4,256,48.1817
16,512,4,512,66.5187
16,512,4,1024,104.619
16,512,4,2048,171.458
16,512,8,16,43.1993
16,512,8,32,44.4377
16,512,8,64,47.679
16,512,8,128,53.003
16,512,8,256,54.3357
16,512,8,512,77.825
16,512,8,1024,126.859
16,512,8,2048,211.061
16,512,16,16,44.7917
16,512,16,32,47.0523
16,512,16,64,50.4327
16,512,16,128,44.2757
16,512,16,256,56.4063
16,512,16,512,80.2347
16,512,16,1024,125.825
16,512,16,2048,211.778
16,512,32,16,49.6123
16,512,32,32,51.414
16,512,32,64,55.489
16,512,32,128,56.0647
16,512,32,256,73.856
16,512,32,512,109.676
16,512,32,1024,172.629
16,512,32,2048,307.426
16,512,64,16,60.8857
16,512,64,32,55.7343
16,512,64,64,62.849
16,512,64,128,75.8713
16,512,64,256,104.223
16,512,64,512,151.586
16,512,64,1024,252.225
16,512,64,2048,467.799
16,1024,0,0,76.8943
16,1024,1,16,50.3903
16,1024,1,32,51.136
16,1024,1,64,53.9107
16,1024,1,128,57.0353
16,1024,1,256,54.539
16,1024,1,512,70.176
16,1024,1,1024,96.758
16,1024,1,2048,149.717
16,1024,2,16,40.0223
16,1024,2,32,41.6967
16,1024,2,64,43.7767
16,1024,2,128,47.8617
16,1024,2,256,46.519
16,1024,2,512,62.6993
16,1024,2,1024,95.874
16,1024,2,2048,160.481
16,1024,4,16,41.3123
16,1024,4,32,42.165
16,1024,4,64,44.9607
16,1024,4,128,49.172
16,1024,4,256,48.394
16,1024,4,512,66.6567
16,1024,4,1024,104.758
16,1024,4,2048,171.051
16,1024,8,16,43.1793
16,1024,8,32,44.5543
16,1024,8,64,47.6253
16,1024,8,128,53.195
16,1024,8,256,54.4017
16,1024,8,512,77.7287
16,1024,8,1024,126.529
16,1024,8,2048,210.829
16,1024,16,16,44.7253
16,1024,16,32,47.1983
16,1024,16,64,50.1967
16,1024,16,128,44.2863
16,1024,16,256,56.5123
16,1024,16,512,80.1823
16,1024,16,1024,125.708
16,1024,16,2048,211.5
16,1024,32,16,49.5903
16,1024,32,32,51.4133
16,1024,32,64,55.5617
16,1024,32,128,55.765
16,1024,32,256,74.08
16,1024,32,512,109.216
16,1024,32,1024,172.354
16,1024,32,2048,306.658
16,1024,64,16,60.7903
16,1024,64,32,55.723
16,1024,64,64,62.6033
16,1024,64,128,76.0217
16,1024,64,256,104.491
16,1024,64,512,151.19
16,1024,64,1024,252.813
16,1024,64,2048,468.152
16,2048,0,0,124.106
16,2048,1,16,50.282
16,2048,1,32,51.402
16,2048,1,64,53.9843
16,2048,1,128,56.8853
16,2048,1,256,54.5513
16,2048,1,512,70.081
16,2048,1,1024,96.543
16,2048,1,2048,149.954
16,2048,2,16,40.0857
16,2048,2,32,41.3967
16,2048,2,64,43.6587
16,2048,2,128,47.862
16,2048,2,256,46.6787
16,2048,2,512,62.731
16,2048,2,1024,96.0207
16,2048,2,2048,160.426
16,2048,4,16,41.151
16,2048,4,32,42.1867
16,2048,4,64,44.9617
16,2048,4,128,49.1757
16,2048,4,256,48.407
16,2048,4,512,65.9623
16,2048,4,1024,104.802
16,2048,4,2048,171.072
16,2048,8,16,43.2643
16,2048,8,32,44.5
16,2048,8,64,47.7883
16,2048,8,128,53.2037
16,2048,8,256,54.4117
16,2048,8,512,77.9727
16,2048,8,1024,126.774
16,2048,8,2048,210.4
16,2048,16,16,44.7457
16,2048,16,32,47.105
16,2048,16,64,50.3467
16,2048,16,128,44.1713
16,2048,16,256,56.4387
16,2048,16,512,80.6187
16,2048,16,1024,125.857
16,2048,16,2048,211.65
16,2048,32,16,49.535
16,2048,32,32,51.391
16,2048,32,64,55.648
16,2048,32,128,55.5613
16,2048,32,256,73.591
16,2048,32,512,109.462
16,2048,32,1024,172.972
16,2048,32,2048,303.277
16,2048,64,16,60.8963
16,2048,64,32,55.5953
16,2048,64,64,62.857
16,2048,64,128,75.871
16,2048,64,256,104.383
16,2048,64,512,151.308
16,2048,64,1024,252.48
16,2048,64,2048,467.843
32,0,0,0,32.5337
32,0,1,16,53.599
32,0,1,32,56.1807
32,0,1,64,58.6877
32,0,1,128,54.1327
32,0,1,256,63.4473
32,0,1,512,84.053
32,0,1,1024,129.642
32,0,1,2048,197.196
32,0,2,16,43.584
32,0,2,32,45.8877
32,0,2,64,48.9173
32,0,2,128,46.0267
32,0,2,256,57.2263
32,0,2,512,80.352
32,0,2,1024,128.181
32,0,2,2048,219.5
32,0,4,16,44.0317
32,0,4,32,46.124
32,0,4,64,49.803
32,0,4,128,47.136
32,0,4,256,60.011
32,0,4,512,82.3373
32,0,4,1024,131.318
32,0,4,2048,227.661
32,0,8,16,46.2087
32,0,8,32,48.671
32,0,8,64,52.4487
32,0,8,128,50.0057
32,0,8,256,64.6077
32,0,8,512,88.0013
32,0,8,1024,141.932
32,0,8,2048,244.227
32,0,16,16,49.7283
32,0,16,32,51.6467
32,0,16,64,55.585
32,0,16,128,55.8927
32,0,16,256,74.1663
32,0,16,512,109.739
32,0,16,1024,172.096
32,0,16,2048,303.159
32,0,32,16,55.0097
32,0,32,32,58.025
32,0,32,64,54.2723
32,0,32,128,65.0673
32,0,32,256,89.867
32,0,32,512,132.49
32,0,32,1024,215.949
32,0,32,2048,391.822
32,0,64,16,67.287
32,0,64,32,62.646
32,0,64,64,71.1567
32,0,64,128,87.0943
32,0,64,256,117.495
32,0,64,512,179.947
32,0,64,1024,302.776
32,0,64,2048,549.817
32,16,0,0,33.844
32,16,1,16,53.6863
32,16,1,32,56.2793
32,16,1,64,58.3047
32,16,1,128,54.1877
32,16,1,256,63.478
32,16,1,512,84.0107
32,16,1,1024,129.762
32,16,1,2048,211.04
32,16,2,16,43.614
32,16,2,32,45.718
32,16,2,64,48.9917
32,16,2,128,46.0887
32,16,2,256,57.0037
32,16,2,512,80.2447
32,16,2,1024,127.819
32,16,2,2048,219.255
32,16,4,16,44.044
32,16,4,32,46.284
32,16,4,64,49.8243
32,16,4,128,47.1573
32,16,4,256,59.6713
