layer,tokens,time_us
embedding,1,1.44
embedding,2,1.62167
embedding,3,1.83467
embedding,4,2.005
embedding,5,2.155
embedding,6,2.368
embedding,7,2.50667
embedding,8,2.70933
embedding,9,3.01867
embedding,10,3.21133
embedding,11,3.34933
embedding,12,3.574
embedding,13,3.71167
embedding,14,3.883
embedding,15,4.10667
embedding,16,4.24533
embedding,20,1.312
embedding,24,1.30133
embedding,28,1.312
embedding,32,1.333
embedding,36,1.33333
embedding,40,1.365
embedding,44,1.33367
embedding,48,1.35467
embedding,52,1.35467
embedding,56,1.376
embedding,60,1.376
embedding,64,1.38633
embedding,80,1.44
embedding,96,1.472
embedding,112,1.54633
embedding,128,1.56833
embedding,144,1.65333
embedding,160,1.70667
embedding,176,1.792
embedding,192,1.77067
embedding,208,1.78167
embedding,224,1.77067
embedding,240,1.792
embedding,256,1.80267
embedding,272,1.83467
embedding,288,1.81333
embedding,304,1.824
embedding,320,1.85633
embedding,336,1.86667
embedding,352,1.89867
embedding,368,1.94133
embedding,384,1.96267
embedding,400,1.97333
embedding,416,2.00533
embedding,432,2.03767
embedding,448,2.04833
embedding,464,2.06967
embedding,480,2.144
embedding,496,2.12267
embedding,512,2.14367
embedding,528,2.19733
embedding,544,2.251
embedding,560,2.26133
embedding,576,2.29333
embedding,592,2.30433
embedding,608,2.32533
embedding,624,2.336
embedding,640,2.379
embedding,656,2.38933
embedding,672,2.432
embedding,688,2.48567
embedding,704,2.50667
embedding,720,2.53867
embedding,736,2.53867
embedding,752,2.54933
embedding,768,2.58133
embedding,784,2.61367
embedding,800,2.69833
embedding,816,2.77367
embedding,832,2.795
embedding,848,2.76267
embedding,864,2.90167
embedding,880,2.86967
embedding,896,2.82667
embedding,912,2.816
embedding,928,2.837
embedding,944,2.86933
embedding,960,2.89067
embedding,976,2.89067
embedding,992,2.944
embedding,1008,2.976
embedding,1024,2.99733
embedding,1040,2.99733
embedding,1056,3.06133
embedding,1072,3.072
embedding,1088,3.05067
embedding,1104,3.08267
embedding,1120,3.12533
embedding,1136,3.157
embedding,1152,3.14667
embedding,1168,3.18933
embedding,1184,3.21067
embedding,1200,3.264
embedding,1216,3.25333
embedding,1232,3.27467
embedding,1248,3.31733
embedding,1264,3.36
embedding,1280,3.37067
embedding,1296,3.424
embedding,1312,3.46667
embedding,1328,3.52033
embedding,1344,3.50967
embedding,1360,3.53067
embedding,1376,3.552
embedding,1392,3.584
embedding,1408,3.57333
embedding,1424,3.60533
embedding,1440,3.67967
embedding,1456,3.691
embedding,1472,3.71233
embedding,1488,3.73333
embedding,1504,3.776
embedding,1520,3.84033
embedding,1536,3.81867
embedding,1552,3.88267
embedding,1568,3.89333
embedding,1584,3.872
embedding,1600,3.936
embedding,1616,4
embedding,1632,3.97867
embedding,1648,4
embedding,1664,4.07467
embedding,1680,4.085
embedding,1696,4.04267
embedding,1712,4.107
embedding,1728,4.149
embedding,1744,4.224
embedding,1760,4.18133
embedding,1776,4.256
embedding,1792,4.224
embedding,1808,4.277
embedding,1824,4.34133
embedding,1840,4.384
embedding,1856,4.36267
embedding,1872,4.416
embedding,1888,4.39433
embedding,1904,4.50133
embedding,1920,4.501
embedding,1936,4.49067
embedding,1952,4.52333
embedding,1968,4.576
embedding,1984,4.60833
embedding,2000,4.67233
embedding,2016,4.67233
embedding,2032,4.704
embedding,2048,4.72533
ffn_norm,1,2.219
ffn_norm,2,3.27467
ffn_norm,3,3.22133
ffn_norm,4,3.25367
ffn_norm,5,3.24267
ffn_norm,6,3.21067
ffn_norm,7,3.22133
ffn_norm,8,3.307
ffn_norm,9,3.26433
ffn_norm,10,3.264
ffn_norm,11,3.22133
ffn_norm,12,3.28567
ffn_norm,13,3.24267
ffn_norm,14,3.25333
ffn_norm,15,3.264
ffn_norm,16,3.24267
ffn_norm,20,3.328
ffn_norm,24,3.285
ffn_norm,28,3.25333
ffn_norm,32,3.30667
ffn_norm,36,3.264
ffn_norm,40,3.26433
ffn_norm,44,3.34933
ffn_norm,48,3.26433
ffn_norm,52,3.26367
ffn_norm,56,3.28533
ffn_norm,60,3.28533
ffn_norm,64,3.28567
ffn_norm,80,3.30667
ffn_norm,96,3.25367
ffn_norm,112,3.232
ffn_norm,128,3.33867
ffn_norm,144,3.39233
ffn_norm,160,3.47733
ffn_norm,176,3.424
ffn_norm,192,3.38133
ffn_norm,208,3.52033
ffn_norm,224,3.56267
ffn_norm,240,3.53067
ffn_norm,256,3.51967
ffn_norm,272,3.68
ffn_norm,288,3.552
ffn_norm,304,3.712
ffn_norm,320,3.691
ffn_norm,336,3.68
ffn_norm,352,3.79733
ffn_norm,368,3.74433
ffn_norm,384,3.69067
ffn_norm,400,3.78667
