layer,sequences,time_us
lm_head,1,217.494
lm_head,2,204.069
lm_head,3,204.154
lm_head,4,204.945
lm_head,5,204.827
lm_head,6,204.997
lm_head,7,205.507
lm_head,8,205.41
lm_head,9,205.603
lm_head,10,206.509
lm_head,11,206.221
lm_head,12,207.149
lm_head,13,206.242
lm_head,14,206.338
lm_head,15,206.691
lm_head,16,206.413
lm_head,20,214.445
lm_head,24,214.947
lm_head,28,215.661
lm_head,32,216.056
lm_head,36,232.717
lm_head,40,233.73
lm_head,44,233.848
lm_head,48,233.24
lm_head,52,233.784
lm_head,56,233.517
lm_head,60,235.234
lm_head,64,235.212
lm_head,80,243.213
lm_head,96,245.059
lm_head,112,245.805
lm_head,128,247.246
