prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,31.9663
0,0,1,32,32.2127
0,0,1,64,32.811
0,0,1,128,32.9913
0,0,1,256,32.6193
0,0,1,512,35.2547
0,0,1,1024,38.561
0,0,1,2048,38.049
0,0,2,16,34.4643
0,0,2,32,34.859
0,0,2,64,35.8417
0,0,2,128,36.8957
0,0,2,256,41.1537
0,0,2,512,47.8837
0,0,2,1024,59.736
0,0,2,2048,71.384
0,0,4,16,36.1077
0,0,4,32,36.94
0,0,4,64,38.102
0,0,4,128,40.693
0,0,4,256,44.5033
0,0,4,512,51.7977
0,0,4,1024,57.3867
0,0,4,2048,81.8577
0,0,8,16,38.721
0,0,8,32,39.5843
0,0,8,64,41.2497
0,0,8,128,44.6087
0,0,8,256,49.4947
0,0,8,512,58.9773
0,0,8,1024,71.0617
0,0,8,2048,106.659
0,0,16,16,41.078
0,0,16,32,41.867
0,0,16,64,44.3743
0,0,16,128,47.958
0,0,16,256,54.8067
0,0,16,512,61.5263
0,0,16,1024,92.1607
0,0,16,2048,150.371
0,0,32,16,44.8003
0,0,32,32,47.1577
0,0,32,64,50.272
0,0,32,128,44.3643
0,0,32,256,56.428
0,0,32,512,80.0553
0,0,32,1024,125.859
0,0,32,2048,211.834
0,0,64,16,54.914
0,0,64,32,57.9737
0,0,64,64,54.2613
0,0,64,128,65.2493
0,0,64,256,89.8357
0,0,64,512,131.853
0,0,64,1024,216.141
0,0,64,2048,391.251
0,0,128,16,84.6837
0,0,128,32,80.6737
0,0,128,64,92.844
0,0,128,128,116.419
0,0,128,256,157.08
0,0,128,512,237.507
0,0,128,1024,417.556
0,0,128,2048,754.327
16,0,0,0,27.9477
16,0,1,16,50.5613
16,0,1,32,51.2837
16,0,1,64,54.0697
16,0,1,128,56.8117
16,0,1,256,54.646
16,0,1,512,70.018
16,0,1,1024,96.331
16,0,1,2048,149.891
16,0,2,16,40.3113
16,0,2,32,41.515
16,0,2,64,43.5847
16,0,2,128,48.0007
16,0,2,256,46.636
16,0,2,512,63.2213
16,0,2,1024,96.0133
16,0,2,2048,160.45
16,0,4,16,41.2917
16,0,4,32,42.2077
16,0,4,64,44.8857
16,0,4,128,49.0147
16,0,4,256,48.354
16,0,4,512,66.3053
16,0,4,1024,104.995
16,0,4,2048,171.501
16,0,8,16,43.276
16,0,8,32,44.416
16,0,8,64,47.7447
16,0,8,128,53.068
16,0,8,256,54.3683
16,0,8,512,77.2283
16,0,8,1024,126.414
16,0,8,2048,209.998
16,0,16,16,44.6503
16,0,16,32,47.318
16,0,16,64,50.006
16,0,16,128,44.258
16,0,16,256,56.3733
16,0,16,512,80.2143
16,0,16,1024,126.02
16,0,16,2048,211.747
16,0,32,16,49.643
16,0,32,32,51.3087
16,0,32,64,55.776
16,0,32,128,55.894
16,0,32,256,73.8347
16,0,32,512,109.389
16,0,32,1024,172.78
16,0,32,2048,303.61
16,0,64,16,60.8537
16,0,64,32,55.6593
16,0,64,64,62.6677
16,0,64,128,75.905
16,0,64,256,104.439
16,0,64,512,151.053
16,0,64,1024,251.908
16,0,64,2048,468.915
16,16,0,0,28.9903
16,16,1,16,50.8493
16,16,1,32,51.4367
16,16,1,64,53.9413
16,16,1,128,57.1853
16,16,1,256,54.5267
16,16,1,512,69.8687
16,16,1,1024,96.524
16,16,1,2048,149.901
16,16,2,16,39.8717
16,16,2,32,41.505
16,16,2,64,43.7877
16,16,2,128,47.904
16,16,2,256,46.497
16,16,2,512,62.8703
16,16,2,1024,96.0647
16,16,2,2048,160.44
16,16,4,16,41.1303
16,16,4,32,42.178
16,16,4,64,44.7483
16,16,4,128,49.1003
16,16,4,256,48.2767
16,16,4,512,66.4437
16,16,4,1024,104.684
16,16,4,2048,171.032
16,16,8,16,43.2633
16,16,8,32,44.4587
16,16,8,64,47.532
16,16,8,128,53.1
16,16,8,256,54.7623
16,16,8,512,77.313
16,16,8,1024,126.945
16,16,8,2048,211.182
16,16,16,16,44.8113
16,16,16,32,47.126
16,16,16,64,50.4217
16,16,16,128,44.1277
16,16,16,256,56.437
16,16,16,512,80.4693
16,16,16,1024,126.348
16,16,16,2048,212.334
16,16,32,16,49.7597
16,16,32,32,51.4457
16,16,32,64,55.7007
16,16,32,128,55.957
16,16,32,256,73.8047
16,16,32,512,109.687
16,16,32,1024,172.418
16,16,32,2048,303.663
16,16,64,16,60.866
16,16,64,32,55.586
16,16,64,64,62.817
16,16,64,128,75.6177
16,16,64,256,104.567
16,16,64,512,150.99
16,16,64,1024,252.335
16,16,64,2048,467.42
16,32,0,0,29.547
16,32,1,16,50.7517
16,32,1,32,51.4253
16,32,1,64,53.8133
16,32,1,128,56.9393
16,32,1,256,54.5947
16,32,1,512,70.198
16,32,1,1024,96.685
16,32,1,2048,150.125
16,32,2,16,40.1823
16,32,2,32,41.3767
16,32,2,64,43.6487
16,32,2,128,47.8717
16,32,2,256,46.5917
16,32,2,512,62.8483
16,32,2,1024,95.7247
16,32,2,2048,160.109
16,32,4,16,41.259
16,32,4,32,42.306
16,32,4,64,44.823
16,32,4,128,49.0667
16,32,4,256,48.2997
16,32,4,512,66.1347
16,32,4,1024,104.641
16,32,4,2048,171.425
