layer,tokens,time_us
embedding,1,1.46133
embedding,2,1.62133
embedding,3,1.82433
embedding,4,1.984
embedding,5,2.17633
embedding,6,2.34667
embedding,7,2.53867
embedding,8,2.69867
embedding,9,3.04
embedding,10,3.18933
embedding,11,3.34933
embedding,12,3.552
embedding,13,3.776
embedding,14,3.904
embedding,15,4.085
embedding,16,4.245
embedding,20,1.32267
embedding,24,1.33333
embedding,28,1.32267
embedding,32,1.344
embedding,36,1.34433
embedding,40,1.33333
embedding,44,1.35467
embedding,48,1.376
embedding,52,1.36533
embedding,56,1.408
embedding,60,1.39733
embedding,64,1.408
embedding,80,1.48233
embedding,96,1.51467
embedding,112,1.536
embedding,128,1.589
embedding,144,1.70667
embedding,160,1.72767
embedding,176,1.79167
embedding,192,1.78133
embedding,208,1.77033
embedding,224,1.824
embedding,240,1.81333
embedding,256,1.77067
embedding,272,1.81333
embedding,288,1.83467
embedding,304,1.83467
embedding,320,1.84533
embedding,336,1.90933
embedding,352,1.90933
embedding,368,1.952
embedding,384,1.97333
embedding,400,1.98433
embedding,416,2.02667
embedding,432,2.03733
embedding,448,2.11133
embedding,464,2.08
embedding,480,2.112
embedding,496,2.13333
embedding,512,2.16467
embedding,528,2.21867
embedding,544,2.22933
embedding,560,2.25067
embedding,576,2.29367
embedding,592,2.34667
embedding,608,2.33567
embedding,624,2.34667
embedding,640,2.40033
embedding,656,2.4
embedding,672,2.432
embedding,688,2.485
embedding,704,2.51733
embedding,720,2.53867
embedding,736,2.57067
embedding,752,2.57067
embedding,768,2.57067
embedding,784,2.64533
embedding,800,2.64533
embedding,816,2.688
embedding,832,2.69867
embedding,848,2.752
embedding,864,2.92267
embedding,880,2.86933
embedding,896,2.87967
embedding,912,2.848
embedding,928,2.82667
embedding,944,2.85833
embedding,960,2.89033
embedding,976,2.93367
embedding,992,2.976
embedding,1008,2.976
embedding,1024,3.06133
embedding,1040,3.01833
embedding,1056,3.06133
embedding,1072,3.08267
embedding,1088,3.072
embedding,1104,3.10367
embedding,1120,3.136
embedding,1136,3.09333
embedding,1152,3.168
embedding,1168,3.2
embedding,1184,3.232
embedding,1200,3.27467
embedding,1216,3.264
embedding,1232,3.28533
embedding,1248,3.31733
embedding,1264,3.35967
embedding,1280,3.36
embedding,1296,3.392
embedding,1312,3.43467
embedding,1328,3.488
embedding,1344,3.45567
embedding,1360,3.531
embedding,1376,3.50933
embedding,1392,3.59467
embedding,1408,3.616
embedding,1424,3.648
embedding,1440,3.63733
embedding,1456,3.70133
embedding,1472,3.68
embedding,1488,3.72233
embedding,1504,3.76533
embedding,1520,3.79733
embedding,1536,3.808
embedding,1552,3.88267
embedding,1568,3.88233
embedding,1584,3.90367
embedding,1600,3.91467
embedding,1616,3.96833
embedding,1632,4.00033
embedding,1648,4.00033
embedding,1664,4.04267
embedding,1680,4.08533
embedding,1696,4.12833
embedding,1712,4.128
embedding,1728,4.13867
embedding,1744,4.20267
embedding,1760,4.20233
embedding,1776,4.224
embedding,1792,4.24533
embedding,1808,4.288
embedding,1824,4.30933
embedding,1840,4.37333
embedding,1856,4.36267
embedding,1872,4.42667
embedding,1888,4.44767
embedding,1904,4.49067
embedding,1920,4.50167
embedding,1936,4.57633
embedding,1952,4.555
embedding,1968,4.58667
embedding,1984,4.59733
embedding,2000,4.672
embedding,2016,4.68267
embedding,2032,4.725
embedding,2048,4.71467
ffn_norm,1,2.28267
ffn_norm,2,3.264
ffn_norm,3,3.328
ffn_norm,4,3.232
ffn_norm,5,3.28533
ffn_norm,6,3.328
ffn_norm,7,3.27467
ffn_norm,8,3.296
ffn_norm,9,3.285
ffn_norm,10,3.264
ffn_norm,11,3.307
ffn_norm,12,3.27467
ffn_norm,13,3.22133
ffn_norm,14,3.26367
ffn_norm,15,3.27433
ffn_norm,16,3.31733
ffn_norm,20,3.33867
ffn_norm,24,3.328
ffn_norm,28,3.36
ffn_norm,32,3.328
ffn_norm,36,3.317
ffn_norm,40,3.31733
ffn_norm,44,3.296
ffn_norm,48,3.35967
ffn_norm,52,3.296
ffn_norm,56,3.26367
ffn_norm,60,3.33933
ffn_norm,64,3.296
ffn_norm,80,3.22167
ffn_norm,96,3.27467
ffn_norm,112,3.232
ffn_norm,128,3.33867
ffn_norm,144,3.30667
ffn_norm,160,3.45567
ffn_norm,176,3.51967
ffn_norm,192,3.37067
ffn_norm,208,3.47633
ffn_norm,224,3.57333
ffn_norm,240,3.59467
ffn_norm,256,3.50967
ffn_norm,272,3.62667
ffn_norm,288,3.72267
ffn_norm,304,3.59467
ffn_norm,320,3.69067
ffn_norm,336,3.89333
ffn_norm,352,3.808
ffn_norm,368,3.80733
ffn_norm,384,3.85067
ffn_norm,400,3.70133
ffn_norm,416,3.91467
ffn_norm,432,3.92533
ffn_norm,448,3.936
ffn_norm,464,3.94667
ffn_norm,480,3.85067
ffn_norm,496,3.98933
ffn_norm,512,4.07467
ffn_norm,528,4.11733
ffn_norm,544,4.11733
ffn_norm,560,4.18133
ffn_norm,576,4.17067
ffn_norm,592,4.19167
ffn_norm,608,4.23433
ffn_norm,624,4.13867
ffn_norm,640,4.32
ffn_norm,656,4.17067
ffn_norm,672,4.32067
ffn_norm,688,4.32
ffn_norm,704,4.24533
ffn_norm,720,3.968
ffn_norm,736,4.30933
ffn_norm,752,4.71467
ffn_norm,768,4.68267
ffn_norm,784,4.81067
ffn_norm,800,4.768
ffn_norm,816,4.84233
ffn_norm,832,4.04267
ffn_norm,848,3.94667
ffn_norm,864,4.224
ffn_norm,880,4.15967
ffn_norm,896,4.69333
ffn_norm,912,5.09867
ffn_norm,928,5.01333
ffn_norm,944,5.22633
ffn_norm,960,5.41933
ffn_norm,976,5.17367
ffn_norm,992,5.248
ffn_norm,1008,5.38667
ffn_norm,1024,4.747
ffn_norm,1040,4.45833
ffn_norm,1056,4.65067
ffn_norm,1072,4.11733
ffn_norm,1088,4.29867
ffn_norm,1104,4.07467
ffn_norm,1120,4.02133
ffn_norm,1136,3.989
ffn_norm,1152,4.16067
ffn_norm,1168,4.78967
ffn_norm,1184,4.82133
ffn_norm,1200,4.87467
ffn_norm,1216,4.95967
ffn_norm,1232,4.39467
ffn_norm,1248,4.43733
ffn_norm,1264,4.437
ffn_norm,1280,4.352
ffn_norm,1296,4.74667
ffn_norm,1312,4.72533
ffn_norm,1328,4.78933
ffn_norm,1344,4.896
ffn_norm,1360,4.85333
ffn_norm,1376,4.91733
ffn_norm,1392,4.736
ffn_norm,1408,5.01333
ffn_norm,1424,5.16267
ffn_norm,1440,5.024
ffn_norm,1456,5.024
ffn_norm,1472,4.885
ffn_norm,1488,4.96033
ffn_norm,1504,4.87467
ffn_norm,1520,4.89567
ffn_norm,1536,5.376
ffn_norm,1552,5.547
ffn_norm,1568,5.45067
ffn_norm,1584,5.71767
ffn_norm,1600,5.53633
ffn_norm,1616,5.49333
ffn_norm,1632,5.64267
ffn_norm,1648,5.54667
ffn_norm,1664,5.54667
ffn_norm,1680,5.70667
ffn_norm,1696,5.50367
ffn_norm,1712,5.62133
ffn_norm,1728,5.65333
ffn_norm,1744,5.93067
ffn_norm,1760,5.96267
ffn_norm,1776,6.016
ffn_norm,1792,6.09067
ffn_norm,1808,6.54933
ffn_norm,1824,6.549
ffn_norm,1840,6.62433
ffn_norm,1856,6.656
ffn_norm,1872,6.84767
ffn_norm,1888,6.73067
ffn_norm,1904,6.581
ffn_norm,1920,6.816
ffn_norm,1936,6.38933
ffn_norm,1952,6.25067
ffn_norm,1968,6.32533
ffn_norm,1984,6.304
ffn_norm,2000,6.25067
ffn_norm,2016,6.389
ffn_norm,2032,6.74133
ffn_norm,2048,7.83967
final_norm,1,2.272
final_norm,2,3.31733
final_norm,3,3.25333
final_norm,4,3.264
final_norm,5,3.28533
final_norm,6,3.32867
final_norm,7,3.349
final_norm,8,3.264
final_norm,9,3.296
final_norm,10,3.296
final_norm,11,3.24267
final_norm,12,3.22167
final_norm,13,3.22133
final_norm,14,3.27467
final_norm,15,3.232
final_norm,16,3.27467
final_norm,20,3.35967
final_norm,24,3.31733
final_norm,28,3.33867
final_norm,32,3.25333
final_norm,36,3.27467
final_norm,40,3.34967
final_norm,44,3.28567
final_norm,48,3.30633
final_norm,52,3.30667
final_norm,56,3.328
final_norm,60,3.25333
final_norm,64,3.31733
final_norm,80,3.27467
final_norm,96,3.28533
final_norm,112,3.36033
final_norm,128,3.37
final_norm,144,3.40233
final_norm,160,3.41333
final_norm,176,3.48833
final_norm,192,3.53033
final_norm,208,3.52
final_norm,224,3.49867
final_norm,240,3.499
final_norm,256,3.53067
final_norm,272,3.54133
final_norm,288,3.50933
final_norm,304,3.56267
final_norm,320,3.52033
final_norm,336,3.53067
final_norm,352,3.62667
final_norm,368,3.62667
final_norm,384,3.63733
final_norm,400,3.57333
final_norm,416,3.648
final_norm,432,3.60567
final_norm,448,3.637
final_norm,464,3.638
final_norm,480,3.584
final_norm,496,3.648
final_norm,512,3.62667
final_norm,528,3.73333
final_norm,544,3.68033
final_norm,560,3.68
final_norm,576,3.62667
final_norm,592,3.73333
