prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,16.415
0,0,1,32,16.4383
0,0,1,64,16.373
0,0,1,128,16.4053
0,0,1,256,18.2597
0,0,1,512,18.2713
0,0,1,1024,18.3463
0,0,1,2048,18.5717
0,0,2,16,21.5583
0,0,2,32,21.5787
0,0,2,64,21.568
0,0,2,128,21.5903
0,0,2,256,22.8463
0,0,2,512,23.1353
0,0,2,1024,22.9017
0,0,2,2048,23.1673
0,0,4,16,22.4307
0,0,4,32,22.3257
0,0,4,64,22.4093
0,0,4,128,22.3133
0,0,4,256,23.648
0,0,4,512,23.455
0,0,4,1024,23.5627
0,0,4,2048,23.7127
0,0,8,16,25.323
0,0,8,32,25.2257
0,0,8,64,25.2477
0,0,8,128,25.4163
0,0,8,256,26.6777
0,0,8,512,26.5907
0,0,8,1024,26.4097
0,0,8,2048,26.3667
0,0,16,16,26.5163
0,0,16,32,26.5713
0,0,16,64,26.6453
0,0,16,128,26.5487
0,0,16,256,27.988
0,0,16,512,28.0217
0,0,16,1024,27.4763
0,0,16,2048,27.9787
0,0,32,16,30.347
0,0,32,32,30.3883
0,0,32,64,30.3783
0,0,32,128,30.4423
0,0,32,256,31.2637
0,0,32,512,31.1997
0,0,32,1024,30.6337
0,0,32,2048,31.2327
0,0,64,16,38.8263
0,0,64,32,38.9343
0,0,64,64,39.05
0,0,64,128,38.9227
0,0,64,256,40.0527
0,0,64,512,40.222
0,0,64,1024,37.514
0,0,64,2048,38.7083
0,0,128,16,82.4637
0,0,128,32,82.4953
0,0,128,64,82.4513
0,0,128,128,82.709
0,0,128,256,96.683
0,0,128,512,86.9427
0,0,128,1024,86.8037
0,0,128,2048,87.9127
16,0,0,0,25.802
16,0,1,16,36.0523
16,0,1,32,36.095
16,0,1,64,36.0523
16,0,1,128,36.0533
16,0,1,256,37.5673
16,0,1,512,37.482
16,0,1,1024,37.525
16,0,1,2048,38.4107
16,0,2,16,25.2487
16,0,2,32,25.2687
16,0,2,64,25.397
16,0,2,128,25.29
16,0,2,256,26.9443
16,0,2,512,26.8483
16,0,2,1024,26.592
16,0,2,2048,27.2737
16,0,4,16,26.357
16,0,4,32,26.421
16,0,4,64,26.3697
16,0,4,128,26.4417
16,0,4,256,27.9363
16,0,4,512,27.8397
16,0,4,1024,27.508
16,0,4,2048,28.277
16,0,8,16,28.2667
16,0,8,32,28.33
16,0,8,64,28.247
16,0,8,128,28.256
16,0,8,256,29.6837
16,0,8,512,29.8767
16,0,8,1024,29.322
16,0,8,2048,30.0063
16,0,16,16,30.388
16,0,16,32,30.3993
16,0,16,64,30.4427
16,0,16,128,30.293
16,0,16,256,31.296
16,0,16,512,31.403
16,0,16,1024,30.5173
16,0,16,2048,31.294
16,0,32,16,33.6537
16,0,32,32,33.6
16,0,32,64,33.739
16,0,32,128,33.6207
16,0,32,256,34.4867
16,0,32,512,34.708
16,0,32,1024,33.4073
16,0,32,2048,34.0687
16,0,64,16,43.722
16,0,64,32,43.681
16,0,64,64,43.658
16,0,64,128,43.7967
16,0,64,256,44.3293
16,0,64,512,44.5857
16,0,64,1024,42.451
16,0,64,2048,43.5717
16,16,0,0,25.7717
16,16,1,16,36.0847
16,16,1,32,36.1177
16,16,1,64,36.2023
16,16,1,128,36.0207
16,16,1,256,37.6103
16,16,1,512,37.6203
16,16,1,1024,37.4827
16,16,1,2048,38.3247
16,16,2,16,25.2907
16,16,2,32,25.3213
16,16,2,64,25.237
16,16,2,128,25.2157
16,16,2,256,26.8793
16,16,2,512,26.902
16,16,2,1024,26.56
16,16,2,2048,27.359
16,16,4,16,26.3983
16,16,4,32,26.3897
16,16,4,64,26.4307
16,16,4,128,26.3147
16,16,4,256,27.8813
16,16,4,512,27.7767
16,16,4,1024,27.4877
16,16,4,2048,28.2883
16,16,8,16,28.2983
16,16,8,32,28.3307
16,16,8,64,28.2563
16,16,8,128,28.4037
16,16,8,256,29.6207
16,16,8,512,29.802
16,16,8,1024,29.3237
16,16,8,2048,30.0043
16,16,16,16,30.4313
16,16,16,32,30.4323
16,16,16,64,30.3887
16,16,16,128,30.3997
16,16,16,256,31.3047
16,16,16,512,31.2103
16,16,16,1024,30.5503
16,16,16,2048,31.2637
16,16,32,16,33.5243
16,16,32,32,33.5047
16,16,32,64,33.654
16,16,32,128,33.6863
16,16,32,256,34.6123
16,16,32,512,34.9123
16,16,32,1024,33.4617
16,16,32,2048,34.155
16,16,64,16,43.775
16,16,64,32,43.6783
16,16,64,64,43.7113
16,16,64,128,43.8073
16,16,64,256,44.575
16,16,64,512,44.6847
16,16,64,1024,42.4083
16,16,64,2048,43.5407
16,32,0,0,25.7707
16,32,1,16,36.0103
16,32,1,32,36.021
16,32,1,64,36.0547
16,32,1,128,36.0417
16,32,1,256,37.6
16,32,1,512,37.525
16,32,1,1024,37.6643
16,32,1,2048,38.2273
16,32,2,16,25.3237
16,32,2,32,25.3223
16,32,2,64,25.3023
16,32,2,128,25.2363
16,32,2,256,26.965
16,32,2,512,26.7517
16,32,2,1024,26.7097
16,32,2,2048,27.3167
16,32,4,16,26.3583
16,32,4,32,26.3887
16,32,4,64,26.41
16,32,4,128,26.4307
16,32,4,256,27.9567
16,32,4,512,27.745
16,32,4,1024,27.5933
16,32,4,2048,28.299
16,32,8,16,28.2337
16,32,8,32,28.2023
16,32,8,64,28.2023
16,32,8,128,28.299
16,32,8,256,29.6737
16,32,8,512,29.7603
16,32,8,1024,29.44
16,32,8,2048,30.057
16,32,16,16,30.3493
16,32,16,32,30.4423
16,32,16,64,30.4213
16,32,16,128,30.3463
16,32,16,256,31.3477
16,32,16,512,31.2427
16,32,16,1024,30.5497
16,32,16,2048,31.3267
16,32,32,16,33.6743
16,32,32,32,33.5893
16,32,32,64,33.6093
16,32,32,128,33.545
16,32,32,256,34.558
16,32,32,512,34.9
16,32,32,1024,33.4177
16,32,32,2048,34.1857
16,32,64,16,43.8283
16,32,64,32,43.7643
16,32,64,64,43.647
16,32,64,128,43.7223
16,32,64,256,44.5323
16,32,64,512,44.714
16,32,64,1024,42.3673
16,32,64,2048,43.5193
16,64,0,0,25.75
16,64,1,16,36.0527
16,64,1,32,36.0957
16,64,1,64,36.1063
16,64,1,128,36.065
16,64,1,256,37.5577
16,64,1,512,37.6113
16,64,1,1024,37.6337
16,64,1,2048,38.241
16,64,2,16,25.2687
16,64,2,32,25.3103
16,64,2,64,25.2683
16,64,2,128,25.2583
16,64,2,256,26.9747
16,64,2,512,26.8793
16,64,2,1024,26.582
16,64,2,2048,27.3063
16,64,4,16,26.379
16,64,4,32,26.3463
16,64,4,64,26.3467
16,64,4,128,26.3473
16,64,4,256,27.9993
16,64,4,512,27.8287
16,64,4,1024,27.5303
16,64,4,2048,28.32
16,64,8,16,28.2127
16,64,8,32,28.2877
16,64,8,64,28.3193
16,64,8,128,28.2447
16,64,8,256,29.5467
16,64,8,512,29.8983
16,64,8,1024,29.3013
16,64,8,2048,30.0383
16,64,16,16,30.4537
16,64,16,32,30.4533
16,64,16,64,30.3883
16,64,16,128,30.4313
16,64,16,256,31.2847
16,64,16,512,31.284
16,64,16,1024,30.6657
16,64,16,2048,31.2193
16,64,32,16,33.5783
16,64,32,32,33.631
16,64,32,64,33.621
16,64,32,128,33.6553
16,64,32,256,34.634
16,64,32,512,34.6663
16,64,32,1024,33.653
16,64,32,2048,34.1337
16,64,64,16,43.7973
16,64,64,32,43.689
16,64,64,64,43.7333
16,64,64,128,43.605
16,64,64,256,44.4057
16,64,64,512,44.7257
16,64,64,1024,42.4743
16,64,64,2048,43.6157
16,128,0,0,25.781
16,128,1,16,36.1173
16,128,1,32,36.106
16,128,1,64,36.1273
16,128,1,128,35.999
16,128,1,256,37.5983
16,128,1,512,37.4727
16,128,1,1024,37.6523
16,128,1,2048,38.368
16,128,2,16,25.324
16,128,2,32,25.353
16,128,2,64,25.2797
16,128,2,128,25.3433
16,128,2,256,26.8997
16,128,2,512,26.7723
16,128,2,1024,26.4967
16,128,2,2048,27.3177
16,128,4,16,26.3033
16,128,4,32,26.4627
16,128,4,64,26.4107
16,128,4,128,26.4853
16,128,4,256,27.9777
16,128,4,512,27.8183
16,128,4,1024,27.4767
16,128,4,2048,28.2353
16,128,8,16,28.2983
16,128,8,32,28.309
16,128,8,64,28.3087
16,128,8,128,28.2977
16,128,8,256,29.568
16,128,8,512,29.781
16,128,8,1024,29.482
16,128,8,2048,30.025
16,128,16,16,30.4103
16,128,16,32,30.411
16,128,16,64,30.3457
16,128,16,128,30.358
16,128,16,256,31.2533
16,128,16,512,31.273
16,128,16,1024,30.5697
16,128,16,2048,31.1457
16,128,32,16,33.6437
16,128,32,32,33.6547
16,128,32,64,33.6623
16,128,32,128,33.6407
16,128,32,256,34.5903
16,128,32,512,34.8037
16,128,32,1024,33.313
