prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,6.368
0,0,1,32,6.369
0,0,1,64,8.127
0,0,1,128,10.975
0,0,1,256,11.36
0,0,1,512,11.68
0,0,1,1024,12.416
0,0,2,16,10.241
0,0,2,32,10.24
0,0,2,64,11.776
0,0,2,128,13.92
0,0,2,256,14.465
0,0,2,512,15.326
0,0,2,1024,17.855
0,0,4,16,10.432
0,0,4,32,10.623
0,0,4,64,12.256
0,0,4,128,14.592
0,0,4,256,15.327
0,0,4,512,17.727
0,0,4,1024,24.351
0,0,8,16,10.753
0,0,8,32,10.784
0,0,8,64,12.321
0,0,8,128,15.199
0,0,8,256,19.231
0,0,8,512,23.583
0,0,8,1024,34.208
0,0,16,16,11.008
0,0,16,32,11.551
0,0,16,64,13.15
0,0,16,128,19.616
0,0,16,256,24.096
0,0,16,512,34.303
0,0,16,1024,55.489
0,0,32,16,12.991
0,0,32,32,13.792
0,0,32,64,16.607
0,0,32,128,21.92
0,0,32,256,32.16
0,0,32,512,56.255
0,0,32,1024,97.599
0,0,64,16,17.344
0,0,64,32,18.655
0,0,64,64,23.424
0,0,64,128,34.815
0,0,64,256,55.391
0,0,64,512,97.279
0,0,64,1024,178.718
16,0,0,0,8
16,0,1,16,8.416
16,0,1,32,8.448
16,0,1,64,8.352
16,0,1,128,11.039
16,0,1,256,14.656
16,0,1,512,21.855
16,0,1,1024,35.968
16,0,2,16,8.288
16,0,2,32,8.224
16,0,2,64,8.223
16,0,2,128,11.04
16,0,2,256,14.592
16,0,2,512,21.76
16,0,2,1024,36.096
16,0,4,16,8.416
16,0,4,32,8.576
16,0,4,64,8.576
16,0,4,128,11.296
16,0,4,256,14.88
16,0,4,512,21.951
16,0,4,1024,36.576
16,0,8,16,13.28
16,0,8,32,13.28
16,0,8,64,13.599
16,0,8,128,19.904
16,0,8,256,27.072
16,0,8,512,41.471
16,0,8,1024,70.751
16,0,16,16,22.943
16,0,16,32,22.881
16,0,16,64,23.2
16,0,16,128,36.095
16,0,16,256,50.143
16,0,16,512,79.071
16,0,16,1024,136.382
16,0,32,16,36.799
16,0,32,32,36.959
16,0,32,64,37.632
16,0,32,128,60.831
16,0,32,256,86.271
16,0,32,512,136.608
16,0,32,1024,236.861
16,16,0,0,8.511
16,16,1,16,8.479
16,16,1,32,8.736
16,16,1,64,8.544
16,16,1,128,11.04
16,16,1,256,14.496
16,16,1,512,21.632
16,16,1,1024,35.936
16,16,2,16,8.512
16,16,2,32,8.416
16,16,2,64,8.512
16,16,2,128,11.072
16,16,2,256,14.559
16,16,2,512,21.697
16,16,2,1024,36.128
16,16,4,16,8.64
16,16,4,32,8.64
16,16,4,64,8.896
16,16,4,128,11.264
16,16,4,256,14.816
16,16,4,512,21.856
16,16,4,1024,36.575
16,16,8,16,13.568
16,16,8,32,13.535
16,16,8,64,13.854
16,16,8,128,19.745
16,16,8,256,27.2
16,16,8,512,41.44
16,16,8,1024,70.752
16,16,16,16,23.136
16,16,16,32,23.263
16,16,16,64,23.392
16,16,16,128,35.968
16,16,16,256,50.175
16,16,16,512,79.167
16,16,16,1024,136.799
16,16,32,16,37.088
16,16,32,32,37.439
16,16,32,64,37.791
16,16,32,128,60.767
16,16,32,256,86.431
16,16,32,512,137.278
16,16,32,1024,236.861
16,32,0,0,8.384
16,32,1,16,8.512
16,32,1,32,8.512
16,32,1,64,8.608
16,32,1,128,11.008
16,32,1,256,14.528
