layer,sequences,time_us
lm_head,1,653.53
lm_head,2,622.426
lm_head,3,625.307
lm_head,4,625.462
lm_head,5,625.176
lm_head,6,626.743
lm_head,7,627.446
lm_head,8,628.792
lm_head,9,627.191
lm_head,10,626.806
lm_head,11,628.857
lm_head,12,630.55
lm_head,13,629.783
lm_head,14,631.768
lm_head,15,630.486
lm_head,16,630.904
lm_head,20,634.199
lm_head,24,634.102
lm_head,28,635.512
lm_head,32,635.481
lm_head,36,636.377
lm_head,40,636.439
lm_head,44,640.121
lm_head,48,637.558
lm_head,52,639.544
lm_head,56,643.609
lm_head,60,639.96
lm_head,64,642.519
